architecture,mean_roc_auc_all_cells,mean_roc_auc_specialists,mean_roc_auc_mixtures,best_specialist_mae,best_specialist_pearson,best_specialist_within_target_pearson,mean_mixture_residual,fraction_below_best_specialist,in_mixture_mae,in_mixture_mean_residual,held_out_mae,held_out_mean_residual,mixture_cells,in_mixture_cells,held_out_cells
prodigy,0.5840374708460508,0.5963007177345055,0.5790206880280465,0.14713582446679524,0.24275139154341896,-0.09441946775519497,-0.13858579866813892,0.8977272727272727,0.18993235075915296,-0.18927622282946546,0.0957799929159659,-0.077757289674547,88,48,40
vision,0.7390682512144319,0.7118127630571278,0.7502182236424197,0.019203072043781744,0.9974050706538411,0.6234505754652687,-0.018649536351162187,0.9318181818181818,0.01754104060891238,-0.01747608479158382,0.021197509765624976,-0.02005767822265623,88,48,40
gilt,0.6831340151733253,0.6510697804360723,0.6962512021112924,0.030377531693840654,0.9928220560704943,0.8658124674139192,-0.030377531693840654,1.0,0.03335857832873307,-0.03335857832873307,0.026800275731969758,-0.026800275731969758,88,48,40
