architecture,dataset,mean_roc_auc,median_roc_auc,min_roc_auc,max_roc_auc,cells
gilt,covid_political,0.7941472225576605,0.8205275358977142,0.6212316442418981,0.905025906032986,31
gilt,election2020,0.9072344380040323,0.94720458984375,0.66265869140625,0.9862060546875,31
gilt,twibot20,0.5430021115101367,0.5454012552897135,0.5112467871771919,0.562385982937283,31
gilt,ukr_rus_suspended,0.48815228862147175,0.4881591796875,0.46923828125,0.50091552734375,31
prodigy,covid_political,0.6111622107356537,0.6169184932002316,0.5167646054868344,0.8650509869610822,31
prodigy,election2020,0.57476806640625,0.52294921875,0.49700927734375,0.98468017578125,31
prodigy,twibot20,0.6554115322755656,0.6659295823838975,0.5693049960666233,0.7134075164794922,31
prodigy,ukr_rus_suspended,0.4948080739667339,0.4935302734375,0.47613525390625,0.551513671875,31
vision,covid_political,0.8959817829382747,0.9218057703088832,0.617923312717014,0.9302421852394388,31
vision,election2020,0.9647118353074596,0.98638916015625,0.61810302734375,0.99200439453125,31
vision,twibot20,0.5932305175343723,0.5987654791937935,0.5107354058159722,0.62907960679796,31
vision,ukr_rus_suspended,0.502348869077621,0.50286865234375,0.444671630859375,0.55078125,31
