architecture,seed,checkpoint_step,task,dataset,pair,baseline_source,added_source,pair_auc,singleton_auc,impact_pp
prodigy,0,100,classification,covid_political,"ukr_rus,covid",ukr_rus,covid,0.6410143816912616,0.6267875388816552,1.42268428096064
prodigy,0,100,classification,covid_political,"ukr_rus,covid",covid,ukr_rus,0.6410143816912616,0.617950439453125,2.306394223813657
prodigy,0,100,classification,election2020,"ukr_rus,covid",ukr_rus,covid,0.52294921875,0.5313720703125,-0.84228515625
prodigy,0,100,classification,election2020,"ukr_rus,covid",covid,ukr_rus,0.52294921875,0.54083251953125,-1.788330078125
prodigy,0,100,classification,ukr_rus_suspended,"ukr_rus,covid",ukr_rus,covid,0.51837158203125,0.50732421875,1.104736328125
prodigy,0,100,classification,ukr_rus_suspended,"ukr_rus,covid",covid,ukr_rus,0.51837158203125,0.551513671875,-3.314208984375
prodigy,0,100,classification,twibot20,"ukr_rus,covid",ukr_rus,covid,0.6369732750786675,0.6929662492540148,-5.599297417534732
prodigy,0,100,classification,twibot20,"ukr_rus,covid",covid,ukr_rus,0.6369732750786675,0.5693049960666233,6.76682790120442
prodigy,0,100,classification,covid_political,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.6016967208297165,0.5560410111038774,4.5655709725839095
prodigy,0,100,classification,covid_political,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.6016967208297165,0.6178054809570312,-1.610876012731477
prodigy,0,100,classification,election2020,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.514404296875,0.49700927734375,1.739501953125
prodigy,0,100,classification,election2020,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.514404296875,0.50830078125,0.6103515625
prodigy,0,100,classification,ukr_rus_suspended,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.489013671875,0.51092529296875,-2.191162109375
prodigy,0,100,classification,ukr_rus_suspended,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.489013671875,0.4859619140625,0.30517578125
prodigy,0,100,classification,twibot20,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.7039142184787327,0.6997981601291233,0.4116058349609375
prodigy,0,100,classification,twibot20,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.7039142184787327,0.6999549865722656,0.39592319064670756
prodigy,0,100,classification,covid_political,"twibot20,midterm",twibot20,midterm,0.704167401349103,0.7366796422887731,-3.251224093967009
prodigy,0,100,classification,covid_political,"twibot20,midterm",midterm,twibot20,0.704167401349103,0.5403075041594328,16.38598971896702
prodigy,0,100,classification,election2020,"twibot20,midterm",twibot20,midterm,0.92266845703125,0.705322265625,21.734619140625
prodigy,0,100,classification,election2020,"twibot20,midterm",midterm,twibot20,0.92266845703125,0.50299072265625,41.9677734375
prodigy,0,100,classification,ukr_rus_suspended,"twibot20,midterm",twibot20,midterm,0.494384765625,0.49005126953125,0.433349609375
prodigy,0,100,classification,ukr_rus_suspended,"twibot20,midterm",midterm,twibot20,0.494384765625,0.49755859375,-0.3173828125
prodigy,0,100,classification,twibot20,"twibot20,midterm",twibot20,midterm,0.6745855543348523,0.6917220221625434,-1.713646782769107
prodigy,0,100,classification,twibot20,"twibot20,midterm",midterm,twibot20,0.6745855543348523,0.6689487033420138,0.5636850992838505
vision,0,100,classification,covid_political,"ukr_rus,covid",ukr_rus,covid,0.8295177883572049,0.7212442468713831,10.827354148582181
vision,0,100,classification,covid_political,"ukr_rus,covid",covid,ukr_rus,0.8295177883572049,0.881331549750434,-5.1813761393229125
vision,0,100,classification,election2020,"ukr_rus,covid",ukr_rus,covid,0.911376953125,0.8287353515625,8.26416015625
vision,0,100,classification,election2020,"ukr_rus,covid",covid,ukr_rus,0.911376953125,0.97210693359375,-6.072998046875
vision,0,100,classification,ukr_rus_suspended,"ukr_rus,covid",ukr_rus,covid,0.531005859375,0.47589111328125,5.511474609375
vision,0,100,classification,ukr_rus_suspended,"ukr_rus,covid",covid,ukr_rus,0.531005859375,0.51641845703125,1.458740234375
vision,0,100,classification,twibot20,"ukr_rus,covid",ukr_rus,covid,0.611697726779514,0.6177618238661025,-0.6064097086588505
vision,0,100,classification,twibot20,"ukr_rus,covid",covid,ukr_rus,0.611697726779514,0.5980686611599393,1.3629065619574665
vision,0,100,classification,covid_political,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.9210507428204572,0.8425620750144676,7.8488667805989625
vision,0,100,classification,covid_political,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.9210507428204572,0.9275529649522568,-0.6502222131799629
vision,0,100,classification,election2020,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.991455078125,0.93243408203125,5.902099609375
vision,0,100,classification,election2020,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.991455078125,0.99188232421875,-0.042724609375
vision,0,100,classification,ukr_rus_suspended,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.50286865234375,0.444671630859375,5.8197021484375
vision,0,100,classification,ukr_rus_suspended,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.50286865234375,0.53961181640625,-3.67431640625
vision,0,100,classification,twibot20,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.5479534996880425,0.5786857604980469,-3.0732260810004353
vision,0,100,classification,twibot20,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.5479534996880425,0.5107354058159722,3.7218093872070312
vision,0,100,classification,covid_political,"twibot20,midterm",twibot20,midterm,0.9197393346715856,0.9245040328414352,-0.47646981698495905
vision,0,100,classification,covid_political,"twibot20,midterm",midterm,twibot20,0.9197393346715856,0.92133218270761,-0.15928480360243302
vision,0,100,classification,election2020,"twibot20,midterm",twibot20,midterm,0.9859619140625,0.98699951171875,-0.103759765625
