architecture,count,mean,median,min,max
gilt,24,2.1780490875244154,-0.046910179985898415,-4.840087890625,22.1923828125
prodigy,24,3.3369073161372422,0.42247772216796875,-5.599297417534732,41.9677734375
vision,24,1.304492832701884,0.2655029296875,-6.072998046875,10.827354148582181
