order,rung,target_step,n_sources,added_dataset,mean_auc,in_training_mean_auc,held_out_mean_auc,id_ood_gap
A,1,10000,1,ukr_rus_twitter,0.8642924628552044,0.9381256633620688,0.8537448627827952,0.08438080057927366
A,2,20000,2,covid19_twitter,0.8681742306932472,0.9587615401740102,0.8379784608663262,0.12078307930768395
A,3,30000,3,midterm,0.8686368641902138,0.9418831222541507,0.8246891093518517,0.11719401290229903
A,4,40000,4,covid_political,0.8751408336087164,0.9331831316091955,0.8170985356082374,0.1160845960009581
A,5,50000,5,election2020,0.8865180233656609,0.932215975756705,0.8103547693805875,0.12186120637611753
A,6,60000,6,ukr_rus_suspended,0.9030317104805238,0.9345846236856109,0.8083729708652619,0.12621165282034896
A,7,70000,7,twibot20,0.9073789834031769,0.9342841733762087,0.7190426535919541,0.21524151978425465
A,8,80000,8,cp_hk_twitter,0.9267446877813696,0.9267446877813696,,
C,1,10000,1,election2020,0.7429706057511174,0.934022372413793,0.7156774962278781,0.21834487618591492
C,2,20000,2,covid_political,0.7541289013669381,0.9206030015884418,0.6986375346264367,0.22196546696200503
C,3,30000,3,cp_hk_twitter,0.8246038217592593,0.9086087902724563,0.7742008406513411,0.13440794962111524
C,4,40000,4,ukr_rus_suspended,0.8803153704861113,0.9188919850614624,0.84173875591076,0.07715322915070244
C,5,50000,5,midterm,0.9004790683010057,0.9163250955204342,0.8740690229352915,0.042256072585142634
C,6,60000,6,twibot20,0.9180749810225095,0.9187473340676883,0.9160579218869732,0.002689412180715056
C,7,70000,7,ukr_rus_twitter,0.9250971891263569,0.9191407768769384,0.966792074872286,-0.04765129799534762
C,8,80000,8,covid19_twitter,0.9267446877813696,0.9267446877813696,,
