order,rung,test_graph,entry_rung,rel_to_entry,in_training,auc_h1,auc_h2,delta_h2_minus_h1,model_prefix_h2m
A,1,ukr_rus_twitter,1,0,1,0.948,0.9455077090836527,-0.002492290916347284,nm_ladder_h2m_ordA_r1
A,1,covid19_twitter,2,-1,0,0.973,0.9711098078703703,-0.0018901921296297086,nm_ladder_h2m_ordA_r1
A,1,midterm,3,-2,0,0.874,0.8699922557950192,-0.004007744204980845,nm_ladder_h2m_ordA_r1
A,1,covid_political,4,-3,0,0.849,0.8448359347222225,-0.004164065277777462,nm_ladder_h2m_ordA_r1
A,1,election2020,5,-4,0,0.828,0.8302339057471265,0.0022339057471265633,nm_ladder_h2m_ordA_r1
A,1,ukr_rus_suspended,6,-5,0,0.771,0.8232057425287356,0.052205742528735555,nm_ladder_h2m_ordA_r1
A,1,twibot20,7,-6,0,0.921,0.9099036612867178,-0.011096338713282194,nm_ladder_h2m_ordA_r1
A,1,cp_hk_twitter,8,-7,0,0.724,0.7063602985632186,-0.017639701436781396,nm_ladder_h2m_ordA_r1
A,2,ukr_rus_twitter,1,1,1,0.945,0.9431266049648788,-0.0018733950351211837,nm_ladder_h2m_ordA_r2
A,2,covid19_twitter,2,0,1,0.98,0.980046657774585,4.6657774585012746e-05,nm_ladder_h2m_ordA_r2
A,2,midterm,3,-1,0,0.885,0.8841330986270752,-0.0008669013729247776,nm_ladder_h2m_ordA_r2
A,2,covid_political,4,-2,0,0.843,0.8474316738186461,0.004431673818646176,nm_ladder_h2m_ordA_r2
A,2,election2020,5,-3,0,0.828,0.8268513448275864,-0.0011486551724135818,nm_ladder_h2m_ordA_r2
A,2,ukr_rus_suspended,6,-4,0,0.775,0.8000634321839081,0.025063432183908052,nm_ladder_h2m_ordA_r2
A,2,twibot20,7,-5,0,0.925,0.9161999911398467,-0.008800008860153308,nm_ladder_h2m_ordA_r2
A,2,cp_hk_twitter,8,-6,0,0.726,0.7173846643678162,-0.008615335632183752,nm_ladder_h2m_ordA_r2
A,3,ukr_rus_twitter,1,2,1,0.941,0.9389399155172413,-0.0020600844827586284,nm_ladder_h2m_ordA_r3
A,3,covid19_twitter,2,1,1,0.978,0.9784782560504471,0.0004782560504471567,nm_ladder_h2m_ordA_r3
A,3,midterm,3,0,1,0.915,0.9127096802362706,-0.002290319763729398,nm_ladder_h2m_ordA_r3
A,3,covid_political,4,-1,0,0.83,0.8504164077266924,0.020416407726692398,nm_ladder_h2m_ordA_r3
