train_graph,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference
ukr_rus_twitter,0.947028,0.973043,0.881146,0.839448,0.826196,0.789419,0.921784,0.714035,0.975288
covid19_twitter,0.926438,0.980542,0.884235,0.849781,0.834535,0.786113,0.925756,0.719586,0.974159
midterm,0.796992,0.879003,0.925165,0.835314,0.804740,0.644002,0.861256,0.625576,0.900582
covid_political,0.630141,0.698542,0.687779,0.914533,0.783330,0.551013,0.737411,0.544398,0.742021
election2020,0.601829,0.655124,0.680383,0.787224,0.951885,0.562676,0.709563,0.547520,0.685769
ukr_rus_suspended,0.769504,0.830668,0.724669,0.732532,0.727516,0.964013,0.764740,0.622528,0.855911
twibot20,0.868762,0.947328,0.860016,0.843136,0.802463,0.711454,0.948679,0.689476,0.954078
cp_hk_twitter,0.680769,0.757893,0.762906,0.682708,0.641204,0.602468,0.737786,0.905549,0.804048
facebook_page_reference,0.786644,0.870770,0.809210,0.804823,0.775043,0.651856,0.835158,0.626639,0.999472
