train_graph,test_graph,roc_auc,accuracy,f1,checkpoint_step,checkpoint_path,metrics_path
ukr_rus_twitter,facebook_page_reference,0.9752884646551725,0.6395333333333333,0.6395547032385013,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_ukr_rus_twitter_13_07_2026_20_03_37/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_ukr_rus_twitter_to_facebook_page_reference_nm_3shot_30way_06_08_2026_08_11_52/data/metrics_test_step0.json
covid19_twitter,facebook_page_reference,0.9741591488505746,0.6532333333333333,0.6531891314637798,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_covid19_twitter_13_07_2026_20_03_37/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_covid19_twitter_to_facebook_page_reference_nm_3shot_30way_06_08_2026_08_11_52/data/metrics_test_step0.json
midterm,facebook_page_reference,0.9005823425287357,0.40628333333333333,0.4062335265590102,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_midterm_13_07_2026_20_03_37/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_midterm_to_facebook_page_reference_nm_3shot_30way_06_08_2026_08_11_52/data/metrics_test_step0.json
covid_political,facebook_page_reference,0.7420214942528734,0.1751,0.1749931942203908,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_covid_political_13_07_2026_20_03_37/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_covid_political_to_facebook_page_reference_nm_3shot_30way_06_08_2026_08_12_24/data/metrics_test_step0.json
election2020,facebook_page_reference,0.6857693692528736,0.13561666666666666,0.13527770722098978,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_election2020_13_07_2026_21_41_40/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_election2020_to_facebook_page_reference_nm_3shot_30way_06_08_2026_08_12_24/data/metrics_test_step0.json
ukr_rus_suspended,facebook_page_reference,0.8559106439655173,0.3096,0.3095538464365096,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_ukr_rus_suspended_13_07_2026_21_40_29/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_ukr_rus_suspended_to_facebook_page_reference_nm_3shot_30way_06_08_2026_08_12_25/data/metrics_test_step0.json
twibot20,facebook_page_reference,0.9540783836206896,0.5631666666666667,0.5632350313612405,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_twibot20_13_07_2026_21_22_45/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_twibot20_to_facebook_page_reference_nm_3shot_30way_06_08_2026_08_12_55/data/metrics_test_step0.json
cp_hk_twitter,facebook_page_reference,0.8040483159482759,0.22655,0.22637653286137413,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_cp_hk_twitter_13_07_2026_21_38_47/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_cp_hk_twitter_to_facebook_page_reference_nm_3shot_30way_06_08_2026_08_12_55/data/metrics_test_step0.json
facebook_page_reference,ukr_rus_twitter,0.7866443339240103,0.24858333333333332,0.24861424194834006,40000,/dataMeR1/phil/gfm/prodigy-facebook/state/nm_ss_facebook_page_reference_06_08_2026_08_11_49/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_facebook_page_reference_to_ukr_rus_twitter_nm_3shot_30way_06_08_2026_09_03_14/data/metrics_test_step0.json
facebook_page_reference,covid19_twitter,0.8707702056353769,0.33153333333333335,0.3314934631886135,40000,/dataMeR1/phil/gfm/prodigy-facebook/state/nm_ss_facebook_page_reference_06_08_2026_08_11_49/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_facebook_page_reference_to_covid19_twitter_nm_3shot_30way_06_08_2026_09_03_15/data/metrics_test_step0.json
facebook_page_reference,midterm,0.8092096623084292,0.23153888888888888,0.23155543582746937,40000,/dataMeR1/phil/gfm/prodigy-facebook/state/nm_ss_facebook_page_reference_06_08_2026_08_11_49/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_facebook_page_reference_to_midterm_nm_3shot_30way_06_08_2026_09_03_15/data/metrics_test_step0.json
facebook_page_reference,covid_political,0.8048231698754791,0.13243888888888888,0.13239176250134033,40000,/dataMeR1/phil/gfm/prodigy-facebook/state/nm_ss_facebook_page_reference_06_08_2026_08_11_49/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_facebook_page_reference_to_covid_political_nm_3shot_30way_06_08_2026_09_03_15/data/metrics_test_step0.json
facebook_page_reference,election2020,0.7750426252873563,0.1084,0.10825814438604285,40000,/dataMeR1/phil/gfm/prodigy-facebook/state/nm_ss_facebook_page_reference_06_08_2026_08_11_49/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_facebook_page_reference_to_election2020_nm_3shot_30way_06_08_2026_09_05_46/data/metrics_test_step0.json
facebook_page_reference,ukr_rus_suspended,0.6518564597701147,0.1072,0.10714446146610074,40000,/dataMeR1/phil/gfm/prodigy-facebook/state/nm_ss_facebook_page_reference_06_08_2026_08_11_49/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_facebook_page_reference_to_ukr_rus_suspended_nm_3shot_30way_06_08_2026_09_07_02/data/metrics_test_step0.json
facebook_page_reference,twibot20,0.8351578326309067,0.23316666666666666,0.23313246074640215,40000,/dataMeR1/phil/gfm/prodigy-facebook/state/nm_ss_facebook_page_reference_06_08_2026_08_11_49/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_facebook_page_reference_to_twibot20_nm_3shot_30way_06_08_2026_09_07_03/data/metrics_test_step0.json
facebook_page_reference,cp_hk_twitter,0.6266389004310344,0.10198333333333333,0.10199326271162333,40000,/dataMeR1/phil/gfm/prodigy-facebook/state/nm_ss_facebook_page_reference_06_08_2026_08_11_49/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_facebook_page_reference_to_cp_hk_twitter_nm_3shot_30way_06_08_2026_09_07_03/data/metrics_test_step0.json
facebook_page_reference,facebook_page_reference,0.999471871408046,0.93355,0.9335565932994475,40000,/dataMeR1/phil/gfm/prodigy-facebook/state/nm_ss_facebook_page_reference_06_08_2026_08_11_49/checkpoint/state_dict_40000.ckpt,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ss_facebook_page_reference_to_facebook_page_reference_nm_3shot_30way_06_08_2026_09_07_03/data/metrics_test_step0.json
