model_source,ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference
ukr_rus,0.44142138404310344,0.5533052994717892,0.21194696510670494,0.1407035108500917,0.14810810726376125,0.20083930437624903,0.29963566408147824,0.1167811829530954,0.3132043425843847
covid,0.3840433786038013,0.5807533255496373,0.21468959601948548,0.14598653844040826,0.1451809069752447,0.1789764711886098,0.3105548602955339,0.1161409248724893,0.2798901049599031
midterm,0.2198977174690244,0.33803884073072565,0.25851479657512255,0.13858287771094302,0.1400013840306328,0.12833381195513863,0.22984665953336936,0.1020869146645372,0.18657178850307632
covid_political,0.106711320428902,0.15033088503123127,0.09593910203514237,0.1932700339224269,0.1117342878070506,0.08023644231939628,0.12588924529932458,0.05923554153980755,0.0990076487515362
election2020,0.11254007782362746,0.15503616484783805,0.13007493489644034,0.13259294169421798,0.23556426183570675,0.09556908313212581,0.1508910119100363,0.06661325458341201,0.10078164989451503
ukr_rus_suspended,0.23256687379473348,0.30741186378439816,0.13393042933556507,0.10887361827778862,0.10199162276858059,0.36632807807886203,0.16338922926428628,0.10270883650006726,0.17531802235786179
twibot20,0.3178601608218743,0.4879551232747168,0.20903419882571805,0.1492336287302391,0.1495107405386704,0.1515838383189264,0.33246282024049717,0.10850815390227644,0.2500926128815766
cp_hk,0.18153871375226507,0.26532036636681444,0.16332840693897918,0.10132578433073054,0.10298448847041679,0.10481394294945472,0.15725645624556245,0.17863571268131792,0.16753383150955972
facebook_page_reference,0.23527466813521514,0.316220320683947,0.1347337652363359,0.1140793660200712,0.1184639755445718,0.11511154544367179,0.18098316492484248,0.07780888373305347,0.27210285785939514
