accuracy	architecture	baseline	checkpoint_step	dataset	episode_fingerprint	episodes	eval_episode_seed_offset	f1	model_id	n_query	n_shot	n_way	queries	roc_auc	seed	sources	task	training_seed	result_file	aux_loss	checkpoint	evaluation_seed	loss	score	score_std
0.98046875	gilt	pretrained	300	election2020	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	128	0	0.980544747081712	ss_covid_political	1	10	2	256	0.98199462890625	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step300.jsonl						
0.5491536458333334	gilt	pretrained	300	twibot20	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	128	0	0.5501786294251381	ss_covid_political	12	10	2	3072	0.5771162245008681	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step300.jsonl						
0.5703125	gilt	pretrained	300	facebook_page_reference	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	128	0	0.5634920634920635	ss_covid_political	4	10	2	1024	0.6048851013183594	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step300.jsonl						
0.8740234375	gilt	pretrained	60	covid_political	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	128	0	0.8691241122759553	ss_covid_political	12	10	2	3072	0.9369545714052687	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step60.jsonl						
0.5	gilt	pretrained	60	ukr_rus_suspended	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	128	0	0.5038759689922481	ss_covid_political	1	10	2	256	0.4921875	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step60.jsonl						
0.92578125	gilt	pretrained	60	election2020	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	128	0	0.9266409266409267	ss_covid_political	1	10	2	256	0.97003173828125	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step60.jsonl						
0.5296223958333334	gilt	pretrained	60	twibot20	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	128	0	0.544020195645314	ss_covid_political	12	10	2	3072	0.5352225833468968	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step60.jsonl						
0.5478515625	gilt	pretrained	60	facebook_page_reference	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	128	0	0.5438423645320197	ss_covid_political	4	10	2	1024	0.5944480895996094	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step60.jsonl						
0.9069010416666666	gilt	pretrained	900	covid_political	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	128	0	0.9034436191762323	ss_covid_political	12	10	2	3072	0.9395544901856836	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step900.jsonl						
0.5078125	gilt	pretrained	900	ukr_rus_suspended	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	128	0	0.5190839694656488	ss_covid_political	1	10	2	256	0.52960205078125	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step900.jsonl						
