architecture	task	checkpoint_step	mean_roc_auc	std_roc_auc	n
prodigy	neighbor_matching	0	0.49937414629706023	0.0005872339237349873	5
prodigy	neighbor_matching	20	0.5511285641549648	0.028495543924891214	5
prodigy	neighbor_matching	60	0.6398560846262964	0.058424393046609575	5
prodigy	neighbor_matching	100	0.7089220735396463	0.06961424978041567	5
prodigy	neighbor_matching	300	0.8704722945991602	0.02569237481933244	5
prodigy	neighbor_matching	900	0.8766280001059347	0.04721668513912708	5
prodigy	classification	0	0.432003911336263	0.0668102264199798	5
prodigy	classification	20	0.5534894929108796	0.07007157711329433	25
prodigy	classification	60	0.5524790643762659	0.0729888093837291	25
prodigy	classification	100	0.6016431624801071	0.12736740518389408	25
prodigy	classification	300	0.7263901519775391	0.16873170842816743	25
prodigy	classification	900	0.7187823966697411	0.17932123880086567	25
vision	neighbor_matching	0	0.5791253688417631	0.03538233614059635	5
vision	neighbor_matching	20	0.7591903800525884	0.046469608292611875	5
vision	neighbor_matching	60	0.8116257345265356	0.03417599050624914	5
vision	neighbor_matching	100	0.8272898636741199	0.03372022169257519	5
vision	neighbor_matching	300	0.8568251340142611	0.02354557289073063	5
vision	neighbor_matching	900	0.8636996815122409	0.02679293830677222	5
vision	classification	0	0.6711537104804374	0.1261577194271877	5
vision	classification	20	0.7138916682115863	0.17329620590962727	25
vision	classification	60	0.7308388232741462	0.18719328416330674	25
vision	classification	100	0.7387190276698881	0.1850062957534204	25
vision	classification	300	0.7524677525801295	0.18346834170916806	25
vision	classification	900	0.7594708338093121	0.18180876677210947	25
gilt	neighbor_matching	0	0.5194235694271395	0.007351047534585855	5
gilt	neighbor_matching	20	0.6349423397546528	0.025761855183223267	5
gilt	neighbor_matching	60	0.724306964216561	0.03928281177973199	5
gilt	neighbor_matching	100	0.7454460586898628	0.037328038767097546	5
gilt	neighbor_matching	300	0.7884588298578372	0.03735490553903817	5
gilt	neighbor_matching	900	0.806560119102741	0.027517071273372547	5
gilt	classification	0	0.4787128591292465	0.1016364754766038	5
gilt	classification	20	0.5713829511694258	0.13525809190944418	25
gilt	classification	60	0.6271571138864874	0.17363714174804273	25
gilt	classification	100	0.6536855096674159	0.17243479323971994	25
gilt	classification	300	0.6975468647096615	0.18686482674293184	25
gilt	classification	900	0.7029652775126997	0.18567793813709627	25
