metric,train,test,value
roc_auc,midterm,midterm,0.926022
roc_auc,midterm,covid,0.879190
roc_auc,midterm,ukr (held-out),0.793506
roc_auc,midterm,merged,0.880614
roc_auc,covid,midterm,0.885963
roc_auc,covid,covid,0.981257
roc_auc,covid,ukr (held-out),0.925672
roc_auc,covid,merged,0.981555
roc_auc,merged-naive @match,midterm,0.884860
roc_auc,merged-naive @match,covid,0.981034
roc_auc,merged-naive @match,ukr (held-out),0.924883
roc_auc,merged-naive @match,merged,0.981514
roc_auc,merged-naive @full,midterm,0.889950
roc_auc,merged-naive @full,covid,0.982651
roc_auc,merged-naive @full,ukr (held-out),0.923993
roc_auc,merged-naive @full,merged,0.983175
roc_auc,merged-within @match,midterm,0.894288
roc_auc,merged-within @match,covid,0.981374
roc_auc,merged-within @match,ukr (held-out),0.924301
roc_auc,merged-within @match,merged,0.981655
roc_auc,merged-within @full,midterm,0.898430
roc_auc,merged-within @full,covid,0.982758
roc_auc,merged-within @full,ukr (held-out),0.924389
roc_auc,merged-within @full,merged,0.983084
roc_auc,merged-within-bal @match,midterm,0.923078
roc_auc,merged-within-bal @match,covid,0.977954
roc_auc,merged-within-bal @match,ukr (held-out),0.921625
roc_auc,merged-within-bal @match,merged,0.978277
roc_auc,merged-within-bal @full,midterm,0.929106
roc_auc,merged-within-bal @full,covid,0.979639
roc_auc,merged-within-bal @full,ukr (held-out),0.921211
roc_auc,merged-within-bal @full,merged,0.980065
accuracy,midterm,midterm,0.417100
accuracy,midterm,covid,0.318256
accuracy,midterm,ukr (held-out),0.225594
accuracy,midterm,merged,0.323122
accuracy,covid,midterm,0.317572
accuracy,covid,covid,0.661622
accuracy,covid,ukr (held-out),0.462511
accuracy,covid,merged,0.665328
accuracy,merged-naive @match,midterm,0.313722
accuracy,merged-naive @match,covid,0.662567
accuracy,merged-naive @match,ukr (held-out),0.459761
accuracy,merged-naive @match,merged,0.666922
accuracy,merged-naive @full,midterm,0.328450
accuracy,merged-naive @full,covid,0.672811
accuracy,merged-naive @full,ukr (held-out),0.461039
accuracy,merged-naive @full,merged,0.676406
accuracy,merged-within @match,midterm,0.326939
accuracy,merged-within @match,covid,0.661656
accuracy,merged-within @match,ukr (held-out),0.458639
accuracy,merged-within @match,merged,0.665372
accuracy,merged-within @full,midterm,0.337311
accuracy,merged-within @full,covid,0.672433
accuracy,merged-within @full,ukr (held-out),0.458628
accuracy,merged-within @full,merged,0.676583
accuracy,merged-within-bal @match,midterm,0.404817
accuracy,merged-within-bal @match,covid,0.637728
accuracy,merged-within-bal @match,ukr (held-out),0.447956
accuracy,merged-within-bal @match,merged,0.642944
accuracy,merged-within-bal @full,midterm,0.426944
accuracy,merged-within-bal @full,covid,0.651094
accuracy,merged-within-bal @full,ukr (held-out),0.447606
accuracy,merged-within-bal @full,merged,0.655372
f1,midterm,midterm,0.417082
f1,midterm,covid,0.318266
f1,midterm,ukr (held-out),0.225557
f1,midterm,merged,0.323033
f1,covid,midterm,0.319090
f1,covid,covid,0.661594
f1,covid,ukr (held-out),0.462604
f1,covid,merged,0.665310
f1,merged-naive @match,midterm,0.314068
f1,merged-naive @match,covid,0.662555
f1,merged-naive @match,ukr (held-out),0.459777
f1,merged-naive @match,merged,0.666913
f1,merged-naive @full,midterm,0.328525
f1,merged-naive @full,covid,0.672794
f1,merged-naive @full,ukr (held-out),0.461124
f1,merged-naive @full,merged,0.676400
f1,merged-within @match,midterm,0.327098
f1,merged-within @match,covid,0.661607
f1,merged-within @match,ukr (held-out),0.458830
f1,merged-within @match,merged,0.665396
f1,merged-within @full,midterm,0.337424
f1,merged-within @full,covid,0.672427
f1,merged-within @full,ukr (held-out),0.458764
f1,merged-within @full,merged,0.676562
f1,merged-within-bal @match,midterm,0.404781
f1,merged-within-bal @match,covid,0.637714
f1,merged-within-bal @match,ukr (held-out),0.447987
f1,merged-within-bal @match,merged,0.642958
f1,merged-within-bal @full,midterm,0.426927
f1,merged-within-bal @full,covid,0.651056
f1,merged-within-bal @full,ukr (held-out),0.447572
f1,merged-within-bal @full,merged,0.655347
