arm,step,task,dataset,target,metric,value,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path
all8,2000,classification,election2020,,roc_auc,0.9820559999999999,sat_h2m_all8_s002000,sat_h2m_all8_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s002000_to_election2020_pl_10shot_01_08_2026_13_33_14/data/metrics_test_step0.json
all8,2000,classification,twibot20,,roc_auc,0.62637225,sat_h2m_all8_s002000,sat_h2m_all8_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s002000_to_twibot20_pl_10shot_01_08_2026_13_38_17/data/metrics_test_step0.json
all8,2000,classification,ukr_rus_suspended,,roc_auc,0.5071539999999999,sat_h2m_all8_s002000,sat_h2m_all8_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s002000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_50/data/metrics_test_step0.json
all8,10000,classification,covid_political,,roc_auc,0.9322659305555555,sat_h2m_all8_s010000,sat_h2m_all8_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s010000_to_covid_political_pl_10shot_01_08_2026_13_30_17/data/metrics_test_step0.json
all8,10000,classification,election2020,,roc_auc,0.982592,sat_h2m_all8_s010000,sat_h2m_all8_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s010000_to_election2020_pl_10shot_01_08_2026_13_33_37/data/metrics_test_step0.json
all8,10000,classification,twibot20,,roc_auc,0.6037840277777778,sat_h2m_all8_s010000,sat_h2m_all8_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s010000_to_twibot20_pl_10shot_01_08_2026_13_38_18/data/metrics_test_step0.json
all8,10000,classification,ukr_rus_suspended,,roc_auc,0.49301,sat_h2m_all8_s010000,sat_h2m_all8_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s010000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_01/data/metrics_test_step0.json
all8,40000,classification,covid_political,,roc_auc,0.929739875,sat_h2m_all8_s040000,sat_h2m_all8_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s040000_to_covid_political_pl_10shot_01_08_2026_13_30_38/data/metrics_test_step0.json
all8,40000,classification,election2020,,roc_auc,0.986016,sat_h2m_all8_s040000,sat_h2m_all8_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s040000_to_election2020_pl_10shot_01_08_2026_13_33_48/data/metrics_test_step0.json
all8,40000,classification,twibot20,,roc_auc,0.5869661805555556,sat_h2m_all8_s040000,sat_h2m_all8_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s040000_to_twibot20_pl_10shot_01_08_2026_13_38_30/data/metrics_test_step0.json
