method,rung,test_graph,auc,baseline_auc,delta_auc
Ours,1,covid19_twitter,0.9711098078703703,0.9711098078703703,0.0
Ours,1,covid_political,0.8448359347222225,0.8448359347222225,0.0
Ours,1,cp_hk_twitter,0.7063602985632186,0.7063602985632186,0.0
Ours,1,election2020,0.8302339057471265,0.8302339057471265,0.0
Ours,1,midterm,0.8699922557950192,0.8699922557950192,0.0
Ours,1,twibot20,0.9099036612867178,0.9099036612867178,0.0
Ours,1,ukr_rus_suspended,0.8232057425287356,0.8232057425287356,0.0
Ours,1,ukr_rus_twitter,0.9455077090836527,0.9455077090836527,0.0
Ours,2,covid19_twitter,0.980046657774585,0.9711098078703703,0.008936849904214728
Ours,2,covid_political,0.8474316738186461,0.8448359347222225,0.0025957390964236327
Ours,2,cp_hk_twitter,0.7173846643678162,0.7063602985632186,0.011024365804597647
Ours,2,election2020,0.8268513448275864,0.8302339057471265,-0.003382560919540145
Ours,2,midterm,0.8841330986270752,0.8699922557950192,0.014140842832056078
Ours,2,twibot20,0.9161999911398467,0.9099036612867178,0.00629632985312889
Ours,2,ukr_rus_suspended,0.8000634321839081,0.8232057425287356,-0.0231423103448275
Ours,2,ukr_rus_twitter,0.9431266049648788,0.9455077090836527,-0.0023811041187739024
Ours,3,covid19_twitter,0.9784782560504471,0.9711098078703703,0.00736844818007687
Ours,3,covid_political,0.8504164077266924,0.8448359347222225,0.005580473004469844
Ours,3,cp_hk_twitter,0.7122497915229887,0.7063602985632186,0.005889492959770148
Ours,3,election2020,0.8256378528735632,0.8302339057471265,-0.00459605287356335
Ours,3,midterm,0.9127096802362706,0.8699922557950192,0.042717424441251484
Ours,3,twibot20,0.9171295515644957,0.9099036612867178,0.007225890277777869
Ours,3,ukr_rus_suspended,0.7938895264367817,0.8232057425287356,-0.029316216091953895
Ours,3,ukr_rus_twitter,0.9389399155172413,0.9455077090836527,-0.006567793566411351
Ours,4,covid19_twitter,0.976840920019157,0.9711098078703703,0.005731112148786743
Ours,4,covid_political,0.9083534875798212,0.8448359347222225,0.06351755285759864
Ours,4,cp_hk_twitter,0.7153107176724138,0.7063602985632186,0.008950419109195251
Ours,4,election2020,0.8199114735632183,0.8302339057471265,-0.01032243218390827
Ours,4,midterm,0.9108899937579823,0.8699922557950192,0.04089773796296314
Ours,4,twibot20,0.9163527072477652,0.9099036612867178,0.006449045961047339
Ours,4,ukr_rus_suspended,0.8166782873563216,0.8232057425287356,-0.006527455172413932
Ours,4,ukr_rus_twitter,0.9360493834131545,0.9455077090836527,-0.009458325670498202
Ours,5,covid19_twitter,0.9761545111590038,0.9711098078703703,0.00504470328863349
Ours,5,covid_political,0.9067995949712645,0.8448359347222225,0.061963660249041985
Ours,5,cp_hk_twitter,0.7124168926724138,0.7063602985632186,0.006056594109195235
Ours,5,election2020,0.9253379241379309,0.8302339057471265,0.0951040183908044
Ours,5,midterm,0.9067991943805875,0.8699922557950192,0.03680693858556838
Ours,5,twibot20,0.9173226020114942,0.9099036612867178,0.007418940724776335
Ours,5,ukr_rus_suspended,0.809074135632184,0.8232057425287356,-0.014131606896551574
Ours,5,ukr_rus_twitter,0.9336371248243933,0.9455077090836527,-0.011870584259259354
Ours,6,covid19_twitter,0.9754197576149425,0.9711098078703703,0.004309949744572217
Ours,6,covid_political,0.9065252294061301,0.8448359347222225,0.0616892946839076
Ours,6,cp_hk_twitter,0.7137720829022989,0.7063602985632186,0.007411784339080296
Ours,6,election2020,0.9222346390804598,0.8302339057471265,0.09200073333333325
Ours,6,midterm,0.9089622940613028,0.8699922557950192,0.038970038266283646
Ours,6,twibot20,0.9182446615421457,0.9099036612867178,0.008341000255427833
Ours,6,ukr_rus_suspended,0.948558816091954,0.8232057425287356,0.12535307356321845
Ours,6,ukr_rus_twitter,0.9331358480204344,0.9455077090836527,-0.012371861063218303
Ours,7,covid19_twitter,0.9757576965197956,0.9711098078703703,0.004647888649425336
Ours,7,covid_political,0.9055715784482758,0.8448359347222225,0.060735643726053334
Ours,7,cp_hk_twitter,0.716914198275862,0.7063602985632186,0.010553899712643422
Ours,7,election2020,0.9201477379310343,0.8302339057471265,0.0899138321839078
Ours,7,midterm,0.9057646379948916,0.8699922557950192,0.03577238219987244
Ours,7,twibot20,0.9340944227809704,0.9099036612867178,0.02419076149425259
Ours,7,ukr_rus_suspended,0.9446788735632182,0.8232057425287356,0.12147313103448265
Ours,7,ukr_rus_twitter,0.9328238347381866,0.9455077090836527,-0.012683874345466029
Ours,8,covid19_twitter,0.9749378347860793,0.9711098078703703,0.0038280269157090485
Ours,8,covid_political,0.9031215206577268,0.8448359347222225,0.05828558593550426
Ours,8,cp_hk_twitter,0.8710099974137931,0.7063602985632186,0.16464969885057457
Ours,8,election2020,0.9131006781609194,0.8302339057471265,0.08286677241379292
Ours,8,midterm,0.9078855820561941,0.8699922557950192,0.03789332626117492
Ours,8,twibot20,0.9333026728448277,0.9099036612867178,0.02339901155810986
Ours,8,ukr_rus_suspended,0.9429612045977012,0.8232057425287356,0.11975546206896559
Ours,8,ukr_rus_twitter,0.9324729616698594,0.9455077090836527,-0.01303474741379329
Sequential,1,covid19_twitter,0.970507894811622,0.970507894811622,0.0
Sequential,1,covid_political,0.8443545294220945,0.8443545294220945,0.0
Sequential,1,cp_hk_twitter,0.7088645492816092,0.7088645492816092,0.0
Sequential,1,election2020,0.8225289586206894,0.8225289586206894,0.0
Sequential,1,midterm,0.8708133793901659,0.8708133793901659,0.0
Sequential,1,twibot20,0.9115502474137931,0.9115502474137931,0.0
Sequential,1,ukr_rus_suspended,0.7918827586206896,0.7918827586206896,0.0
Sequential,1,ukr_rus_twitter,0.9432019108397192,0.9432019108397192,0.0
Sequential,2,covid19_twitter,0.9808160168422734,0.970507894811622,0.010308122030651345
Sequential,2,covid_political,0.8476708445242658,0.8443545294220945,0.00331631510217123
Sequential,2,cp_hk_twitter,0.721443141810345,0.7088645492816092,0.012578592528735721
Sequential,2,election2020,0.8368345379310346,0.8225289586206894,0.014305579310345151
Sequential,2,midterm,0.8857878337962964,0.8708133793901659,0.014974454406130544
Sequential,2,twibot20,0.9208277558588762,0.9115502474137931,0.009277508445083127
Sequential,2,ukr_rus_suspended,0.8237677839080461,0.7918827586206896,0.03188502528735648
Sequential,2,ukr_rus_twitter,0.926396430252235,0.9432019108397192,-0.01680548058748421
Sequential,3,covid19_twitter,0.9525813032247766,0.970507894811622,-0.017926591586845397
Sequential,3,covid_political,0.8444397313537676,0.8443545294220945,8.520193167305123e-05
Sequential,3,cp_hk_twitter,0.6796700880747125,0.7088645492816092,-0.029194461206896727
Sequential,3,election2020,0.8199951678160919,0.8225289586206894,-0.00253379080459748
Sequential,3,midterm,0.9210112997605364,0.8708133793901659,0.05019792037037052
Sequential,3,twibot20,0.884386244220945,0.9115502474137931,-0.027164003192848063
Sequential,3,ukr_rus_suspended,0.7269394482758622,0.7918827586206896,-0.06494331034482737
Sequential,3,ukr_rus_twitter,0.8735778379629628,0.9432019108397192,-0.06962407287675632
Sequential,4,covid19_twitter,0.8936416198435503,0.970507894811622,-0.07686627496807175
Sequential,4,covid_political,0.9108331575031927,0.8443545294220945,0.06647862808109817
Sequential,4,cp_hk_twitter,0.630811494827586,0.7088645492816092,-0.07805305445402322
Sequential,4,election2020,0.7856101333333333,0.8225289586206894,-0.03691882528735613
Sequential,4,midterm,0.823311726516603,0.8708133793901659,-0.047501652873562894
Sequential,4,twibot20,0.8286133932311621,0.9115502474137931,-0.08293685418263097
Sequential,4,ukr_rus_suspended,0.6301557977011495,0.7918827586206896,-0.16172696091954009
Sequential,4,ukr_rus_twitter,0.7893373862068968,0.9432019108397192,-0.1538645246328224
Sequential,5,covid19_twitter,0.8729386037994893,0.970507894811622,-0.09756929101213274
Sequential,5,covid_political,0.833804611047254,0.8443545294220945,-0.010549918374840539
Sequential,5,cp_hk_twitter,0.6556294356321839,0.7088645492816092,-0.05323511364942535
Sequential,5,election2020,0.9358254298850575,0.8225289586206894,0.11329647126436804
Sequential,5,midterm,0.840789900989783,0.8708133793901659,-0.030023478400382886
Sequential,5,twibot20,0.8473532961685825,0.9115502474137931,-0.06419695124521063
Sequential,5,ukr_rus_suspended,0.6781827057471265,0.7918827586206896,-0.1137000528735631
Sequential,5,ukr_rus_twitter,0.8005225042145593,0.9432019108397192,-0.14267940662515988
Sequential,6,covid19_twitter,0.9276444670178798,0.970507894811622,-0.04286342779374219
Sequential,6,covid_political,0.8330897542943807,0.8443545294220945,-0.011264775127713844
Sequential,6,cp_hk_twitter,0.6621390869252873,0.7088645492816092,-0.04672546235632191
Sequential,6,election2020,0.8458496068965516,0.8225289586206894,0.02332064827586222
Sequential,6,midterm,0.8529169279214557,0.8708133793901659,-0.017896451468710217
Sequential,6,twibot20,0.8530550420019157,0.9115502474137931,-0.05849520541187736
Sequential,6,ukr_rus_suspended,0.9571204919540229,0.7918827586206896,0.16523773333333336
Sequential,6,ukr_rus_twitter,0.853111346727331,0.9432019108397192,-0.09009056411238814
Sequential,7,covid19_twitter,0.9619826038952746,0.970507894811622,-0.008525290916347461
Sequential,7,covid_political,0.8576097351692209,0.8443545294220945,0.013255205747126353
Sequential,7,cp_hk_twitter,0.7114932199712645,0.7088645492816092,0.0026286706896552214
Sequential,7,election2020,0.8415881563218391,0.8225289586206894,0.01905919770114972
Sequential,7,midterm,0.8841230996008941,0.8708133793901659,0.013309720210728182
Sequential,7,twibot20,0.9391387248722861,0.9115502474137931,0.02758847745849302
Sequential,7,ukr_rus_suspended,0.8899935885057472,0.7918827586206896,0.0981108298850576
Sequential,7,ukr_rus_twitter,0.8947465427681992,0.9432019108397192,-0.048455368071519955
Sequential,8,covid19_twitter,0.9276296940453385,0.970507894811622,-0.04287820076628357
Sequential,8,covid_political,0.8296171325670499,0.8443545294220945,-0.014737396855044604
Sequential,8,cp_hk_twitter,0.8847957130747125,0.7088645492816092,0.17593116379310325
Sequential,8,election2020,0.8151624712643677,0.8225289586206894,-0.007366487356321727
Sequential,8,midterm,0.8570249955779057,0.8708133793901659,-0.013788383812260219
Sequential,8,twibot20,0.8952350497924648,0.9115502474137931,-0.01631519762132827
Sequential,8,ukr_rus_suspended,0.7856810229885057,0.7918827586206896,-0.006201735632183847
Sequential,8,ukr_rus_twitter,0.8357270276819923,0.9432019108397192,-0.10747488315772691
