rung,test_graph,entry_rung,rel_to_entry,role,auc_interleaved,auc_sequential,delta_sequential_minus_interleaved,auc_unconfined
1,ukr_rus_twitter,1,0,newcomer,0.9455077090836527,0.9432019108397192,-0.00230579824393351,0.9450685614303961
1,covid19_twitter,2,-1,heldout,0.9711098078703703,0.970507894811622,-0.000601913058748238,0.9708918973020435
1,midterm,3,-2,heldout,0.8699922557950192,0.8708133793901659,0.0008211235951467444,0.8695711520274586
1,covid_political,4,-3,heldout,0.8448359347222225,0.8443545294220945,-0.00048140530012796834,0.8491740853288634
1,election2020,5,-4,heldout,0.8302339057471265,0.8225289586206894,-0.0077049471264371006,0.8268954160919539
1,ukr_rus_suspended,6,-5,heldout,0.8232057425287356,0.7918827586206896,-0.031322983908046,0.8135203747126437
1,twibot20,7,-6,heldout,0.9099036612867178,0.9115502474137931,0.0016465861270752447,0.910857836574074
1,cp_hk_twitter,8,-7,heldout,0.7063602985632186,0.7088645492816092,0.002504250718390666,0.7189554847701151
2,ukr_rus_twitter,1,1,incumbent,0.9431266049648788,0.926396430252235,-0.01673017471264382,0.934924649137931
2,covid19_twitter,2,0,newcomer,0.980046657774585,0.9808160168422734,0.0007693590676883799,0.9784232530970627
2,midterm,3,-1,heldout,0.8841330986270752,0.8857878337962964,0.0016547351692212109,0.8739586857918265
2,covid_political,4,-2,heldout,0.8474316738186461,0.8476708445242658,0.00023917070561962905,0.8526702720146871
2,election2020,5,-3,heldout,0.8268513448275864,0.8368345379310346,0.009983193103448196,0.8309652574712643
2,ukr_rus_suspended,6,-4,heldout,0.8000634321839081,0.8237677839080461,0.023704351724137984,0.8039474781609195
2,twibot20,7,-5,heldout,0.9161999911398467,0.9208277558588762,0.004627764719029481,0.9193279811462325
2,cp_hk_twitter,8,-6,heldout,0.7173846643678162,0.721443141810345,0.004058477442528741,0.715439157902299
3,ukr_rus_twitter,1,2,incumbent,0.9389399155172413,0.8735778379629628,-0.06536207755427847,0.9333421276181355
3,covid19_twitter,2,1,incumbent,0.9784782560504471,0.9525813032247766,-0.025896952825670505,0.9785715283524905
3,midterm,3,0,newcomer,0.9127096802362706,0.9210112997605364,0.00830161952426578,0.8732943329501915
3,covid_political,4,-1,heldout,0.8504164077266924,0.8444397313537676,-0.005976676372924761,0.8529765965357599
3,election2020,5,-2,heldout,0.8256378528735632,0.8199951678160919,-0.005642685057471231,0.8327380275862069
3,ukr_rus_suspended,6,-3,heldout,0.7938895264367817,0.7269394482758622,-0.06695007816091947,0.8108945999999999
3,twibot20,7,-4,heldout,0.9171295515644957,0.884386244220945,-0.03274330734355069,0.917546553911239
