schedule,rung,n_sources,test_graph,test_canonical,auc,entry_rung,rel_to_entry,in_training,is_newcomer,added,sources,block_steps,model_prefix,eval_run
sequential,5,5,covid_political,covid-political,0.833804611047254,4,1,1,0,election2020,ukr_rus covid midterm covid_political election2020,8000 8000 8000 8000 8000,nm_ladder_seq_h2m_r5,eval_nm_ladder_seq_h2m_r5_to_covid_political_nm_3shot_30way_02_08_2026_03_21_02
sequential,5,5,election2020,election2020-political,0.9358254298850575,5,0,1,1,election2020,ukr_rus covid midterm covid_political election2020,8000 8000 8000 8000 8000,nm_ladder_seq_h2m_r5,eval_nm_ladder_seq_h2m_r5_to_election2020_nm_3shot_30way_02_08_2026_03_23_24
sequential,5,5,ukr_rus_suspended,ukraine-suspended,0.6781827057471265,6,-1,0,0,election2020,ukr_rus covid midterm covid_political election2020,8000 8000 8000 8000 8000,nm_ladder_seq_h2m_r5,eval_nm_ladder_seq_h2m_r5_to_ukr_rus_suspended_nm_3shot_30way_02_08_2026_03_24_38
sequential,5,5,twibot20,twibot20,0.8473532961685825,7,-2,0,0,election2020,ukr_rus covid midterm covid_political election2020,8000 8000 8000 8000 8000,nm_ladder_seq_h2m_r5,eval_nm_ladder_seq_h2m_r5_to_twibot20_nm_3shot_30way_02_08_2026_03_27_07
sequential,5,5,cp_hk_twitter,hongkong,0.6556294356321839,8,-3,0,0,election2020,ukr_rus covid midterm covid_political election2020,8000 8000 8000 8000 8000,nm_ladder_seq_h2m_r5,eval_nm_ladder_seq_h2m_r5_to_cp_hk_twitter_nm_3shot_30way_02_08_2026_03_30_06
sequential,6,6,ukr_rus_twitter,ukraine,0.853111346727331,1,5,1,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,6667 6667 6667 6667 6666 6666,nm_ladder_seq_h2m_r6,eval_nm_ladder_seq_h2m_r6_to_ukr_rus_twitter_nm_3shot_30way_02_08_2026_03_04_41
sequential,6,6,covid19_twitter,covid,0.9276444670178798,2,4,1,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,6667 6667 6667 6667 6666 6666,nm_ladder_seq_h2m_r6,eval_nm_ladder_seq_h2m_r6_to_covid19_twitter_nm_3shot_30way_02_08_2026_03_11_38
sequential,6,6,midterm,midterm,0.8529169279214557,3,3,1,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,6667 6667 6667 6667 6666 6666,nm_ladder_seq_h2m_r6,eval_nm_ladder_seq_h2m_r6_to_midterm_nm_3shot_30way_02_08_2026_03_17_37
sequential,6,6,covid_political,covid-political,0.8330897542943807,4,2,1,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,6667 6667 6667 6667 6666 6666,nm_ladder_seq_h2m_r6,eval_nm_ladder_seq_h2m_r6_to_covid_political_nm_3shot_30way_02_08_2026_03_21_04
sequential,6,6,election2020,election2020-political,0.8458496068965516,5,1,1,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,6667 6667 6667 6667 6666 6666,nm_ladder_seq_h2m_r6,eval_nm_ladder_seq_h2m_r6_to_election2020_nm_3shot_30way_02_08_2026_03_23_24
