arm,step,task,dataset,target,metric,value_h2,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path,value_h1,delta_h2_minus_h1
all8,500,classification,ukr_rus_suspended,,roc_auc,0.490314,sat_h2m_all8_s000500,sat_h2m_all8_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s000500_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_41/data/metrics_test_step0.json,0.5076480000000001,-0.01733400000000007
all8,1000,classification,covid_political,,roc_auc,0.9140574027777777,sat_h2m_all8_s001000,sat_h2m_all8_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s001000_to_covid_political_pl_10shot_01_08_2026_13_30_16/data/metrics_test_step0.json,0.9097569305555556,0.004300472222222074
all8,1000,classification,election2020,,roc_auc,0.984252,sat_h2m_all8_s001000,sat_h2m_all8_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s001000_to_election2020_pl_10shot_01_08_2026_13_33_14/data/metrics_test_step0.json,0.983108,0.0011440000000000339
all8,1000,classification,twibot20,,roc_auc,0.6388082222222221,sat_h2m_all8_s001000,sat_h2m_all8_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s001000_to_twibot20_pl_10shot_01_08_2026_13_38_04/data/metrics_test_step0.json,0.6115166527777778,0.02729156944444433
all8,1000,classification,ukr_rus_suspended,,roc_auc,0.517564,sat_h2m_all8_s001000,sat_h2m_all8_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s001000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_41/data/metrics_test_step0.json,0.51239,0.005174000000000012
all8,2000,classification,covid_political,,roc_auc,0.9247147499999999,sat_h2m_all8_s002000,sat_h2m_all8_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s002000_to_covid_political_pl_10shot_01_08_2026_13_30_16/data/metrics_test_step0.json,0.9228838333333332,0.001830916666666682
all8,2000,classification,election2020,,roc_auc,0.9820559999999999,sat_h2m_all8_s002000,sat_h2m_all8_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s002000_to_election2020_pl_10shot_01_08_2026_13_33_14/data/metrics_test_step0.json,0.982588,-0.000532000000000088
all8,2000,classification,twibot20,,roc_auc,0.62637225,sat_h2m_all8_s002000,sat_h2m_all8_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s002000_to_twibot20_pl_10shot_01_08_2026_13_38_17/data/metrics_test_step0.json,0.6527896111111112,-0.02641736111111126
all8,2000,classification,ukr_rus_suspended,,roc_auc,0.5071539999999999,sat_h2m_all8_s002000,sat_h2m_all8_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s002000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_50/data/metrics_test_step0.json,0.487432,0.019721999999999906
all8,10000,classification,covid_political,,roc_auc,0.9322659305555555,sat_h2m_all8_s010000,sat_h2m_all8_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s010000_to_covid_political_pl_10shot_01_08_2026_13_30_17/data/metrics_test_step0.json,0.9322839027777778,-1.797222222232886e-05
all8,10000,classification,election2020,,roc_auc,0.982592,sat_h2m_all8_s010000,sat_h2m_all8_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s010000_to_election2020_pl_10shot_01_08_2026_13_33_37/data/metrics_test_step0.json,0.9828,-0.00020799999999998597
all8,10000,classification,twibot20,,roc_auc,0.6037840277777778,sat_h2m_all8_s010000,sat_h2m_all8_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s010000_to_twibot20_pl_10shot_01_08_2026_13_38_18/data/metrics_test_step0.json,0.6383755277777778,-0.0345915
all8,10000,classification,ukr_rus_suspended,,roc_auc,0.49301,sat_h2m_all8_s010000,sat_h2m_all8_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s010000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_01/data/metrics_test_step0.json,0.5158020000000001,-0.02279200000000009
all8,40000,classification,covid_political,,roc_auc,0.929739875,sat_h2m_all8_s040000,sat_h2m_all8_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s040000_to_covid_political_pl_10shot_01_08_2026_13_30_38/data/metrics_test_step0.json,0.9266721944444444,0.0030676805555556186
all8,40000,classification,election2020,,roc_auc,0.986016,sat_h2m_all8_s040000,sat_h2m_all8_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s040000_to_election2020_pl_10shot_01_08_2026_13_33_48/data/metrics_test_step0.json,0.984164,0.0018519999999999648
