model,dataset,shots,target,task,split,run,spearman,rmse,mae,r2,mse
NM,midterm,10,statuses_count,regression,test,eval_NM_to_midterm_reg_10shot_statuses_count_09_07_2026_17_05_36,-0.015711067281602993,9.600422977030263,9.402083396911621,-23.85382652282715,92.16812133789062
CL,midterm,10,followers_count,regression,test,eval_CL_to_midterm_reg_10shot_followers_count_09_07_2026_17_05_36,-0.2087703890274008,6.433892285404345,6.050000190734863,-8.122678756713867,41.39496994018555
NM,midterm,10,followers_count,regression,test,eval_NM_to_midterm_reg_10shot_followers_count_09_07_2026_17_05_36,-0.055539150395910106,6.36659254793227,5.9928412437438965,-7.932826995849609,40.53350067138672
NM,midterm,10,account_age_days,regression,test,eval_NM_to_midterm_reg_10shot_account_age_days_09_07_2026_17_05_36,-0.06132001602827829,7.466696229376625,7.3472137451171875,-32.038818359375,55.75155258178711
FP,midterm,10,followers_count,regression,test,eval_FP_to_midterm_reg_10shot_followers_count_09_07_2026_17_05_52,0.2846323982472672,6.144469787717079,5.770872592926025,-7.320389747619629,37.75450897216797
CL,midterm,10,account_age_days,regression,test,eval_CL_to_midterm_reg_10shot_account_age_days_09_07_2026_17_05_52,-0.04165117141385686,7.531098803510178,7.4124250411987305,-32.61121368408203,56.71744918823242
CL,midterm,10,statuses_count,regression,test,eval_CL_to_midterm_reg_10shot_statuses_count_09_07_2026_17_05_52,-0.21899986018861883,9.680657708389042,9.473175048828125,-24.27098846435547,93.71513366699219
FP,midterm,10,statuses_count,regression,test,eval_FP_to_midterm_reg_10shot_statuses_count_09_07_2026_17_05_52,0.20957057901983084,9.379758313934962,9.182087898254395,-22.724430084228516,87.97986602783203
MIX,midterm,10,account_age_days,regression,test,eval_MIX_to_midterm_reg_10shot_account_age_days_09_07_2026_17_06_10,0.15309653799956863,7.1957750534174405,7.080020904541016,-29.684755325317383,51.779178619384766
MIX,midterm,10,followers_count,regression,test,eval_MIX_to_midterm_reg_10shot_followers_count_09_07_2026_17_06_10,0.2343851458574698,6.106245014731364,5.737428188323975,-7.217188835144043,37.28622817993164
MIX,midterm,10,statuses_count,regression,test,eval_MIX_to_midterm_reg_10shot_statuses_count_09_07_2026_17_06_10,0.14522520050395787,9.319176655039437,9.122258186340332,-22.41895866394043,86.84705352783203
FP,midterm,10,account_age_days,regression,test,eval_FP_to_midterm_reg_10shot_account_age_days_09_07_2026_17_06_10,0.047919365504486014,7.243621124622016,7.127015113830566,-30.09417152404785,52.47004699707031
NM,ukr_rus_twitter,10,account_age_days,regression,test,eval_NM_to_ukr_rus_twitter_reg_10shot_account_age_days_09_07_2026_17_06_25,-0.009068415310604738,7.44086258471682,7.313297748565674,-29.154306411743164,55.36643600463867
NM,ukr_rus_twitter,10,followers_count,regression,test,eval_NM_to_ukr_rus_twitter_reg_10shot_followers_count_09_07_2026_17_06_26,-0.04662848714671848,5.407601248277833,4.908641815185547,-4.749887943267822,29.242151260375977
NM,ukr_rus_twitter,10,statuses_count,regression,test,eval_NM_to_ukr_rus_twitter_reg_10shot_statuses_count_09_07_2026_17_06_26,-0.017759057410092566,8.146453235450554,7.745946407318115,-9.51509952545166,66.36470031738281
CL,ukr_rus_twitter,10,followers_count,regression,test,eval_CL_to_ukr_rus_twitter_reg_10shot_followers_count_09_07_2026_17_06_27,-0.14127263509649948,5.4154840009662735,4.904922962188721,-4.766663074493408,29.32746696472168
CL,ukr_rus_twitter,10,statuses_count,regression,test,eval_CL_to_ukr_rus_twitter_reg_10shot_statuses_count_09_07_2026_17_08_19,-0.18729287422814364,8.166681510237096,7.75007963180542,-9.567384719848633,66.69468688964844
CL,ukr_rus_twitter,10,account_age_days,regression,test,eval_CL_to_ukr_rus_twitter_reg_10shot_account_age_days_09_07_2026_17_08_20,-0.06336186652941242,7.44838424673183,7.31660795211792,-29.215299606323242,55.47842788696289
FP,ukr_rus_twitter,10,followers_count,regression,test,eval_FP_to_ukr_rus_twitter_reg_10shot_followers_count_09_07_2026_17_08_21,0.2751052679980367,5.1718866169502276,4.665875434875488,-4.259543418884277,26.748411178588867
FP,ukr_rus_twitter,10,statuses_count,regression,test,eval_FP_to_ukr_rus_twitter_reg_10shot_statuses_count_09_07_2026_17_08_21,0.25337262343922734,7.907792856809727,7.502818584442139,-8.908019065856934,62.53318786621094
FP,ukr_rus_twitter,10,account_age_days,regression,test,eval_FP_to_ukr_rus_twitter_reg_10shot_account_age_days_09_07_2026_17_10_15,0.07353549289401182,7.199485008047695,7.071628093719482,-27.229658126831055,51.832584381103516
MIX,ukr_rus_twitter,10,followers_count,regression,test,eval_MIX_to_ukr_rus_twitter_reg_10shot_followers_count_09_07_2026_17_10_15,0.17891448470571403,5.184436858890582,4.684032440185547,-4.28510046005249,26.878385543823242
