first,second,mixed_auc,interleaved_auc,best_fixed_single_auc
covid19_twitter,midterm,94.72936224489797,94.96589795918368,95.21252380952382
covid_political,ukr_rus_suspended,89.23293792517005,89.4558205782313,86.11475595238095
ukr_rus_twitter,facebook_page_reference,94.10952380952381,94.15207227891158,95.76420238095237
