model,dataset,shots,target,task,split,run,roc_auc,accuracy,f1
CL,twibot20,10,,classification,test,eval_CL_to_twibot20_pl_10shot_09_07_2026_17_41_35,0.6106375416666667,0.5836666666666667,0.5588131402331332
FP,twibot20,10,,classification,test,eval_FP_to_twibot20_pl_10shot_09_07_2026_17_41_36,0.48954294444444446,0.5011666666666666,0.6563325295671145
MIX,twibot20,10,,classification,test,eval_MIX_to_twibot20_pl_10shot_09_07_2026_17_41_36,0.6097460138888888,0.5839166666666666,0.5933707956673996
NM,twibot20,10,,classification,test,eval_NM_to_twibot20_pl_10shot_09_07_2026_17_41_36,0.6398304722222221,0.5988333333333333,0.6107697283311773
CL,election2020,10,,classification,test,eval_CL_to_election2020_pl_10shot_09_07_2026_17_41_53,0.664866,0.639,0.6429277942631059
NM,election2020,10,,classification,test,eval_NM_to_election2020_pl_10shot_09_07_2026_17_41_53,0.98038,0.964,0.9642147117296223
FP,election2020,10,,classification,test,eval_FP_to_election2020_pl_10shot_09_07_2026_17_41_54,0.495324,0.5,0.6666666666666666
MIX,election2020,10,,classification,test,eval_MIX_to_election2020_pl_10shot_09_07_2026_17_41_54,0.98051,0.968,0.9682539682539683
