stream,method,uses_target_query_outcomes,uses_discovery_query_labels,n,accuracy,auc,nll,accuracy_gain_over_fixed_b,episode_bootstrap_gain_ci_low,episode_bootstrap_gain_ci_high,fraction_choose_b
original,fixed_b,False,False,256,0.984375,0.99072265625,0.0824812870460295,0.0,0.0,0.0,1.0
original,fixed_c,False,False,256,0.8828125,0.93060302734375,0.3308416544964323,-0.1015625,-0.140625,-0.06640625,0.0
original,raw_alignment_tie_b,False,False,256,0.9765625,0.9896240234375,0.09887795011329997,-0.0078125,-0.01953125,0.0,0.9921875
original,u1_alignment_tie_b,False,False,256,0.984375,0.99072265625,0.0824812870460295,0.0,0.0,0.0,1.0
original,learned_stage_consensus_tie_b,False,False,256,0.984375,0.98968505859375,0.09346105752657768,0.0,0.0,0.0,0.8828125
original,calibrated_full_confidence,False,True,256,0.984375,0.98455810546875,0.0880461444599737,0.0,0.0,0.0,0.90234375
original,oracle_expert,True,False,256,0.98828125,0.99127197265625,0.06991999625694292,0.00390625,0.0,0.01171875,0.99609375
original,raw_joint_ridge_direct,False,False,256,0.91015625,0.953857421875,0.6238467966411239,-0.07421875,-0.10546875,-0.04296875,
fresh,fixed_b,False,False,256,0.97265625,0.98370361328125,0.10344892465057533,0.0,0.0,0.0,1.0
fresh,fixed_c,False,False,256,0.8984375,0.95751953125,0.2708110759105643,-0.07421875,-0.109375,-0.0390625,0.0
fresh,raw_alignment_tie_b,False,False,256,0.953125,0.98260498046875,0.12684680942697962,-0.01953125,-0.0390625,-0.00390625,0.98046875
fresh,u1_alignment_tie_b,False,False,256,0.97265625,0.98370361328125,0.10344892465057533,0.0,0.0,0.0,1.0
fresh,learned_stage_consensus_tie_b,False,False,256,0.96875,0.9825439453125,0.11888302795251568,-0.00390625,-0.01171875,0.0,0.8984375
fresh,calibrated_full_confidence,False,True,256,0.96875,0.983642578125,0.12036881421267719,-0.00390625,-0.01171875,0.0,0.9140625
fresh,oracle_expert,True,False,256,0.984375,0.9915771484375,0.06515697002175508,0.01171875,0.0,0.02734375,0.98828125
fresh,raw_joint_ridge_direct,False,False,256,0.87890625,0.9527587890625,0.6249652151977517,-0.09375,-0.1328125,-0.05859375,
