stream,model,decoder,full_model_outcome,n,conditional_accuracy
original,ss_cp_hk,S0_conv_center/prototype,c_only,1,1.0
original,ss_cp_hk,S0_conv_center/prototype,both_wrong,3,0.3333333333333333
original,ss_cp_hk,S0_conv_center/ridge,both_correct,225,0.76
original,ss_cp_hk,S0_conv_center/ridge,b_only,27,0.5925925925925926
original,ss_cp_hk,S0_conv_center/ridge,c_only,1,1.0
original,ss_cp_hk,S0_conv_center/ridge,both_wrong,3,0.3333333333333333
original,ss_cp_hk,S0_pool/prototype,both_correct,225,0.9955555555555555
original,ss_cp_hk,S0_pool/prototype,b_only,27,1.0
original,ss_cp_hk,S0_pool/prototype,c_only,1,0.0
original,ss_cp_hk,S0_pool/prototype,both_wrong,3,0.0
original,ss_cp_hk,S0_pool/ridge,both_correct,225,1.0
original,ss_cp_hk,S0_pool/ridge,b_only,27,1.0
original,ss_cp_hk,S0_pool/ridge,c_only,1,0.0
original,ss_cp_hk,S0_pool/ridge,both_wrong,3,0.0
original,ss_cp_hk,U1_pre_meta/prototype,both_correct,225,0.9644444444444444
original,ss_cp_hk,U1_pre_meta/prototype,b_only,27,0.5925925925925926
original,ss_cp_hk,U1_pre_meta/prototype,c_only,1,1.0
original,ss_cp_hk,U1_pre_meta/prototype,both_wrong,3,0.0
original,ss_cp_hk,U1_pre_meta/ridge,both_correct,225,0.9688888888888889
original,ss_cp_hk,U1_pre_meta/ridge,b_only,27,0.7037037037037037
original,ss_cp_hk,U1_pre_meta/ridge,c_only,1,1.0
original,ss_cp_hk,U1_pre_meta/ridge,both_wrong,3,0.0
original,ss_cp_hk,M2_post_meta/prototype,both_correct,225,0.7644444444444445
original,ss_cp_hk,M2_post_meta/prototype,b_only,27,0.5555555555555556
original,ss_cp_hk,M2_post_meta/prototype,c_only,1,1.0
original,ss_cp_hk,M2_post_meta/prototype,both_wrong,3,0.0
original,ss_cp_hk,M2_post_meta/ridge,both_correct,225,0.7688888888888888
original,ss_cp_hk,M2_post_meta/ridge,b_only,27,0.5555555555555556
original,ss_cp_hk,M2_post_meta/ridge,c_only,1,1.0
original,ss_cp_hk,M2_post_meta/ridge,both_wrong,3,0.0
original,ss_cp_hk,final_input/prototype,both_correct,225,0.7644444444444445
original,ss_cp_hk,final_input/prototype,b_only,27,0.5555555555555556
original,ss_cp_hk,final_input/prototype,c_only,1,1.0
original,ss_cp_hk,final_input/prototype,both_wrong,3,0.0
original,ss_cp_hk,final_input/ridge,both_correct,225,0.7688888888888888
original,ss_cp_hk,final_input/ridge,b_only,27,0.5555555555555556
original,ss_cp_hk,final_input/ridge,c_only,1,1.0
original,ss_cp_hk,final_input/ridge,both_wrong,3,0.0
fresh,ss_twibot20,full_model,both_correct,227,1.0
fresh,ss_twibot20,full_model,b_only,22,1.0
fresh,ss_twibot20,full_model,c_only,3,0.0
fresh,ss_twibot20,full_model,both_wrong,4,0.0
fresh,ss_twibot20,raw_center/prototype,both_correct,227,0.7577092511013216
fresh,ss_twibot20,raw_center/prototype,b_only,22,0.6818181818181818
fresh,ss_twibot20,raw_center/prototype,c_only,3,0.3333333333333333
fresh,ss_twibot20,raw_center/prototype,both_wrong,4,0.5
fresh,ss_twibot20,raw_center/ridge,both_correct,227,0.7841409691629956
fresh,ss_twibot20,raw_center/ridge,b_only,22,0.6818181818181818
fresh,ss_twibot20,raw_center/ridge,c_only,3,0.3333333333333333
fresh,ss_twibot20,raw_center/ridge,both_wrong,4,0.5
fresh,ss_twibot20,raw_context/prototype,both_correct,227,1.0
fresh,ss_twibot20,raw_context/prototype,b_only,22,1.0
fresh,ss_twibot20,raw_context/prototype,c_only,3,0.0
fresh,ss_twibot20,raw_context/prototype,both_wrong,4,0.25
fresh,ss_twibot20,raw_context/ridge,both_correct,227,1.0
fresh,ss_twibot20,raw_context/ridge,b_only,22,1.0
fresh,ss_twibot20,raw_context/ridge,c_only,3,0.0
fresh,ss_twibot20,raw_context/ridge,both_wrong,4,0.25
fresh,ss_twibot20,raw_joint/prototype,both_correct,227,0.9118942731277533
fresh,ss_twibot20,raw_joint/prototype,b_only,22,0.8181818181818182
fresh,ss_twibot20,raw_joint/prototype,c_only,3,0.0
fresh,ss_twibot20,raw_joint/prototype,both_wrong,4,0.25
fresh,ss_twibot20,raw_joint/ridge,both_correct,227,0.9118942731277533
