selection,stream,occurrence_index,label,pred_b,pred_c,correct_b,correct_c,outcome,loss_b_raw,loss_c_raw,loss_b_cal,loss_c_cal,c_minus_b_loss,prob1_b_cal,prob1_c_cal,global_node_id,context_nodes,incoming,outgoing,center_context_cosine,raw_center_prediction,raw_context_prediction,episode_id
b_only_largest_advantage,original,228,0,0,1,True,False,b_only,0.004750424800553853,3.0680674429212176,0.00915015747784491,3.4800687513754593,3.4709185938976144,0.009108422178767974,0.9691947069463239,70898,60,5,1,0.71540225,1,0,114
b_only_largest_advantage,original,196,0,0,1,True,False,b_only,0.006655603859318345,2.7892880518719805,0.012289908805070669,3.1559473984182245,3.1436574896131537,0.012214696309393116,0.9574019754317028,72880,65,4,3,0.6582819,0,0,98
b_only_largest_advantage,original,225,1,1,0,True,False,b_only,0.0032473759475800438,2.76034436465438,0.006558832498825833,3.1222280574326127,3.1156692249337867,0.9934626296951012,0.04405889323442586,35549,95,15,0,0.6374742,1,1,112
b_only_largest_advantage,original,20,0,0,1,True,False,b_only,0.0005962820802234513,2.0166861964130214,0.001485547765521566,2.250872738079325,2.2493871903138034,0.0014844448856341254,0.8946927212268104,43981,98,17,0,0.6998715,0,0,10
b_only_largest_advantage,original,241,1,1,0,True,False,b_only,0.01365881013752547,1.980313429964875,0.023033717462421263,2.2079990725669942,2.184965355104573,0.9772295335177074,0.1099203713039132,43572,89,10,2,0.7339793,0,1,120
b_only_largest_advantage,original,49,1,1,0,True,False,b_only,0.013147626018549687,1.8616399904523286,0.022279377420880462,2.0679607950965435,2.045681417675663,0.9779669749904628,0.12644336291100772,52258,94,13,0,0.7745394,1,1,24
b_only_largest_advantage,original,165,1,1,0,True,False,b_only,0.002215718172677533,1.759249559125959,0.0046928749712656995,1.946961931652144,1.9422690566808782,0.9953181193614157,0.1427069671903734,47786,93,12,0,0.6832464,0,1,82
b_only_largest_advantage,original,213,1,1,0,True,False,b_only,0.0004779815133055764,1.6080328279651785,0.0012237537137645479,1.76802127594907,1.7667975222353056,0.9987769947674614,0.170670364483651,22160,83,7,10,0.7931587,1,1,106
b_only_largest_advantage,original,138,0,0,1,True,False,b_only,0.004471894917043952,1.588212637258315,0.00867890502195151,1.744550853579169,1.7358719485572174,0.008641352043865414,0.8252765522430552,51469,90,9,0,0.76342875,0,0,69
b_only_largest_advantage,original,163,1,1,0,True,False,b_only,0.020108138769160958,1.5447276609892984,0.03227589453050461,1.693048074258519,1.6607721797280144,0.9682394132673459,0.18395795107447704,71263,87,3,12,0.6366266,1,1,81
b_only_largest_advantage,original,43,1,1,0,True,False,b_only,0.00230014633557491,1.4200516908543228,0.004849135243011833,1.5453481777726763,1.5404990425296645,0.9951626028324544,0.21323761369886723,41355,97,16,0,0.76719916,0,1,21
b_only_largest_advantage,original,255,1,1,0,True,False,b_only,0.005570935159414392,1.4005037747325297,0.010518923867441748,1.5221909099232351,1.5116719860557934,0.989536206538714,0.21823323344358742,23415,88,5,7,0.8078567,1,1,127
c_only_largest_advantage,original,12,0,1,0,False,True,c_only,3.843338626207747,0.20610363519482044,3.3860168882241592,0.17032644621799561,-3.2156904420061636,0.9661567899200395,0.15661054964367088,59181,91,3,13,0.7765937,0,1,6
both_wrong_b_more_confident,original,29,1,0,0,False,False,both_wrong,5.578447790717279,2.060106641977484,4.896437636775249,2.3020234192313227,-2.5944142175439264,0.007473157810940787,0.10005618315309675,50499,91,10,0,0.84635955,0,0,14
both_wrong_b_more_confident,original,106,0,1,1,False,False,both_wrong,5.158429599836125,3.1386334174139106,4.529688286759429,3.561935206188765,-0.967753080570664,0.9892159629239753,0.9716161570577121,24357,95,14,2,0.7721264,1,1,53
both_wrong_b_more_confident,original,210,0,1,1,False,False,both_wrong,3.2238586655342254,4.995549097744185,2.8511921961724362,5.699583836372465,2.848391640200029,0.9422245998114531,0.9966526417836187,9268,84,6,4,0.81121516,1,1,105
both_wrong_c_more_confident,original,210,0,1,1,False,False,both_wrong,3.2238586655342254,4.995549097744185,2.8511921961724362,5.699583836372465,2.848391640200029,0.9422245998114531,0.9966526417836187,9268,84,6,4,0.81121516,1,1,105
both_wrong_c_more_confident,original,106,0,1,1,False,False,both_wrong,5.158429599836125,3.1386334174139106,4.529688286759429,3.561935206188765,-0.967753080570664,0.9892159629239753,0.9716161570577121,24357,95,14,2,0.7721264,1,1,53
both_wrong_c_more_confident,original,29,1,0,0,False,False,both_wrong,5.578447790717279,2.060106641977484,4.896437636775249,2.3020234192313227,-2.5944142175439264,0.007473157810940787,0.10005618315309675,50499,91,10,0,0.84635955,0,0,14
