view,subset,n,discovery_group_cv_winner_accuracy,target_query_supervised_diagnostic,routed_accuracy,routed_auc,routed_nll,fixed_b_accuracy,fixed_c_accuracy,oracle_accuracy,winner_prediction_accuracy
metadata,all_fresh,256,,True,0.95703125,0.982666015625,0.12276939010455115,0.97265625,0.8984375,0.984375,
metadata,fresh_disagreements,25,,True,0.72,0.86,0.6691815567435,0.88,0.12,1.0,0.72
metadata,novel_users,255,,True,0.9568627450980393,0.9825910433070867,0.123168419939679,0.9725490196078431,0.8980392156862745,0.984313725490196,
metadata,novel_user_disagreements,25,,True,0.72,0.86,0.6691815567435,0.88,0.12,1.0,0.72
raw_center,all_fresh,256,,True,0.97265625,0.98370361328125,0.10344892465057533,0.97265625,0.8984375,0.984375,
raw_center,fresh_disagreements,25,,True,0.88,0.9133333333333333,0.4695291834262854,0.88,0.12,1.0,0.88
raw_center,novel_users,255,,True,0.9725490196078431,0.9836368110236221,0.10377218795451112,0.9725490196078431,0.8980392156862745,0.984313725490196,
raw_center,novel_user_disagreements,25,,True,0.88,0.9133333333333333,0.4695291834262854,0.88,0.12,1.0,0.88
raw_context,all_fresh,256,,True,0.97265625,0.98370361328125,0.10344892465057533,0.97265625,0.8984375,0.984375,
raw_context,fresh_disagreements,25,,True,0.88,0.9133333333333333,0.4695291834262854,0.88,0.12,1.0,0.88
raw_context,novel_users,255,,True,0.9725490196078431,0.9836368110236221,0.10377218795451112,0.9725490196078431,0.8980392156862745,0.984313725490196,
raw_context,novel_user_disagreements,25,,True,0.88,0.9133333333333333,0.4695291834262854,0.88,0.12,1.0,0.88
raw_joint,all_fresh,256,,True,0.97265625,0.98370361328125,0.10347857079930328,0.97265625,0.8984375,0.984375,
raw_joint,fresh_disagreements,25,,True,0.88,0.9133333333333333,0.4695291834262854,0.88,0.12,1.0,0.88
raw_joint,novel_users,255,,True,0.9725490196078431,0.9836368110236221,0.10380195036264583,0.9725490196078431,0.8980392156862745,0.984313725490196,
raw_joint,novel_user_disagreements,25,,True,0.88,0.9133333333333333,0.4695291834262854,0.88,0.12,1.0,0.88
prediction_state,all_fresh,256,,True,0.9609375,0.9827880859375,0.1332534846727578,0.97265625,0.8984375,0.984375,
prediction_state,fresh_disagreements,25,,True,0.76,0.88,0.6681688642615345,0.88,0.12,1.0,0.76
prediction_state,novel_users,255,,True,0.9607843137254902,0.9827140748031497,0.13369362860423156,0.9725490196078431,0.8980392156862745,0.984313725490196,
prediction_state,novel_user_disagreements,25,,True,0.76,0.88,0.6681688642615345,0.88,0.12,1.0,0.76
task_identity,all_fresh,256,,True,0.93359375,0.9775390625,0.18784004569179588,0.97265625,0.8984375,0.984375,
task_identity,fresh_disagreements,25,,True,0.48,0.68,0.7263806485409445,0.88,0.12,1.0,0.48
task_identity,novel_users,255,,True,0.9333333333333333,0.9775467519685039,0.18789953020760292,0.9725490196078431,0.8980392156862745,0.984313725490196,
task_identity,novel_user_disagreements,25,,True,0.48,0.68,0.7263806485409445,0.88,0.12,1.0,0.48
readout_state,all_fresh,256,,True,0.96875,0.9825439453125,0.12204546168191313,0.97265625,0.8984375,0.984375,
readout_state,fresh_disagreements,25,,True,0.84,0.9066666666666668,0.5089246547295756,0.88,0.12,1.0,0.84
readout_state,novel_users,255,,True,0.9686274509803922,0.9824680118110237,0.12244165258205025,0.9725490196078431,0.8980392156862745,0.984313725490196,
readout_state,novel_user_disagreements,25,,True,0.84,0.9066666666666668,0.5089246547295756,0.88,0.12,1.0,0.84
task_and_readout_state,all_fresh,256,,True,0.96875,0.98272705078125,0.11831241769297775,0.97265625,0.8984375,0.984375,
task_and_readout_state,fresh_disagreements,25,,True,0.84,0.9066666666666668,0.5089246547295756,0.88,0.12,1.0,0.84
task_and_readout_state,novel_users,255,,True,0.9686274509803922,0.9826525590551182,0.11869396920492296,0.9725490196078431,0.8980392156862745,0.984313725490196,
task_and_readout_state,novel_user_disagreements,25,,True,0.84,0.9066666666666668,0.5089246547295756,0.88,0.12,1.0,0.84
