train_id	covid19_twitter+lp	covid19_twitter+nm	covid_political+nm	covid_political+pl	election2020+nm	election2020+pl	midterm+lp	midterm+nm	ukr_rus_suspended+nm	ukr_rus_suspended+pl	ukr_rus_twitter+lp	ukr_rus_twitter+nm
covid19_twitter+lp	0.9550696885	0.9416737768	0.6076425779	0.6013128694	0.6356937027	0.7017853206	0.7835197054	0.8038562306	0.6436153684	0.5056187333	0.8554427792	0.8839142018
covid19_twitter+lp>ukr_rus_twitter+lp	0.9134444911	0.9408982331	0.5613662256	0.598885805	0.5427611621	0.5684159367	0.8097526157	0.8565594229	0.6575456887	0.50195773	0.9163603976	0.9532225838
covid19_twitter+nm	0.8870473938	0.9973863452	0.7063557704	0.6201692406	0.7352413352	0.8282446889	0.8188088969	0.9468033064	0.7626502575	0.5021695089	0.810833254	0.9823025142
covid19_twitter+nm>ukr_rus_twitter+lp	0.8568931832	0.8840163786	0.6255838966	0.6364151194	0.6320189033	0.587430175	0.777468336	0.8032799203	0.6527374312	0.5021006572	0.890934436	0.915624541
covid19_twitter+nm>ukr_rus_twitter+nm	0.5718391465	0.9524753049	0.6836091134	0.6780274217	0.6710252835	0.6889292361	0.6440108006	0.8486452649	0.6913958788	0.5023813667	0.6581362972	0.9782102954
covid19_twitter+pl	0.5273215961	0.5208704529	0.5022459447	0.5785250467	0.5000059128	0.565583525	0.4890484454	0.5079276457	0.500660641	0.514714455	0.5050697051	0.5102025557
midterm+lp	0.6045959429	0.8324714887	0.6737739259	0.653709265	0.7159100216	0.8472460417	0.8339264663	0.8737908862	0.6065846478	0.501554375	0.6506685947	0.8074940699
midterm+lp>covid19_twitter+lp	0.9322588818	0.932920144	0.5910287673	0.5791469078	0.5397014069	0.5332633922	0.7744161842	0.8247195853	0.6146698009	0.5060807606	0.8376548868	0.8947834694
midterm+lp>ukr_rus_twitter+lp	0.8683992949	0.9008890015	0.5852638401	0.5958006561	0.6707146144	0.6862147683	0.815337366	0.875009525	0.6775114791	0.5038790344	0.907367194	0.9380826038
midterm+nm	0.7643091711	0.9835197354	0.7174993331	0.6012801117	0.7088707194	0.7005255528	0.775921051	0.9640368273	0.7083412402	0.5049977283	0.6984594507	0.972004704
midterm+nm>covid19_twitter+lp	0.9432597519	0.9609566338	0.5710219086	0.6212784494	0.5379399432	0.56122497	0.7864748142	0.8747448215	0.6582515384	0.5041794983	0.8585255864	0.9296658023
midterm+nm>covid19_twitter+nm	0.8681747976	0.9974036266	0.825727285	0.771948825	0.8199914916	0.9500752367	0.8061642393	0.9678973255	0.79424175	0.5033734383	0.7978349921	0.9780851843
midterm+nm>ukr_rus_twitter+lp	0.848549161	0.9349437544	0.5855901728	0.6182751056	0.5705458181	0.6305870878	0.791267165	0.8721244853	0.6605522127	0.504359595	0.9054986333	0.9503999865
midterm+nm>ukr_rus_twitter+nm	0.8205475382	0.9853261107	0.7205928093	0.6672461933	0.7119402006	0.8766398294	0.8049982358	0.9486778018	0.7361254236	0.5034625294	0.7968524806	0.9881505089
midterm+pl	0.5847167043	0.6489940128	0.554733945	0.597422535	0.6160326356	0.72262685	0.5083317393	0.6971500332	0.5385004734	0.4949821839	0.5764418394	0.650986926
ukr_rus_twitter+lp	0.8573320965	0.9174163219	0.5950178806	0.5702749022	0.6681031857	0.6813215289	0.7662499675	0.8273715897	0.6391909473	0.5096541511	0.9210111807	0.9477537864
ukr_rus_twitter+nm	0.8299639494	0.9886702278	0.7282563158	0.62933389	0.727461747	0.8157031267	0.7018214185	0.9341270268	0.7468597513	0.5057722639	0.8074498782	0.9912666024
ukr_rus_twitter+pl	0.5078920243	0.6732075114	0.5077179777	0.4710770261	0.5222279642	0.5119741494	0.4606711304	0.606897767	0.5122751365	0.4971418672	0.5310399528	0.7318797348
ukr/cov/mid+nm	0.818	0.99	0.717	0.597	0.713	0.73	0.74	0.942	0.78	0.488	0.772	0.985
ukr/cov/mid+lp	0.844	0.935	0.559	0.544	0.535	0.528	0.664	0.844	0.638	0.511	0.8	0.932
ukr/cov/mid+nm/fm	0.83	0.991	0.9	0.877	0.888	0.979	0.763	0.924	0.841	0.532	0.878	0.961
