stream,model,mean_accuracy,mean_auc,mean_u1_agreement
fresh,ss_covid,0.7227213541666667,0.7548180615460431,0.8749348958333334
fresh,ss_covid_political,0.684765625,0.7097617396601924,0.7627604166666667
fresh,ss_cp_hk,0.6505859375,0.7051994888870804,0.7788411458333333
fresh,ss_election2020,0.7233723958333333,0.7498026671233001,0.8037109375
fresh,ss_facebook_page_reference,0.6276041666666667,0.6635136074490017,0.667578125
fresh,ss_midterm,0.676171875,0.7186235498498987,0.7813802083333333
fresh,ss_twibot20,0.7048828125,0.7565710420961733,0.853125
fresh,ss_ukr_rus,0.7180989583333333,0.7533468882242839,0.8735677083333334
fresh,ss_ukr_rus_suspended,0.6604817708333334,0.6885461736608434,0.7770833333333333
original,ss_covid,0.7172526041666667,0.7505372930456091,0.8659505208333333
original,ss_covid_political,0.686328125,0.7169278604012949,0.7421875
original,ss_cp_hk,0.6564453125,0.7016324785020617,0.8037109375
original,ss_election2020,0.7235677083333334,0.7501104001645689,0.8149088541666666
original,ss_facebook_page_reference,0.642578125,0.6699258027253328,0.6828776041666667
original,ss_midterm,0.682421875,0.7203441761158131,0.76796875
original,ss_twibot20,0.7158203125,0.7643242164894386,0.8666015625
original,ss_ukr_rus,0.7255208333333333,0.756077731097186,0.8718098958333333
original,ss_ukr_rus_suspended,0.6591145833333333,0.6892831873010705,0.7815755208333333
