stream,scope,metric,n,spearman,pvalue
fresh,covid_political,accuracy,9,1.0,0.0
fresh,covid_political,auc,9,0.9166666666666666,0.0005066190663052083
fresh,election2020,accuracy,9,0.8726617108241093,0.002137300364337301
fresh,election2020,auc,9,0.9199049251009971,0.00044243009847864636
fresh,facebook_page_reference,accuracy,9,0.5666666666666667,0.1116329876114912
fresh,facebook_page_reference,auc,9,0.5,0.1704706607870538
fresh,twibot20,accuracy,9,0.43333333333333335,0.24395243588005172
fresh,twibot20,auc,9,0.48333333333333334,0.18746985521554216
fresh,ukr_rus_suspended,accuracy,9,0.47679749327578785,0.19438665257714047
fresh,ukr_rus_suspended,auc,9,0.5126231421577709,0.15820707034416107
fresh,target_centered_pool,accuracy,45,0.7777155438089675,3.2835496019724187e-10
fresh,target_centered_pool,auc,45,0.7851754347992213,1.7093880374364674e-10
original,covid_political,accuracy,9,0.9833333333333333,1.936196303745927e-06
original,covid_political,auc,9,0.9500000000000001,8.762523965086185e-05
original,election2020,accuracy,9,0.9350736968767247,0.00021541300043621163
original,election2020,auc,9,0.5763539780776888,0.10428982565430125
original,facebook_page_reference,accuracy,9,0.48333333333333334,0.18746985521554216
original,facebook_page_reference,auc,9,0.5166666666666667,0.15439012098622507
original,twibot20,accuracy,9,0.6833333333333333,0.04244227208707231
original,twibot20,auc,9,0.48333333333333334,0.18746985521554216
original,ukr_rus_suspended,accuracy,9,0.4435185266405332,0.23178406529937415
original,ukr_rus_suspended,auc,9,0.26666666666666666,0.48792227483870076
original,target_centered_pool,accuracy,45,0.8045075659589579,2.7735787424499552e-11
original,target_centered_pool,auc,45,0.7318487347763516,1.1178295056042931e-08
