method,targets,mean_accuracy,mean_auc,mean_accuracy_gain,targets_improved,targets_non_degraded
fixed_best,5,0.7423177083333334,0.7744974913420501,0.0,0,5
learned_stage_consensus,5,0.7550130208333334,0.7784619790536386,0.0126953125,3,4
raw_agreement,5,0.7231119791666666,0.7805569260208695,-0.019205729166666696,2,2
support_loo,5,0.7147786458333333,0.7441882380732784,-0.027539062500000024,0,1
support_loo_u1_agreement,5,0.744140625,0.7612570727313006,0.001822916666666652,3,4
u1_agreement,5,0.7596354166666667,0.7779988324200666,0.017317708333333327,3,4
