rung,dataset,test_roc_auc,checkpoint_step,metrics_path
6,ukr_rus_twitter,0.9358381200989782,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r6_to_ukr_rus_twitter_nm_3shot_30way_06_08_2026_13_53_19/data/metrics_test_step0.json
6,covid19_twitter,0.9750447235472542,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r6_to_covid19_twitter_nm_3shot_30way_06_08_2026_13_56_05/data/metrics_test_step0.json
6,midterm,0.9106468026181355,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r6_to_midterm_nm_3shot_30way_06_08_2026_13_59_43/data/metrics_test_step0.json
6,covid_political,0.9099195053959132,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r6_to_covid_political_nm_3shot_30way_06_08_2026_14_01_11/data/metrics_test_step0.json
6,election2020,0.9279090781609196,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r6_to_election2020_nm_3shot_30way_06_08_2026_14_02_52/data/metrics_test_step0.json
6,ukr_rus_suspended,0.7732721563218390,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r6_to_ukr_rus_suspended_nm_3shot_30way_06_08_2026_14_03_29/data/metrics_test_step0.json
6,twibot20,0.9258632905810984,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r6_to_twibot20_nm_3shot_30way_06_08_2026_14_04_02/data/metrics_test_step0.json
6,cp_hk_twitter,0.7235354913793103,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r6_to_cp_hk_twitter_nm_3shot_30way_06_08_2026_14_05_13/data/metrics_test_step0.json
6,facebook_page_reference,0.9954072885057471,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r6_to_facebook_page_reference_nm_3shot_30way_06_08_2026_14_06_16/data/metrics_test_step0.json
7,ukr_rus_twitter,0.9333118681832695,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r7_to_ukr_rus_twitter_nm_3shot_30way_06_08_2026_13_53_20/data/metrics_test_step0.json
7,covid19_twitter,0.9737471195881225,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r7_to_covid19_twitter_nm_3shot_30way_06_08_2026_13_56_09/data/metrics_test_step0.json
7,midterm,0.9082262395913153,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r7_to_midterm_nm_3shot_30way_06_08_2026_13_59_57/data/metrics_test_step0.json
7,covid_political,0.9079460721902938,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r7_to_covid_political_nm_3shot_30way_06_08_2026_14_01_26/data/metrics_test_step0.json
7,election2020,0.9215655402298848,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r7_to_election2020_nm_3shot_30way_06_08_2026_14_03_08/data/metrics_test_step0.json
