target,sources,seed,checkpoint_step,roc_auc_ovr_macro,f1_macro,accuracy,classes,support_nodes,test_nodes,checkpoint
cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,100,0.9084589095822697,0.6555680845906394,0.6830932524639879,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_100.pt
cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,2500,0.928270347422294,0.675483154776192,0.7047005307050797,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_2500.pt
cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,300,0.8746038209062822,0.5434527772608347,0.5693707354056103,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_300.pt
cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,900,0.9070438119604946,0.6196033203294039,0.650871872630781,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_900.pt
covid_political,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,100,0.8894109047185019,0.7489992515711297,0.7844555764634085,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_100.pt
covid_political,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,2500,0.8813802382973366,0.6886763251787271,0.7119590093068199,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_2500.pt
covid_political,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,300,0.8838099079530539,0.7298853898231057,0.7635025174185017,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_300.pt
covid_political,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,900,0.889648085695294,0.7026501102656497,0.7272160911356355,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_900.pt
election2020,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,100,0.9698363192789283,0.9162970365535517,0.9164512368207623,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_100.pt
election2020,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,2500,0.9788119816417705,0.9632906410639674,0.9635670113544201,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_2500.pt
