         287283 function calls (285886 primitive calls) in 0.239 seconds

   Ordered by: cumulative time
   List reduced from 214 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  723/513    0.002    0.000    0.204    0.000 profile_pipeline.py:106(timed)
    244/1    0.001    0.000    0.201    0.201 dataset.py:67(__getitem__)
        3    0.000    0.000    0.201    0.067 dataset.py:74(<genexpr>)
     31/1    0.000    0.000    0.201    0.201 dataset.py:72(<listcomp>)
        1    0.000    0.000    0.201    0.201 dataset.py:76(<dictcomp>)
      210    0.009    0.000    0.173    0.001 dataset.py:23(get_subgraph)
      210    0.001    0.000    0.147    0.001 sampler.py:111(sample_node)
      210    0.012    0.000    0.147    0.001 sampler.py:24(sample_k_hop_subgraph)
      210    0.002    0.000    0.096    0.000 coalesce.py:5(coalesce)
     1260    0.001    0.000    0.086    0.000 _ops.py:497(__call__)
      210    0.007    0.000    0.074    0.000 storage.py:436(coalesce)
      210    0.000    0.000    0.061    0.000 segment_csr.py:35(segment_csr)
      210    0.000    0.000    0.061    0.000 segment_csr.py:21(segment_min_csr)
      210    0.005    0.000    0.061    0.000 {built-in method torch._ops.torch_scatter.segment_min_csr}
      210    0.001    0.000    0.056    0.000 traceback.py:35(format_stack)
        1    0.002    0.002    0.033    0.033 dataloader.py:923(__call__)
      210    0.000    0.000    0.030    0.000 traceback.py:217(extract_stack)
      420    0.004    0.000    0.030    0.000 sample.py:27(sample_adj)
      210    0.000    0.000    0.030    0.000 traceback.py:372(extract)
      210    0.009    0.000    0.029    0.000 traceback.py:394(_extract_from_extended_frame_gen)
     1692    0.029    0.000    0.029    0.000 {built-in method torch.cat}
        1    0.000    0.000    0.027    0.027 batch.py:64(from_data_list)
        1    0.000    0.000    0.027    0.027 collate.py:14(collate)
      210    0.000    0.000    0.025    0.000 traceback.py:29(format_list)
      210    0.004    0.000    0.025    0.000 dataset.py:49(add_pooling_supernode)
        9    0.000    0.000    0.025    0.003 collate.py:115(_collate)
      840    0.016    0.000    0.024    0.000 storage.py:34(__init__)
      210    0.003    0.000    0.023    0.000 traceback.py:520(format)
      420    0.021    0.000    0.021    0.000 {built-in method torch._ops.torch_sparse.sample_adj}
     4410    0.010    0.000    0.020    0.000 traceback.py:455(format_frame_summary)
     2527    0.001    0.000    0.017    0.000 data.py:443(__setattr__)
3578/2738    0.001    0.000    0.016    0.000 {built-in method builtins.setattr}
     2953    0.003    0.000    0.015    0.000 storage.py:84(__setattr__)
      211    0.001    0.000    0.013    0.000 data.py:407(__init__)
    14747    0.007    0.000    0.012    0.000 {built-in method builtins.getattr}
     5693    0.003    0.000    0.012    0.000 storage.py:67(_pop_cache)
    22260    0.006    0.000    0.011    0.000 traceback.py:313(line)
     3166    0.002    0.000    0.008    0.000 storage.py:106(__setitem__)
     1680    0.001    0.000    0.007    0.000 linecache.py:52(checkcache)
        1    0.000    0.000    0.006    0.006 dataloader.py:647(_sample_from_stratum)
     7373    0.004    0.000    0.005    0.000 storage.py:74(__getattr__)
     1680    0.005    0.000    0.005    0.000 {built-in method posix.stat}
       93    0.001    0.000    0.005    0.000 dataloader.py:407(_sample_center_members)
      420    0.001    0.000    0.005    0.000 tensor.py:16(__init__)
      426    0.004    0.000    0.004    0.000 {built-in method torch.stack}


