objective	task	run_id	sources	mixture_size	target	auc	checkpoint_step
lp	cls	ss_ukr_rus_twitter	ukr_rus_twitter	1	covid_political	0.8851307200191771	3250
lp	cls	ss_ukr_rus_twitter	ukr_rus_twitter	1	election2020	0.9513324158465819	3250
lp	cls	ss_ukr_rus_twitter	ukr_rus_twitter	1	facebook_page_reference	0.8032932688842916	3250
lp	cls	ss_ukr_rus_twitter	ukr_rus_twitter	1	twibot20	0.5691843097357765	3250
lp	cls	ss_ukr_rus_twitter	ukr_rus_twitter	1	ukr_rus_suspended	0.544663940967283	3250
lp	cls	ss_covid19_twitter	covid19_twitter	1	covid_political	0.9030774803683631	3500
lp	cls	ss_covid19_twitter	covid19_twitter	1	election2020	0.9736161472309725	3500
lp	cls	ss_covid19_twitter	covid19_twitter	1	facebook_page_reference	0.8159432391388971	3500
lp	cls	ss_covid19_twitter	covid19_twitter	1	twibot20	0.575793087169747	3500
lp	cls	ss_covid19_twitter	covid19_twitter	1	ukr_rus_suspended	0.532385876167032	3500
lp	cls	ss_midterm	midterm	1	covid_political	0.9244817243438279	2500
lp	cls	ss_midterm	midterm	1	election2020	0.9810867650556823	2500
lp	cls	ss_midterm	midterm	1	facebook_page_reference	0.8146844121555451	2500
lp	cls	ss_midterm	midterm	1	twibot20	0.5949925953299472	2500
lp	cls	ss_midterm	midterm	1	ukr_rus_suspended	0.5268917546727102	2500
lp	cls	ss_covid_political	covid_political	1	covid_political	0.9045243657503319	3000
lp	cls	ss_covid_political	covid_political	1	election2020	0.9802512966826327	3000
lp	cls	ss_covid_political	covid_political	1	facebook_page_reference	0.7844526624881774	3000
lp	cls	ss_covid_political	covid_political	1	twibot20	0.663361340134341	3000
lp	cls	ss_covid_political	covid_political	1	ukr_rus_suspended	0.5232361092638722	3000
lp	cls	ss_election2020	election2020	1	covid_political	0.8410629559167588	3250
lp	cls	ss_election2020	election2020	1	election2020	0.966387982402749	3250
lp	cls	ss_election2020	election2020	1	facebook_page_reference	0.7198610587616259	3250
lp	cls	ss_election2020	election2020	1	twibot20	0.6488909075909332	3250
lp	cls	ss_election2020	election2020	1	ukr_rus_suspended	0.5150915653275271	3250
lp	cls	ss_ukr_rus_suspended	ukr_rus_suspended	1	covid_political	0.8846049337270895	3250
lp	cls	ss_ukr_rus_suspended	ukr_rus_suspended	1	election2020	0.9693388668598826	3250
lp	cls	ss_ukr_rus_suspended	ukr_rus_suspended	1	facebook_page_reference	0.791749097966609	3250
lp	cls	ss_ukr_rus_suspended	ukr_rus_suspended	1	twibot20	0.5978579047204622	3250
lp	cls	ss_ukr_rus_suspended	ukr_rus_suspended	1	ukr_rus_suspended	0.5215077989990242	3250
lp	cls	ss_twibot20	twibot20	1	covid_political	0.9219755169980334	4250
lp	cls	ss_twibot20	twibot20	1	election2020	0.982391265782681	4250
lp	cls	ss_twibot20	twibot20	1	facebook_page_reference	0.8037955876776777	4250
lp	cls	ss_twibot20	twibot20	1	twibot20	0.5832764900918863	4250
lp	cls	ss_twibot20	twibot20	1	ukr_rus_suspended	0.53236778756013	4250
lp	cls	ss_cp_hk_twitter	cp_hk_twitter	1	covid_political	0.8716532319309402	3250
lp	cls	ss_cp_hk_twitter	cp_hk_twitter	1	election2020	0.9164288296841333	3250
lp	cls	ss_cp_hk_twitter	cp_hk_twitter	1	facebook_page_reference	0.8003954841867599	3250
