model,dataset,shots,target,task,split,run,spearman,rmse,mae,r2,mse
cov_NM,midterm,10,statuses_count,regression,test,eval_cov_NM_to_midterm_reg_10shot_statuses_count_21_07_2026_12_24_09,-0.0401064336141704,9.382292899070318,9.179224014282228,-22.737253189086918,88.02742004394531
cov_NM,midterm,10,followers_count,regression,test,eval_cov_NM_to_midterm_reg_10shot_followers_count_21_07_2026_12_24_09,-0.0892687773857393,6.152917569966522,5.766759872436523,-7.343283653259277,37.858394622802734
cov_NM,midterm,10,account_age_days,regression,test,eval_cov_NM_to_midterm_reg_10shot_account_age_days_21_07_2026_12_24_09,-0.0601071187239744,7.240390855133956,7.11898946762085,-30.066444396972656,52.42325973510742
cov_CL,midterm,10,followers_count,regression,test,eval_cov_CL_to_midterm_reg_10shot_followers_count_21_07_2026_12_24_09,-0.0134694187521385,6.210013689158121,5.829259872436523,-7.498846054077148,38.56427001953125
cov_CL,midterm,10,statuses_count,regression,test,eval_cov_CL_to_midterm_reg_10shot_statuses_count_21_07_2026_12_24_27,-0.0485507531147959,9.396081846436918,9.192834854125977,-22.807077407836918,88.2863540649414
cov_FP,midterm,10,followers_count,regression,test,eval_cov_FP_to_midterm_reg_10shot_followers_count_21_07_2026_12_24_27,0.1896343238804314,6.161725238125784,5.798527240753174,-7.367186546325684,37.96685791015625
cov_CL,midterm,10,account_age_days,regression,test,eval_cov_CL_to_midterm_reg_10shot_account_age_days_21_07_2026_12_24_28,0.1655988550353634,7.278308716384329,7.163833141326904,-30.39268493652344,52.973777770996094
cov_FP,midterm,10,statuses_count,regression,test,eval_cov_FP_to_midterm_reg_10shot_statuses_count_21_07_2026_12_24_31,0.11024289639192,9.404654839695532,9.210356712341309,-22.85054016113281,88.4475326538086
cov_FP,midterm,10,account_age_days,regression,test,eval_cov_FP_to_midterm_reg_10shot_account_age_days_21_07_2026_12_24_43,0.0457282230598902,7.272102077661567,7.156376361846924,-30.339168548583984,52.88346862792969
cov_MIX,midterm,10,statuses_count,regression,test,eval_cov_MIX_to_midterm_reg_10shot_statuses_count_21_07_2026_12_24_43,-0.0989651760332176,9.48879183090009,9.283075332641602,-23.279197692871094,90.03717041015625
cov_MIX,midterm,10,followers_count,regression,test,eval_cov_MIX_to_midterm_reg_10shot_followers_count_21_07_2026_12_24_43,-0.1552428507703858,6.293285776271121,5.907089710235596,-7.728301048278809,39.605445861816406
cov_MIX,midterm,10,account_age_days,regression,test,eval_cov_MIX_to_midterm_reg_10shot_account_age_days_21_07_2026_12_24_52,-0.204907826512197,7.375234567823583,7.2477593421936035,-31.23437118530273,54.39408493041992
all8_NM,midterm,10,followers_count,regression,test,eval_all8_NM_to_midterm_reg_10shot_followers_count_21_07_2026_12_24_59,0.0850301526823681,6.196458900474806,5.821328163146973,-7.461785316467285,38.39610290527344
all8_NM,midterm,10,statuses_count,regression,test,eval_all8_NM_to_midterm_reg_10shot_statuses_count_21_07_2026_12_25_00,0.0496423103167465,9.44967411831661,9.251508712768556,-23.079429626464844,89.29634094238281
all8_NM,midterm,10,account_age_days,regression,test,eval_all8_NM_to_midterm_reg_10shot_account_age_days_21_07_2026_12_25_00,0.2054597938075917,7.303303208990516,7.190686225891113,-30.60866928100586,53.33823776245117
all8_CL,midterm,10,followers_count,regression,test,eval_all8_CL_to_midterm_reg_10shot_followers_count_21_07_2026_12_25_13,-0.0832730133521072,6.458417075649952,6.085732460021973,-8.192359924316406,41.71115112304688
