target,family,checkpoint_step,metric,seeds,mean,sample_std
cora,leave_one_out,100,accuracy,3,0.68473591104372,0.0045856071042769675
cora,leave_one_out,100,f1_macro,3,0.655311810975244,0.0017148304936480932
cora,leave_one_out,100,roc_auc_ovr_macro,3,0.9150336111146856,0.005808682954674832
cora,leave_one_out,300,accuracy,3,0.5652009097801365,0.013933264556094878
cora,leave_one_out,300,f1_macro,3,0.5379113987340528,0.00786080813276752
cora,leave_one_out,300,roc_auc_ovr_macro,3,0.8736647582860368,0.003367955780025194
cora,leave_one_out,900,accuracy,3,0.6431640131412687,0.00797260124050919
cora,leave_one_out,900,f1_macro,3,0.6116162973410194,0.00850459466725687
cora,leave_one_out,900,roc_auc_ovr_macro,3,0.9060963649787351,0.0012114664870405175
cora,leave_one_out,2500,accuracy,3,0.7019206469547637,0.002437111640382385
cora,leave_one_out,2500,f1_macro,3,0.6709984080955942,0.00406607213926375
cora,leave_one_out,2500,roc_auc_ovr_macro,3,0.9299379171519807,0.0014472712674869622
cora,specialist,100,accuracy,3,0.7509476876421531,0.003616145570193133
cora,specialist,100,f1_macro,3,0.7219834172581104,0.004990762767885559
cora,specialist,100,roc_auc_ovr_macro,3,0.950168535856044,0.0018714332175082927
cora,specialist,300,accuracy,3,0.7812736921910538,0.002653525398028806
cora,specialist,300,f1_macro,3,0.7695966832624365,0.0034064531874518898
cora,specialist,300,roc_auc_ovr_macro,3,0.965891753063641,0.0006210615154021244
cora,specialist,900,accuracy,3,0.7621935809957038,0.005048012220226989
cora,specialist,900,f1_macro,3,0.7567142774402233,0.0046140500488426935
cora,specialist,900,roc_auc_ovr_macro,3,0.9584132354937229,0.0011142934503857573
cora,specialist,2500,accuracy,3,0.7215061915592621,0.0058028620182991935
cora,specialist,2500,f1_macro,3,0.7178078039102663,0.007877738961079721
cora,specialist,2500,roc_auc_ovr_macro,3,0.9430813876226489,0.0014269373493321323
covid_political,leave_one_out,100,accuracy,3,0.8318288155418806,0.017221566047025703
covid_political,leave_one_out,100,f1_macro,3,0.7919641167891435,0.016645515726044724
covid_political,leave_one_out,100,roc_auc_ovr_macro,3,0.8838247202769729,0.006150623760550967
covid_political,leave_one_out,300,accuracy,3,0.851582498431911,0.0030363960249738904
covid_political,leave_one_out,300,f1_macro,3,0.8094855851337837,0.00296928547304174
covid_political,leave_one_out,300,roc_auc_ovr_macro,3,0.8880539610845358,0.00205598523150839
covid_political,leave_one_out,900,accuracy,3,0.8404914475580193,0.010715817312793358
covid_political,leave_one_out,900,f1_macro,3,0.8007382018737053,0.010296218871869132
covid_political,leave_one_out,900,roc_auc_ovr_macro,3,0.8981199536707295,0.0022436371710569895
