rung,n_sources,test_graph,entry_rung,in_training_merge,sage_auc,gatv2_auc,gatv2_minus_sage
1,1,ukr_rus_twitter,1,1,0.948000,0.941450,-0.006550
1,1,covid19_twitter,2,0,0.973000,0.969911,-0.003089
1,1,midterm,3,0,0.874000,0.854231,-0.019769
1,1,covid_political,4,0,0.849000,0.825793,-0.023207
1,1,election2020,5,0,0.828000,0.802497,-0.025503
1,1,ukr_rus_suspended,6,0,0.771000,0.756769,-0.014231
1,1,twibot20,7,0,0.921000,0.915815,-0.005185
1,1,cp_hk_twitter,8,0,0.724000,0.721961,-0.002039
2,2,ukr_rus_twitter,1,1,0.945000,0.937074,-0.007926
2,2,covid19_twitter,2,1,0.980000,0.976453,-0.003547
2,2,midterm,3,0,0.885000,0.863386,-0.021614
2,2,covid_political,4,0,0.843000,0.816194,-0.026806
2,2,election2020,5,0,0.828000,0.806939,-0.021061
2,2,ukr_rus_suspended,6,0,0.775000,0.754911,-0.020089
2,2,twibot20,7,0,0.925000,0.921736,-0.003264
2,2,cp_hk_twitter,8,0,0.726000,0.719578,-0.006422
3,3,ukr_rus_twitter,1,1,0.941000,0.933223,-0.007777
3,3,covid19_twitter,2,1,0.978000,0.975427,-0.002573
3,3,midterm,3,1,0.915000,0.903471,-0.011529
3,3,covid_political,4,0,0.830000,0.837514,+0.007514
3,3,election2020,5,0,0.815000,0.822993,+0.007993
3,3,ukr_rus_suspended,6,0,0.777000,0.762697,-0.014303
3,3,twibot20,7,0,0.927000,0.922378,-0.004622
3,3,cp_hk_twitter,8,0,0.720000,0.714628,-0.005372
4,4,ukr_rus_twitter,1,1,0.934400,0.928435,-0.005965
4,4,covid19_twitter,2,1,0.975300,0.973062,-0.002238
4,4,midterm,3,1,0.909300,0.898514,-0.010786
4,4,covid_political,4,1,0.911300,0.909043,-0.002257
4,4,election2020,5,0,0.829700,0.821962,-0.007738
4,4,ukr_rus_suspended,6,0,0.776800,0.756394,-0.020406
4,4,twibot20,7,0,0.923400,0.918747,-0.004653
4,4,cp_hk_twitter,8,0,0.723500,0.719576,-0.003924
5,5,ukr_rus_twitter,1,1,0.934600,0.915734,-0.018866
5,5,covid19_twitter,2,1,0.975400,0.969079,-0.006321
5,5,midterm,3,1,0.908600,0.889868,-0.018732
5,5,covid_political,4,1,0.910200,0.905165,-0.005035
5,5,election2020,5,1,0.925900,0.909835,-0.016065
5,5,ukr_rus_suspended,6,0,0.769300,0.747739,-0.021561
5,5,twibot20,7,0,0.925400,0.914054,-0.011346
5,5,cp_hk_twitter,8,0,0.726100,0.718904,-0.007196
6,6,ukr_rus_twitter,1,1,0.932500,0.923564,-0.008936
6,6,covid19_twitter,2,1,0.974400,0.970407,-0.003993
6,6,midterm,3,1,0.907300,0.893818,-0.013482
6,6,covid_political,4,1,0.910600,0.906121,-0.004479
6,6,election2020,5,1,0.924100,0.910096,-0.014004
6,6,ukr_rus_suspended,6,1,0.934000,0.924334,-0.009666
6,6,twibot20,7,0,0.924200,0.919782,-0.004418
6,6,cp_hk_twitter,8,0,0.723900,0.722073,-0.001827
7,7,ukr_rus_twitter,1,1,0.932100,0.926214,-0.005886
7,7,covid19_twitter,2,1,0.974800,0.972232,-0.002568
7,7,midterm,3,1,0.903300,0.893596,-0.009704
7,7,covid_political,4,1,0.907600,0.905575,-0.002025
7,7,election2020,5,1,0.919800,0.911254,-0.008546
7,7,ukr_rus_suspended,6,1,0.925600,0.920433,-0.005167
7,7,twibot20,7,1,0.937700,0.931387,-0.006313
7,7,cp_hk_twitter,8,0,0.726700,0.714461,-0.012239
8,8,ukr_rus_twitter,1,1,0.934000,0.918530,-0.015470
8,8,covid19_twitter,2,1,0.975000,0.968154,-0.006846
8,8,midterm,3,1,0.908000,0.890987,-0.017013
8,8,covid_political,4,1,0.906000,0.904513,-0.001487
8,8,election2020,5,1,0.920000,0.901525,-0.018475
8,8,ukr_rus_suspended,6,1,0.931000,0.911572,-0.019428
8,8,twibot20,7,1,0.937000,0.929119,-0.007881
8,8,cp_hk_twitter,8,1,0.867000,0.853272,-0.013728
