source,target,auc,bce,average_precision,checkpoint_step
ukr_rus_twitter,ukr_rus_twitter,0.6392015306122449,1.5786249833418946,0.5717123862374267,38000
ukr_rus_twitter,covid19_twitter,0.7404704081632653,0.7284632715977039,0.6859632059322014,38000
ukr_rus_twitter,midterm,0.6284071428571427,0.9826906900123178,0.5872296589263012,38000
ukr_rus_twitter,covid_political,0.6286423469387755,1.054620333546292,0.6034629105022915,38000
ukr_rus_twitter,election2020,0.6927964285714286,1.304504669676206,0.6366588112529948,38000
ukr_rus_twitter,ukr_rus_suspended,0.7630005102040816,0.8169803085332754,0.7310127188578469,38000
ukr_rus_twitter,twibot20,0.7081602040816327,0.7833631076051045,0.6647517345443594,38000
ukr_rus_twitter,cp_hk_twitter,0.573205612244898,0.7808233855857577,0.5551361137873247,38000
ukr_rus_twitter,facebook_page_reference,0.690857142857143,0.651174428390348,0.7014482783974703,38000
covid19_twitter,ukr_rus_twitter,0.6459535714285713,1.0426291204457152,0.5954756581477183,22000
covid19_twitter,covid19_twitter,0.7463301020408164,0.9335772264415326,0.6778054328411334,22000
covid19_twitter,midterm,0.6280316326530613,1.1308192961993333,0.5853110608229016,22000
covid19_twitter,covid_political,0.6295668367346938,1.4839503208844131,0.5995833653895697,22000
covid19_twitter,election2020,0.6976086734693877,1.7704468879032242,0.6390943190007268,22000
covid19_twitter,ukr_rus_suspended,0.7361637755102042,0.7968495090473474,0.7177659238546085,22000
covid19_twitter,twibot20,0.7147994897959183,1.0433935840999549,0.6617604738187721,22000
covid19_twitter,cp_hk_twitter,0.5723295918367346,1.152333193473201,0.5494509066717357,22000
covid19_twitter,facebook_page_reference,0.6502163265306122,0.6683337763534218,0.6735984572312507,22000
midterm,ukr_rus_twitter,0.6281341836734693,0.7662777717521776,0.5819060074271514,10000
midterm,covid19_twitter,0.7284397959183675,0.6917754526789502,0.6820454434780772,10000
midterm,midterm,0.6842250000000001,1.0699219884042293,0.6323490574055144,10000
midterm,covid_political,0.6498561224489796,0.77962114876625,0.6104052242578328,10000
midterm,election2020,0.7299418367346938,0.8493465430156394,0.6621748918487917,10000
midterm,ukr_rus_suspended,0.7266642857142857,0.6895992357417423,0.7150722225524627,10000
midterm,twibot20,0.7662219387755103,0.6891685079302684,0.7044615327500847,10000
midterm,cp_hk_twitter,0.5610280612244898,0.7814645171203116,0.5355950247221402,10000
midterm,facebook_page_reference,0.5845025510204082,0.7108415848193665,0.6010050151484769,10000
covid_political,ukr_rus_twitter,0.5850107142857143,0.9641922502972293,0.547107404753053,12000
covid_political,covid19_twitter,0.6378846938775511,0.8362597542726212,0.6023638637596158,12000
covid_political,midterm,0.6090530612244898,0.8798879343419542,0.5871124274567321,12000
covid_political,covid_political,0.7481887755102041,1.3565225558723715,0.6854364391561534,12000
covid_political,election2020,0.7533785714285715,1.003777009891113,0.6857308582693793,12000
covid_political,ukr_rus_suspended,0.645156887755102,0.845129209210221,0.6371520963135169,12000
covid_political,twibot20,0.7321061224489795,0.8355755156626284,0.6859613777739906,12000
covid_political,cp_hk_twitter,0.5675382653061225,0.8545232610574279,0.5606038868412146,12000
covid_political,facebook_page_reference,0.5490744897959183,0.7958659109424451,0.577265516790612,12000
election2020,ukr_rus_twitter,0.5647617346938776,0.7131008858942494,0.5387098449566646,18000
election2020,covid19_twitter,0.5869854591836734,0.742340271216163,0.5491121736671116,18000
election2020,midterm,0.6023739795918368,0.7960518884146196,0.5743407354171419,18000
election2020,covid_political,0.6550548469387755,0.8776847898260147,0.5992639168629657,18000
election2020,election2020,0.8148698979591837,0.7619832632160215,0.7407677624758995,18000
election2020,ukr_rus_suspended,0.6118280612244897,0.6956849401228293,0.5907504883319982,18000
election2020,twibot20,0.6657627551020409,0.7059513132379915,0.6304617288097231,18000
election2020,cp_hk_twitter,0.5016122448979592,0.7872824899861158,0.504273927158147,18000
election2020,facebook_page_reference,0.5565494897959185,0.8535040277919981,0.5364921927812116,18000
ukr_rus_suspended,ukr_rus_twitter,0.685851530612245,0.7067035452755063,0.6373272448639343,14000
ukr_rus_suspended,covid19_twitter,0.7805729591836735,0.6344023561604227,0.7502316744302775,14000
ukr_rus_suspended,midterm,0.6454061224489795,0.7071663542776059,0.60568159315083,14000
ukr_rus_suspended,covid_political,0.6564505102040816,0.7577831086995213,0.6262152737472221,14000
ukr_rus_suspended,election2020,0.6814301020408162,0.957969537533129,0.6270115530823694,14000
ukr_rus_suspended,ukr_rus_suspended,0.8149382653061225,0.7212774556540741,0.7826063670279361,14000
ukr_rus_suspended,twibot20,0.7613943877551022,0.6543113321744598,0.7197478021777084,14000
ukr_rus_suspended,cp_hk_twitter,0.5511959183673469,0.7727920798618563,0.5394563384482557,14000
ukr_rus_suspended,facebook_page_reference,0.673538775510204,0.6551334272018665,0.6836993637425329,14000
twibot20,ukr_rus_twitter,0.691305612244898,0.7481803580180129,0.6394776958375985,52000
twibot20,covid19_twitter,0.7961775510204081,0.6625517394783788,0.7457220499433639,52000
twibot20,midterm,0.6625091836734694,0.8917082801742416,0.6115834381425286,52000
twibot20,covid_political,0.7021219387755102,1.2020672694706585,0.644204042788141,52000
twibot20,election2020,0.754644387755102,1.1416407619958353,0.6763802668357659,52000
twibot20,ukr_rus_suspended,0.7697755102040817,0.6499098733936789,0.7523659614366658,52000
twibot20,twibot20,0.8162377551020409,0.7712424022618634,0.7538342566457497,52000
twibot20,cp_hk_twitter,0.5819163265306122,0.9075642466989909,0.5628061720753045,52000
twibot20,facebook_page_reference,0.6664076530612245,0.6643240168586435,0.6781749323498707,52000
cp_hk_twitter,ukr_rus_twitter,0.5398061224489796,0.8695974083187423,0.5044232974595815,2000
cp_hk_twitter,covid19_twitter,0.5918989795918368,0.7845934766395213,0.5476811933247314,2000
cp_hk_twitter,midterm,0.5823362244897959,0.7442004926931267,0.5614278935779005,2000
cp_hk_twitter,covid_political,0.5103698979591837,0.8464864053520758,0.4986584416930723,2000
cp_hk_twitter,election2020,0.5245117346938775,0.833006333533146,0.5181437270926604,2000
cp_hk_twitter,ukr_rus_suspended,0.5874071428571428,0.7711428113097669,0.5682619388511984,2000
cp_hk_twitter,twibot20,0.5434510204081633,0.795110913517359,0.5229599924034453,2000
cp_hk_twitter,cp_hk_twitter,0.5933982142857143,2.303425354008334,0.5476825071548815,2000
cp_hk_twitter,facebook_page_reference,0.518319387755102,0.7390290704643907,0.5180462764422235,2000
facebook_page_reference,ukr_rus_twitter,0.6490489795918367,1.0006182091139961,0.6164293281862265,24000
facebook_page_reference,covid19_twitter,0.7157617346938776,0.7989441749285137,0.6969985420146695,24000
facebook_page_reference,midterm,0.5827464285714286,0.9153685475962722,0.5654255533838797,24000
facebook_page_reference,covid_political,0.6003489795918368,1.0783645284468266,0.6010471234283168,24000
facebook_page_reference,election2020,0.5892265306122448,1.4042489775414637,0.5858033471361462,24000
