metric,rung,arm,mean,delta_vs_balanced_mean,seed_wins_vs_balanced,winner_by_mean
nm_fixed_panel,1,baseline,0.8592795661988794,0.0,0,False
nm_fixed_panel,1,objective,0.857191157117708,-0.0020884090811712497,0,False
nm_fixed_panel,1,exposure,0.8594768973501147,0.00019733115123547287,2,False
nm_fixed_panel,1,schedule,0.8584796951648376,-0.0007998710340417029,1,False
nm_fixed_panel,1,composition,0.861044835871765,0.0017652696728858164,2,True
nm_fixed_panel,2,baseline,0.8576599131548033,0.0,0,False
nm_fixed_panel,2,objective,0.8588850011161765,0.0012250879613732168,3,True
nm_fixed_panel,2,exposure,0.8565744356228068,-0.0010854775319965408,1,False
nm_fixed_panel,2,schedule,0.855794359907895,-0.0018655532469084395,0,False
nm_fixed_panel,2,composition,0.8561742293626615,-0.0014856837921417936,1,False
nm_fixed_panel,3,baseline,0.8581720328422341,0.0,0,False
nm_fixed_panel,3,objective,0.8591371711694012,0.0009651383271669367,2,True
nm_fixed_panel,3,exposure,0.8569420864095888,-0.0012299464326454752,0,False
nm_fixed_panel,3,schedule,0.8579121019039421,-0.000259930938292056,1,False
nm_fixed_panel,3,composition,0.8554483610754472,-0.002723671766787006,0,False
nm_fixed_panel,4,baseline,0.8545107031893661,0.0,0,False
nm_fixed_panel,4,objective,0.8589047501370368,0.004394046947670908,3,True
nm_fixed_panel,4,exposure,0.855934917414224,0.0014242142248579448,2,False
nm_fixed_panel,4,schedule,0.8547193828924202,0.00020867970305434488,2,False
nm_fixed_panel,4,composition,0.8579921033241334,0.003481400134767424,3,False
nm_fixed_panel,5,baseline,0.8538096324795609,0.0,0,False
nm_fixed_panel,5,objective,0.8574389835477838,0.003629351068223041,3,False
nm_fixed_panel,5,exposure,0.8580524894418794,0.004242856962318482,3,True
nm_fixed_panel,5,schedule,0.8498813297861229,-0.003928302693438024,0,False
nm_fixed_panel,5,composition,0.8547534778352593,0.0009438453556985434,2,False
nm_fixed_panel,6,baseline,0.8633556918927384,0.0,0,False
nm_fixed_panel,6,objective,0.8645651622750292,0.0012094703822908375,2,True
nm_fixed_panel,6,exposure,0.8574274146135638,-0.005928277279174628,0,False
nm_fixed_panel,6,schedule,0.857051404367969,-0.006304287524769451,0,False
nm_fixed_panel,6,composition,0.86400936877489,0.0006536768821514919,2,False
nm_fixed_panel,7,baseline,0.8646291074015933,0.0,0,False
nm_fixed_panel,7,objective,0.8651397304719639,0.0005106230703705306,2,True
nm_fixed_panel,7,exposure,0.8592675127187349,-0.005361594682858424,0,False
nm_fixed_panel,7,schedule,0.8573724224903371,-0.007256684911256195,0,False
nm_fixed_panel,7,composition,0.8642161719390006,-0.00041293546259276354,2,False
nm_fixed_panel,8,baseline,0.8632843034528275,0.0,0,False
nm_fixed_panel,8,objective,0.8661959630573187,0.0029116596044912457,3,False
nm_fixed_panel,8,exposure,0.8584194475917322,-0.004864855861095381,0,False
nm_fixed_panel,8,schedule,0.8548994778571813,-0.008384825595646203,0,False
nm_fixed_panel,8,composition,0.8662201290132644,0.0029358255604369963,3,True
cls_fixed_panel,1,baseline,0.7720233681761188,0.0,0,False
cls_fixed_panel,1,objective,0.762166209279755,-0.009857158896363849,0,False
cls_fixed_panel,1,exposure,0.7627088805775584,-0.009314487598560536,0,False
cls_fixed_panel,1,schedule,0.7741664462619356,0.0021430780858168927,2,True
cls_fixed_panel,1,composition,0.7701084937578365,-0.0019148744182822715,1,False
