metric,arm,training_seeds,mean,min,max,sd,delta_vs_baseline_mean,seed_wins_vs_baseline
cls_fixed_panel,baseline,3,0.762065610599686,0.7597155182449906,0.7657933492509146,0.0032647265464210325,0.0,0
cls_fixed_panel,composition,3,0.7586229687645321,0.7536857029748341,0.7612437122082581,0.0042785023930893935,-0.003442641835153933,1
cls_fixed_panel,exposure,3,0.7634195428676706,0.7599985647453833,0.7652500334240141,0.0029650832777050697,0.0013539322679845256,1
cls_fixed_panel,objective,3,0.7619143517980289,0.7584153160216317,0.7642803212322257,0.0030923213015378015,-0.000151258801657043,1
cls_fixed_panel,schedule,3,0.7580499097363238,0.7551999046688989,0.7610952528696211,0.0029525243981928075,-0.004015700863362226,0
nm_fixed_panel,baseline,3,0.8590598593980214,0.8564015087757726,0.8606897513887305,0.002321756133724659,0.0,0
nm_fixed_panel,composition,3,0.8594608849648439,0.8544975544148782,0.8620433785068882,0.0042995527616957255,0.00040102556682242163,2
nm_fixed_panel,exposure,3,0.8575924326702458,0.8551293551106235,0.8594304831711791,0.002217638330836396,-0.0014674267277755189,0
nm_fixed_panel,objective,3,0.8608234798292722,0.8597435087623485,0.8619051810001245,0.0010808371574097294,0.0017636204312508526,3
nm_fixed_panel,schedule,3,0.8556315125513851,0.8537265628059727,0.8569286925821837,0.0016853625115759525,-0.0034283468466362508,0
nm_future_sources,baseline,3,0.8105342104324696,0.808041745521165,0.8118539712006451,0.002159789900269494,0.0,0
nm_future_sources,composition,3,0.8086581807824945,0.8056024999819497,0.8105593222171433,0.0026724974328108317,-0.0018760296499750566,0
nm_future_sources,exposure,3,0.8141584128416354,0.8121538720103625,0.8158827778677983,0.00188017514735499,0.003624202409165722,3
nm_future_sources,objective,3,0.8115640275378171,0.8106313601622311,0.8129671972135823,0.0012369571510249312,0.0010298171053475154,2
nm_future_sources,schedule,3,0.808547452552065,0.8068368363991594,0.8105923858501902,0.0018999641799190355,-0.0019867578804046624,0
nm_heldout_twibot,baseline,3,0.9047248029193398,0.9029745158499293,0.9056824160131133,0.0015180348636254066,0.0,0
nm_heldout_twibot,composition,3,0.9018437124662343,0.8983653198713544,0.9036277317354832,0.003012709807115184,-0.0028810904531056205,0
nm_heldout_twibot,exposure,3,0.9081112179947995,0.9059535420880528,0.9096749853911659,0.0019305000786319362,0.003386415075459744,3
nm_heldout_twibot,objective,3,0.905614930975287,0.9049363100274246,0.9062775626656262,0.0006707692614736066,0.0008901280559472369,3
nm_heldout_twibot,schedule,3,0.9000607491681402,0.8989284845897911,0.9016018626725145,0.0013827890932930802,-0.004664053751199604,0
nm_included,baseline,3,0.8945371118968053,0.891094656618246,0.8966567903271925,0.003007762755204405,0.0,0
nm_included,composition,3,0.8961792842332827,0.8902854890401556,0.8993585777359149,0.005109464178468585,0.0016421723364773433,2
nm_included,exposure,3,0.8904670422410631,0.8875754330151638,0.8923543016124214,0.0025428203318758114,-0.004070069655742303,0
nm_included,objective,3,0.896926898036417,0.8953428523101838,0.8980787355583099,0.0014182267927832914,0.002389786139611679,3
nm_included,schedule,3,0.890848068156248,0.8885765894860628,0.8922715507785963,0.001988091474553038,-0.0036890437405573406,0
