arm,rung,metric,seed_count,mean,min,max,sd
baseline,1,nm_fixed_panel,3,0.8592795661988794,0.8581295173743676,0.8599570083435468,0.0010012235594425824
baseline,1,nm_included,3,0.9198128867423397,0.913072216784817,0.9235431864343842,0.005848679184396766
baseline,1,nm_future_sources,3,0.8440632820651383,0.8439188123532313,0.8442784811279848,0.00018997996656591978
baseline,1,nm_heldout_twibot,3,0.9052602345916047,0.9021455705850973,0.9075146124280733,0.0027859866831477596
baseline,1,cls_fixed_panel,3,0.7720233681761188,0.7709335609718606,0.7735244185836226,0.001343494145974608
baseline,2,nm_fixed_panel,3,0.8576599131548033,0.8541577588400469,0.8599455757159382,0.0030797069969698875
baseline,2,nm_included,3,0.9403962858563638,0.9361568987369537,0.9431116690580872,0.003719428519379443
baseline,2,nm_future_sources,3,0.821620325879271,0.81820941297944,0.8238924868490504,0.0030078063635329204
baseline,2,nm_heldout_twibot,3,0.9084246914048761,0.9058495542098738,0.9099319222329677,0.0022409261869507486
baseline,2,cls_fixed_panel,3,0.7653808216989777,0.7635327091923466,0.7664510091145833,0.0016071696221826293
baseline,3,nm_fixed_panel,3,0.8581720328422341,0.8568223923863427,0.8589476114336405,0.0011731578188553607
baseline,3,nm_included,3,0.914089380035303,0.9120215008542,0.9151779055595398,0.0017916676184175238
baseline,3,nm_future_sources,3,0.8147651269244051,0.8140031542723205,0.8152219276044559,0.000664228543625818
baseline,3,nm_heldout_twibot,3,0.907454520852173,0.9053212575528814,0.9088851482018657,0.0018829769243756086
baseline,3,cls_fixed_panel,3,0.7636046798140913,0.7568672462745949,0.7730731257685909,0.008441057644137677
baseline,4,nm_fixed_panel,3,0.8545107031893661,0.8502439989288496,0.8569285059492859,0.003706006758729161
baseline,4,nm_included,3,0.8917519345479907,0.8870887266835947,0.8942454804291671,0.004041702102426952
baseline,4,nm_future_sources,3,0.8048163570891852,0.8002088497424948,0.8079474249105343,0.004075081798177978
baseline,4,nm_heldout_twibot,3,0.9043231621555897,0.9030056846552881,0.9063788696267139,0.001803699484456464
baseline,4,cls_fixed_panel,3,0.7631329053713953,0.7585670612476492,0.7717633565266928,0.007478390536314017
baseline,5,nm_fixed_panel,3,0.8538096324795609,0.8529031842908945,0.8550320109036081,0.0010990152965133474
baseline,5,nm_included,3,0.8821154048433705,0.8808219522443311,0.8840914559364318,0.0017383524171455233
baseline,5,nm_future_sources,3,0.7898354886896612,0.7896490934708109,0.7899758776942432,0.00016817969849105595
baseline,5,nm_heldout_twibot,3,0.9042032020302111,0.9030716169839617,0.9049031853675841,0.0009891262367867793
baseline,5,cls_fixed_panel,3,0.7615978570631993,0.7584609561496312,0.7640264440465857,0.0028495517806409513
baseline,6,nm_fixed_panel,3,0.8633556918927384,0.8591938525324123,0.8661566031390223,0.0036754684056804023
baseline,6,nm_included,3,0.883406254622519,0.8786999169208993,0.8864543357799791,0.004134623808183663
baseline,6,nm_future_sources,3,0.7842362056746794,0.7809811437952108,0.786108763464566,0.002829595207211265
baseline,6,nm_heldout_twibot,3,0.9012912879501723,0.898582883675893,0.9044658866421932,0.0029690796388315605
baseline,6,cls_fixed_panel,3,0.7586419470516251,0.7522126515706381,0.7633414798312718,0.005762531029494028
baseline,7,nm_fixed_panel,3,0.8646291074015933,0.8612323504907115,0.8663954581185167,0.002942462975476286
baseline,7,nm_included,3,0.8608581812119445,0.8576011507969186,0.8626421316699636,0.0028249505235318573
baseline,7,nm_future_sources,3,0.8518002346100934,0.8459402821529871,0.8555173913637796,0.005135555985364018
baseline,7,nm_heldout_twibot,3,0.9038544635206347,0.9019428166849861,0.9057229035202113,0.001890413775730938
baseline,7,cls_fixed_panel,3,0.752166281806098,0.7506187015109592,0.7544964543095342,0.002053918113041405
baseline,8,nm_fixed_panel,3,0.8632843034528275,0.8612034946413637,0.8652982112396113,0.0020481779256984593
baseline,8,nm_included,3,0.8584717975779511,0.8562509751867974,0.860588679848046,0.0021707194875498683
baseline,8,nm_future_sources,0,,,,
baseline,8,nm_heldout_twibot,3,0.9017843504518387,0.9008236502778941,0.9029744623721333,0.0010936043517671334
baseline,8,cls_fixed_panel,3,0.7678461946087118,0.7644541139955873,0.7712574711552372,0.003401719201129698
composition,1,nm_fixed_panel,3,0.861044835871765,0.8572923424904678,0.8630272967148558,0.003251489870611453
composition,1,nm_included,3,0.9201897755436516,0.9131565609197508,0.924297158197425,0.0061195258365247035
composition,1,nm_future_sources,3,0.8462675771950763,0.8433001393559335,0.8477532529478591,0.0025698772978642644
composition,1,nm_heldout_twibot,3,0.905340706936701,0.8993735460029251,0.9087031372662246,0.005181581266911156
composition,1,cls_fixed_panel,3,0.7701084937578365,0.764577003761574,0.7794570640281395,0.008141352759093931
composition,2,nm_fixed_panel,3,0.8561742293626615,0.849789490995127,0.8596415712915617,0.0055361785580819774
composition,2,nm_included,3,0.9382810513178508,0.934115173761872,0.9416383870716752,0.0038262239232137382
composition,2,nm_future_sources,3,0.8206278488629927,0.8135852243023356,0.8243757168451946,0.006103298125835627
composition,2,nm_heldout_twibot,3,0.9052388684502963,0.8983637256183844,0.9099617348320181,0.006091196505483572
composition,2,cls_fixed_panel,3,0.7548293549337505,0.7451109568277995,0.7608064298276549,0.0084902940293636
composition,3,nm_fixed_panel,3,0.8554483610754472,0.8525163557033123,0.8572523226378674,0.002561583070832674
composition,3,nm_included,3,0.9127240426847912,0.9097363622709252,0.914752740969603,0.0026421106818264348
composition,3,nm_future_sources,3,0.8115953779494628,0.8089119833913344,0.8131852961682726,0.0023371068441285442
composition,3,nm_heldout_twibot,3,0.9028862318773379,0.898878197560365,0.9050861999906342,0.0034765861259596076
composition,3,cls_fixed_panel,3,0.7543586683862004,0.749441980432581,0.7621307655617043,0.0068092832502094835
composition,4,nm_fixed_panel,3,0.8579921033241334,0.854064210925827,0.8600413917581697,0.003402724983973849
composition,4,nm_included,3,0.8977469090186774,0.8925746054484928,0.9007035571953347,0.004494642448824048
composition,4,nm_future_sources,3,0.8070217315835514,0.8040863898978836,0.8088188566353129,0.0025633402397057053
composition,4,nm_heldout_twibot,3,0.9028543675082853,0.8999339169469374,0.9049185041723581,0.0026002850939766307
composition,4,cls_fixed_panel,3,0.7585839542341821,0.7551058733904803,0.7627818496138961,0.003888284000726017
composition,5,nm_fixed_panel,3,0.8547534778352593,0.8511723191497579,0.8569294167661119,0.0031252240176024557
composition,5,nm_included,3,0.884478097592277,0.8781642174172675,0.8876871705603324,0.00546822914530093
composition,5,nm_future_sources,3,0.7896139017771335,0.7886631272305018,0.7907345291755208,0.0010460946409834226
composition,5,nm_heldout_twibot,3,0.9015491072245485,0.9013976384853495,0.9017253105667815,0.00016523044113583168
composition,5,cls_fixed_panel,3,0.7556944058265215,0.7523128085666232,0.7617728904441551,0.005275242965744447
composition,6,nm_fixed_panel,3,0.86400936877489,0.8576670544814333,0.8681412972100698,0.005576001651403164
composition,6,nm_included,3,0.8861641887580145,0.8792040439629464,0.8897612590214301,0.006028797573053571
composition,6,nm_future_sources,3,0.7796438977636141,0.7732677725539812,0.786270058223571,0.00650474798729426
composition,6,nm_heldout_twibot,3,0.8998113908986936,0.8972436814472594,0.9021640043149051,0.0024672036820549714
composition,6,cls_fixed_panel,3,0.759966414651753,0.7467611948649088,0.7686479497838904,0.011623480647478797
composition,7,nm_fixed_panel,3,0.8642161719390006,0.8565218374799191,0.8684789125642253,0.006676435300619401
composition,7,nm_included,3,0.8627111160631186,0.8527527423719272,0.86783084154912,0.00862534961839261
composition,7,nm_future_sources,3,0.8406250763213498,0.8331825833211,0.845339022285637,0.006521386261388281
composition,7,nm_heldout_twibot,3,0.8983426586878253,0.8940883184301442,0.9008314177907745,0.003702067646233868
composition,7,cls_fixed_panel,3,0.7591050795566888,0.7585117763943143,0.7596402062310113,0.0005664599296583299
composition,8,nm_fixed_panel,3,0.8662201290132644,0.8622108818470746,0.8692779952386634,0.0036283422100552533
composition,8,nm_included,3,0.862109392852847,0.8577459951755644,0.8653684884652324,0.003929403679397291
composition,8,nm_future_sources,0,,,,
composition,8,nm_heldout_twibot,3,0.8991060182966034,0.8979299752191565,0.9005540494261118,0.0013330133106050296
composition,8,cls_fixed_panel,3,0.7655373137674214,0.7623089966950592,0.7708192472104674,0.004611843027164606
exposure,1,nm_fixed_panel,3,0.8594768973501147,0.8566249461161832,0.8617057939903336,0.002597094828866384
