task,arm,rung,training_seed,target,roc_auc,baseline_roc_auc,rung1_roc_auc,delta_vs_baseline,delta_vs_rung1
NM,baseline,1,0,covid,0.9596192777841941,0.9596192777841941,0.9596192777841941,0.0,0.0
NM,baseline,1,0,covid_political,0.8353252941164477,0.8353252941164477,0.8353252941164477,0.0,0.0
NM,baseline,1,0,cp_hk,0.7146705894634643,0.7146705894634643,0.7146705894634643,0.0,0.0
NM,baseline,1,0,election2020,0.8347588746027015,0.8347588746027015,0.8347588746027015,0.0,0.0
NM,baseline,1,0,facebook_page_reference,0.8804908581163692,0.8804908581163692,0.8804908581163692,0.0,0.0
NM,baseline,1,0,midterm,0.8602815358118078,0.8602815358118078,0.8602815358118078,0.0,0.0
NM,baseline,1,0,twibot20,0.9021455705850973,0.9021455705850973,0.9021455705850973,0.0,0.0
NM,baseline,1,0,ukr_rus,0.913072216784817,0.913072216784817,0.913072216784817,0.0,0.0
NM,baseline,1,0,ukr_rus_suspended,0.8228014391044092,0.8228014391044092,0.8228014391044092,0.0,0.0
NM,baseline,2,0,covid,0.96164721058703,0.96164721058703,0.9596192777841941,0.0,0.0020279328028358634
NM,baseline,2,0,covid_political,0.8351834904188398,0.8351834904188398,0.8353252941164477,0.0,-0.0001418036976079673
NM,baseline,2,0,cp_hk,0.7088868745442093,0.7088868745442093,0.7146705894634643,0.0,-0.005783714919255001
NM,baseline,2,0,election2020,0.837047560324614,0.837047560324614,0.8347588746027015,0.0,0.0022886857219125423
NM,baseline,2,0,facebook_page_reference,0.8622426726352208,0.8622426726352208,0.8804908581163692,0.0,-0.01824818548114837
NM,baseline,2,0,midterm,0.8505515975513678,0.8505515975513678,0.8602815358118078,0.0,-0.009729938260439996
NM,baseline,2,0,twibot20,0.9058495542098738,0.9058495542098738,0.9021455705850973,0.0,0.00370398362477653
NM,baseline,2,0,ukr_rus,0.9106665868868774,0.9106665868868774,0.913072216784817,0.0,-0.0024056298979395763
NM,baseline,2,0,ukr_rus_suspended,0.8153442824023893,0.8153442824023893,0.8228014391044092,0.0,-0.0074571567020198515
NM,baseline,3,0,covid,0.9618831929119156,0.9618831929119156,0.9596192777841941,0.0,0.0022639151277215053
NM,baseline,3,0,covid_political,0.8366456559334677,0.8366456559334677,0.8353252941164477,0.0,0.0013203618170199993
NM,baseline,3,0,cp_hk,0.7093764448988026,0.7093764448988026,0.7146705894634643,0.0,-0.005294144564661707
NM,baseline,3,0,election2020,0.8384934265038062,0.8384934265038062,0.8347588746027015,0.0,0.0037345519011047212
NM,baseline,3,0,facebook_page_reference,0.8620769955646033,0.8620769955646033,0.8804908581163692,0.0,-0.018413862551765914
NM,baseline,3,0,midterm,0.8668231233783152,0.8668231233783152,0.8602815358118078,0.0,0.006541587566507467
NM,baseline,3,0,twibot20,0.9053212575528814,0.9053212575528814,0.9021455705850973,0.0,0.0031756869677841415
NM,baseline,3,0,ukr_rus,0.907358186272369,0.907358186272369,0.913072216784817,0.0,-0.0057140305124480095
NM,baseline,3,0,ukr_rus_suspended,0.8234232484609231,0.8234232484609231,0.8228014391044092,0.0,0.0006218093565139027
NM,baseline,4,0,covid,0.9540062946834784,0.9540062946834784,0.9596192777841941,0.0,-0.005612983100715674
NM,baseline,4,0,covid_political,0.8426472225408445,0.8426472225408445,0.8353252941164477,0.0,0.0073219284243967175
NM,baseline,4,0,cp_hk,0.7095548235136887,0.7095548235136887,0.7146705894634643,0.0,-0.005115765949775586
NM,baseline,4,0,election2020,0.8367903136658944,0.8367903136658944,0.8347588746027015,0.0,0.002031439063192919
NM,baseline,4,0,facebook_page_reference,0.8445398325207589,0.8445398325207589,0.8804908581163692,0.0,-0.03595102559561025
NM,baseline,4,0,midterm,0.8542478331204119,0.8542478331204119,0.8602815358118078,0.0,-0.006033702691395915
NM,baseline,4,0,twibot20,0.9030056846552881,0.9030056846552881,0.9021455705850973,0.0,0.0008601140701908205
NM,baseline,4,0,ukr_rus,0.8974535563896443,0.8974535563896443,0.913072216784817,0.0,-0.015618660395172679
NM,baseline,4,0,ukr_rus_suspended,0.8099504292696372,0.8099504292696372,0.8228014391044092,0.0,-0.012851009834771943
NM,baseline,5,0,covid,0.9566210090428934,0.9566210090428934,0.9596192777841941,0.0,-0.0029982687413007136
NM,baseline,5,0,covid_political,0.8503927361006024,0.8503927361006024,0.8353252941164477,0.0,0.015067441984154661
NM,baseline,5,0,cp_hk,0.7036843177915989,0.7036843177915989,0.7146705894634643,0.0,-0.010986271671865389
NM,baseline,5,0,election2020,0.8374872104874973,0.8374872104874973,0.8347588746027015,0.0,0.0027283358847958183
NM,baseline,5,0,facebook_page_reference,0.8485969344774882,0.8485969344774882,0.8804908581163692,0.0,-0.031893923638880994
NM,baseline,5,0,midterm,0.8642492331307509,0.8642492331307509,0.8602815358118078,0.0,0.003967697318943086
NM,baseline,5,0,twibot20,0.9046348037390872,0.9046348037390872,0.9021455705850973,0.0,0.002489233153989967
NM,baseline,5,0,ukr_rus,0.8984138429849996,0.8984138429849996,0.913072216784817,0.0,-0.014658373799817381
