arm,rung,training_seed,nm_fixed_panel,nm_included,nm_future_sources,nm_heldout_twibot,cls_fixed_panel
baseline,1,0,0.8581295173743676,0.913072216784817,0.843992552714199,0.9021455705850973,0.7735244185836226
baseline,1,1,0.8599570083435468,0.9235431864343842,0.8442784811279848,0.9061205207616432,0.7716121249728733
baseline,1,2,0.8597521728787234,0.922823257007818,0.8439188123532313,0.9075146124280733,0.7709335609718606
baseline,2,0,0.8541577588400469,0.9361568987369537,0.81820941297944,0.9058495542098738,0.7635327091923466
baseline,2,1,0.858876404908425,0.9419202897740506,0.8227590778093227,0.9094925977717871,0.7664510091145833
baseline,2,2,0.8599455757159382,0.9431116690580872,0.8238924868490504,0.9099319222329677,0.7661587467900028
baseline,3,0,0.8568223923863427,0.9120215008542,0.8140031542723205,0.9053212575528814,0.7608736673990885
baseline,3,1,0.8589476114336405,0.9151779055595398,0.8152219276044559,0.9088851482018657,0.7568672462745949
baseline,3,2,0.8587460947067194,0.9150687336921693,0.8150702988964387,0.9081571568017719,0.7730731257685909
baseline,4,0,0.8502439989288496,0.8870887266835947,0.8002088497424948,0.9030056846552881,0.7585670612476492
baseline,4,1,0.8569285059492859,0.8942454804291671,0.8079474249105343,0.9035849321847674,0.7590682983398437
baseline,4,2,0.8563596046899623,0.8939215965312104,0.8062927966145264,0.9063788696267139,0.7717633565266928
baseline,5,0,0.85349370224418,0.8814328063493486,0.7898814949039298,0.9046348037390872,0.7584609561496312
baseline,5,1,0.8550320109036081,0.8840914559364318,0.7899758776942432,0.9049031853675841,0.762306170993381
baseline,5,2,0.8529031842908945,0.8808219522443311,0.7896490934708109,0.9030716169839617,0.7640264440465857
baseline,6,0,0.8591938525324123,0.8786999169208993,0.7809811437952108,0.898582883675893,0.7603717097529659
baseline,6,1,0.8661566031390223,0.8864543357799791,0.786108763464566,0.9044658866421932,0.7522126515706381
baseline,6,2,0.8647166200067806,0.8850645111666786,0.7856187097642614,0.9008250935324309,0.7633414798312718
baseline,7,0,0.8612323504907115,0.8576011507969186,0.8459402821529871,0.9019428166849861,0.7506187015109592
baseline,7,1,0.8662595135955518,0.8626421316699636,0.8539430303135135,0.9038976703567067,0.7513836895978009
baseline,7,2,0.8663954581185167,0.8623312611689513,0.8555173913637796,0.9057229035202113,0.7544964543095342
baseline,8,0,0.8612034946413637,0.8562509751867974,,0.9008236502778941,0.7712574711552372
baseline,8,1,0.8652982112396113,0.860588679848046,,0.9029744623721333,0.767826998675311
baseline,8,2,0.8633512044775075,0.8585757376990099,,0.9015549387054882,0.7644541139955873
composition,1,0,0.8572923424904678,0.9131565609197508,0.8433001393559335,0.8993735460029251,0.7662914134837963
composition,1,1,0.8628148684099717,0.9231156075137785,0.8477532529478591,0.907945437540953,0.7794570640281395
composition,1,2,0.8630272967148558,0.924297158197425,0.847749339281436,0.9087031372662246,0.764577003761574
composition,2,0,0.849789490995127,0.934115173761872,0.8135852243023356,0.8983637256183844,0.7451109568277995
composition,2,1,0.8590916258012959,0.939089593120005,0.8243757168451946,0.9073911449004863,0.7585706781457973
composition,2,2,0.8596415712915617,0.9416383870716752,0.8239226054414477,0.9099617348320181,0.7608064298276549
composition,3,0,0.8525163557033123,0.9097363622709252,0.8089119833913344,0.898878197560365,0.749441980432581
composition,3,1,0.8565764048851618,0.9136830248138458,0.8126888542887809,0.9046942980810143,0.7621307655617043
composition,3,2,0.8572523226378674,0.914752740969603,0.8131852961682726,0.9050861999906342,0.7515032591643156
composition,4,0,0.854064210925827,0.8925746054484928,0.8040863898978836,0.8999339169469374,0.7551058733904803
composition,4,1,0.8598707072884034,0.8999625644122047,0.8088188566353129,0.9037106814055608,0.7578641396981698
composition,4,2,0.8600413917581697,0.9007035571953347,0.8081599482174577,0.9049185041723581,0.7627818496138961
composition,5,0,0.8511723191497579,0.8781642174172675,0.7894440489253779,0.9013976384853495,0.7523128085666232
composition,5,1,0.8569294167661119,0.8876871705603324,0.7907345291755208,0.9017253105667815,0.7529975184687862
composition,5,2,0.8561586975899085,0.8875829047992312,0.7886631272305018,0.9015243726215143,0.7617728904441551
composition,6,0,0.8576670544814333,0.8792040439629464,0.7732677725539812,0.8972436814472594,0.7467611948649088
composition,6,1,0.8681412972100698,0.8897612590214301,0.786270058223571,0.9021640043149051,0.7644900993064598
composition,6,2,0.8662197546331666,0.8895272632896671,0.77939386251329,0.9000264869339164,0.7686479497838904
composition,7,0,0.8565218374799191,0.8527527423719272,0.845339022285637,0.8940883184301442,0.7585117763943143
composition,7,1,0.8676477657728573,0.86783084154912,0.8331825833211,0.9008314177907745,0.7596402062310113
composition,7,2,0.8684789125642253,0.8675497642683083,0.8433536233573125,0.9001082398425574,0.759163256044741
composition,8,0,0.8622108818470746,0.8577459951755644,,0.8979299752191565,0.7708192472104674
composition,8,1,0.8692779952386634,0.8653684884652324,,0.9005540494261118,0.7623089966950592
composition,8,2,0.8671715099540553,0.8632136949177445,,0.898834030244542,0.7634836973967374
exposure,1,0,0.8566249461161832,0.9120979859911162,0.8423421456504535,0.9011315095013586,0.7578478636565031
exposure,1,1,0.8600999519438274,0.9236361026763916,0.8442228947562734,0.9077032015241426,0.7676102814850984
exposure,1,2,0.8617057939903336,0.9246514764325372,0.8462883882334665,0.9066819518461994,0.7626684965910735
exposure,2,0,0.8519873446736147,0.9366571000252647,0.8149465226122246,0.9048927663386552,0.7683096991644965
exposure,2,1,0.8600904975966627,0.9397188151019744,0.8251391370634465,0.9105420257853365,0.7703756403040003
exposure,2,2,0.8576454645981431,0.9389712737209497,0.8216986562100406,0.9106746966811433,0.7643715611210575
exposure,3,0,0.8560168983835827,0.9086459097277616,0.8144750364073392,0.9058391742322637,0.7542014510543258
exposure,3,1,0.8577111804165602,0.9109895140275187,0.8153630672104057,0.9096167456144575,0.7605710206208405
exposure,3,2,0.8570981804286232,0.9112468312526572,0.814427965536885,0.908003302415212,0.7625663192183885
exposure,4,0,0.8539079072222703,0.8894497134562196,0.8049374077854485,0.9076226800337605,0.7551377190483941
exposure,4,1,0.8580387054427525,0.8951884075827982,0.8082243695341308,0.908697240517057,0.7554516403763383
exposure,4,2,0.8558581395776489,0.8928856863030072,0.806273893515269,0.9060849369257348,0.7684416170473451
exposure,5,0,0.8559679751651954,0.8788810877142282,0.8010348752540647,0.9062017121534236,0.7624831164324725
exposure,5,1,0.8599079592017835,0.8845482744567696,0.8020921894873695,0.910153692070095,0.7677830872712312
exposure,5,2,0.8582815339586591,0.883556272408058,0.7989797825100778,0.9098130960574095,0.7683897654215495
exposure,6,0,0.8550102483267071,0.8700872156583487,0.7840902039374428,0.9063885331153869,0.7610137939453125
exposure,6,1,0.858472830673744,0.8741687991153236,0.7858411123697784,0.9095604566321978,0.766234164767795
exposure,6,2,0.8587991648402402,0.8727870544711291,0.7922028742987534,0.9080644081378805,0.7646440435338904
exposure,7,0,0.8566574402391377,0.8484407421990567,0.8645362264808567,0.9062955402779853,0.7572491398564092
exposure,7,1,0.8617159288657275,0.8530597259454147,0.873050688327044,0.9109745898466001,0.7693901203296803
exposure,7,2,0.8594291690513395,0.8520963678219047,0.8598083313854263,0.9103796153232968,0.7649505191379123
exposure,8,0,0.8560903974115317,0.8496345386594193,,0.907737267428431,0.7653422037760416
exposure,8,1,0.860052608058218,0.853977047437909,,0.9086570930206913,0.762918797245732
exposure,8,2,0.8591153373054465,0.8528610409505066,,0.9091497081449663,0.764104320384838
objective,1,0,0.85557781724333,0.9165671810336495,0.8402721714112167,0.9017279742778033,0.7567615509033202
objective,1,1,0.858496377187975,0.9252274039147914,0.8424323330371839,0.9042136595166962,0.7662602459942853
objective,1,2,0.857499276921819,0.9230920975235688,0.8412837348939554,0.9054152505151158,0.7634768309416595
objective,2,0,0.8561245176831729,0.9391532358766972,0.8194976727396136,0.9098281509574803,0.7644457781756365
objective,2,1,0.860213989575095,0.9437485832592537,0.8238676103138833,0.9112230777740479,0.7647716239646629
objective,2,2,0.8603164960902618,0.9437831610783762,0.8240037760743695,0.9112594862093869,0.7687532071714049
objective,3,0,0.8594684152310835,0.9143137270920122,0.8168648453416496,0.9079503290954677,0.7647666507297093
objective,3,1,0.8584437019828026,0.914339032164022,0.8149100424777502,0.908426008964407,0.763520586932147
objective,3,2,0.8594993962943173,0.9153034433551218,0.8159912524826225,0.9096279741703779,0.7630320796260127
objective,4,0,0.8587640740557801,0.8967090451169288,0.8091363931524342,0.9054949134245687,0.7595861929434318
objective,4,1,0.8590128338352171,0.8961824602779301,0.8101155485572487,0.9059234691762377,0.7619914725974753
objective,4,2,0.8589373425201133,0.8965764942525447,0.8092393243792413,0.907172808153876,0.7673164791531033
objective,5,0,0.8560304406806731,0.8843311940664533,0.7924856923549112,0.9051609187290585,0.759126013296622
objective,5,1,0.8571878287375049,0.8846119545245992,0.7949774563084162,0.9066983170893,0.769114656801577
