task,arm,rung,target,training_seeds,delta_vs_baseline_mean,delta_vs_baseline_min,delta_vs_baseline_max,delta_vs_rung1_mean,delta_vs_rung1_min,delta_vs_rung1_max
CLS,baseline,1,covid_political,3,0.0,0.0,0.0,0.0,0.0,0.0
CLS,baseline,1,election2020,3,0.0,0.0,0.0,0.0,0.0,0.0
CLS,baseline,1,facebook_page_reference,3,0.0,0.0,0.0,0.0,0.0,0.0
CLS,baseline,1,twibot20,3,0.0,0.0,0.0,0.0,0.0,0.0
CLS,baseline,1,ukr_rus_suspended,3,0.0,0.0,0.0,0.0,0.0,0.0
CLS,baseline,2,covid_political,3,0.0,0.0,0.0,-0.0018833301685476183,-0.006818983289930802,0.004803975423177009
CLS,baseline,2,election2020,3,0.0,0.0,0.0,-0.0007120768229166666,-0.00244140625,0.00103759765625
CLS,baseline,2,facebook_page_reference,3,0.0,0.0,0.0,0.00136566162109375,-0.00970458984375,0.008892059326171875
CLS,baseline,2,twibot20,3,0.0,0.0,0.0,-0.025553950557002308,-0.052732255723741295,-0.009589725070529465
CLS,baseline,2,ukr_rus_suspended,3,0.0,0.0,0.0,-0.006429036458333333,-0.02044677734375,0.0185546875
CLS,baseline,3,covid_political,3,0.0,0.0,0.0,-0.013866942605854748,-0.026955781159577863,-0.001869484230324181
CLS,baseline,3,election2020,3,0.0,0.0,0.0,-0.0006917317708333334,-0.00146484375,-0.00018310546875
CLS,baseline,3,facebook_page_reference,3,0.0,0.0,0.0,0.013432820638020834,0.005908966064453125,0.025928497314453125
CLS,baseline,3,twibot20,3,0.0,0.0,0.0,-0.01466143572771994,-0.038858625623914955,0.012213389078776116
CLS,baseline,3,ukr_rus_suspended,3,0.0,0.0,0.0,-0.02630615234375,-0.06024169921875,-6.103515625e-05
CLS,baseline,4,covid_political,3,0.0,0.0,0.0,-0.008434436939380877,-0.01873214156539338,0.004482693142360827
CLS,baseline,4,election2020,3,0.0,0.0,0.0,-0.0020650227864583335,-0.003662109375,0.00079345703125
CLS,baseline,4,facebook_page_reference,3,0.0,0.0,0.0,0.010235468546549479,0.0041866302490234375,0.018749237060546875
CLS,baseline,4,twibot20,3,0.0,0.0,0.0,-0.015339038990162016,-0.040893130832248215,0.009202321370442856
CLS,baseline,4,ukr_rus_suspended,3,0.0,0.0,0.0,-0.028849283854166668,-0.06829833984375,0.00189208984375
CLS,baseline,5,covid_political,3,0.0,0.0,0.0,-0.009327076099537165,-0.017952247902199292,-0.003821478949653012
CLS,baseline,5,election2020,3,0.0,0.0,0.0,0.003021240234375,0.002471923828125,0.00335693359375
CLS,baseline,5,facebook_page_reference,3,0.0,0.0,0.0,-0.002986907958984375,-0.00595855712890625,0.001041412353515625
