arm,rung,training_seed,nm_fixed_panel
baseline,1,0,0.8581295173743676
baseline,1,1,0.8599570083435468
baseline,1,2,0.8597521728787234
baseline,2,0,0.8541577588400469
baseline,2,1,0.858876404908425
baseline,2,2,0.8599455757159382
baseline,3,0,0.8568223923863427
baseline,3,1,0.8589476114336405
baseline,3,2,0.8587460947067194
baseline,4,0,0.8502439989288496
baseline,4,1,0.8569285059492859
baseline,4,2,0.8563596046899623
baseline,5,0,0.85349370224418
baseline,5,1,0.8550320109036081
baseline,5,2,0.8529031842908945
baseline,6,0,0.8591938525324123
baseline,6,1,0.8661566031390223
baseline,6,2,0.8647166200067806
baseline,7,0,0.8612323504907115
baseline,7,1,0.8662595135955518
baseline,7,2,0.8663954581185167
baseline,8,0,0.8612034946413637
baseline,8,1,0.8652982112396113
baseline,8,2,0.8633512044775075
capacity,1,0,0.8519957577283965
capacity,1,1,0.8584770375893642
capacity,1,2,0.860117145881799
capacity,2,0,0.8582479015011744
capacity,2,1,0.8566526458942417
capacity,2,2,0.8576325215294597
capacity,3,0,0.8533656903001388
capacity,3,1,0.8592906685624543
capacity,3,2,0.8586618885074386
capacity,4,0,0.855178387183339
capacity,4,1,0.8535903170647748
capacity,4,2,0.8559917890858071
capacity,5,0,0.8513184152343721
capacity,5,1,0.8538332498545542
capacity,5,2,0.8571243926330848
capacity,6,0,0.8594720479172309
capacity,6,1,0.86412711199825
capacity,6,2,0.8619321710305196
capacity,7,0,0.8589223923658806
capacity,7,1,0.8651990442744921
capacity,7,2,0.8610565933992427
capacity,8,0,0.8580605522273905
capacity,8,1,0.8658922011215873
capacity,8,2,0.8641804702132752
