model_id,checkpoint_sha256_nm,checkpoint_step_nm,training_revision_nm,sources_nm,checkpoint_sha256_cls,checkpoint_step_cls,training_revision_cls,sources_cls
nmi_baseline_r1_s0,91354ee298059c84246d7908c85dad7779c2631657e315ecd0026bdc83b3e722,6000,6260524ef6a5833ea1628712e901904db5fb5b75,ukr_rus,91354ee298059c84246d7908c85dad7779c2631657e315ecd0026bdc83b3e722,6000,6260524ef6a5833ea1628712e901904db5fb5b75,ukr_rus
nmi_baseline_r2_s0,ef1cd5106731d5d37749baa6e838fcd7a5ae7d133566bd1f3d2c5fd07f0c43a6,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid",ef1cd5106731d5d37749baa6e838fcd7a5ae7d133566bd1f3d2c5fd07f0c43a6,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid"
nmi_baseline_r3_s0,0e2545d8c286c2f992108bf451b1f248ffeb9cd9e83bc790667e6a712e75fd05,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm",0e2545d8c286c2f992108bf451b1f248ffeb9cd9e83bc790667e6a712e75fd05,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm"
nmi_baseline_r4_s0,d454b97619d801365d1735e9afcfcaa8aa40ea56a9d72b1479c1b27c40051ec2,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political",d454b97619d801365d1735e9afcfcaa8aa40ea56a9d72b1479c1b27c40051ec2,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political"
nmi_baseline_r5_s0,8f880a0ddfbe9155907763996a921259d72897029c2eb4fcccb1a966851023fe,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020",8f880a0ddfbe9155907763996a921259d72897029c2eb4fcccb1a966851023fe,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020"
nmi_baseline_r6_s0,56109d60d907cd0162dfee6998f89ce7f0ca13ca302f3b6a3ffde9f2f5b74a7d,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",56109d60d907cd0162dfee6998f89ce7f0ca13ca302f3b6a3ffde9f2f5b74a7d,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended"
nmi_baseline_r7_s0,b8283a4aa837bddd1ffb4d5c10eb8db7015f8268eefd1136c5ac6457e173465a,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk",b8283a4aa837bddd1ffb4d5c10eb8db7015f8268eefd1136c5ac6457e173465a,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk"
nmi_baseline_r8_s0,eb4c9a91cb401b60ed9feea45c82adb8bca84094ce7afb27be81da8963cad2d7,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",eb4c9a91cb401b60ed9feea45c82adb8bca84094ce7afb27be81da8963cad2d7,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference"
nmi_composition_r1_s0,da16ae7403bac360e27c3c704a1d06d006cbb3641db99e58eed8bacfaee6344e,8000,6260524ef6a5833ea1628712e901904db5fb5b75,ukr_rus,da16ae7403bac360e27c3c704a1d06d006cbb3641db99e58eed8bacfaee6344e,8000,6260524ef6a5833ea1628712e901904db5fb5b75,ukr_rus
nmi_composition_r2_s0,815afc11024996fe4a424626b36a3c7f45b06764837211b95ff0b00d68334706,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid",815afc11024996fe4a424626b36a3c7f45b06764837211b95ff0b00d68334706,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid"
nmi_composition_r3_s0,5a6faba71b795cc253120db8c17f92e6d19e75a61337c940cba25fd171babd8e,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm",5a6faba71b795cc253120db8c17f92e6d19e75a61337c940cba25fd171babd8e,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm"
nmi_composition_r4_s0,cdba11bb90373bbbc658a171cdbf30ccb8ea601e2d085c980bdd6ccad7b1557d,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political",cdba11bb90373bbbc658a171cdbf30ccb8ea601e2d085c980bdd6ccad7b1557d,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political"
nmi_composition_r5_s0,4ab2d1ea3b1e4548f0de1fd68aab8610a5c4e6a6764f18dcfab4283e7cf7a884,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020",4ab2d1ea3b1e4548f0de1fd68aab8610a5c4e6a6764f18dcfab4283e7cf7a884,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020"
nmi_composition_r6_s0,0756425cc8b3fcde042d2890d897970653025f5929ae97367301b145c785a28c,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0756425cc8b3fcde042d2890d897970653025f5929ae97367301b145c785a28c,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended"
nmi_composition_r7_s0,7d6319d69d144686e918a6bfc2e1db56e86a18e87b21172b3c0288dc01443ef1,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk",7d6319d69d144686e918a6bfc2e1db56e86a18e87b21172b3c0288dc01443ef1,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk"
nmi_composition_r8_s0,3217c6f6df72bbcb5da1e09d25ea7782bae13f297b2a02695171a7d457d73402,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",3217c6f6df72bbcb5da1e09d25ea7782bae13f297b2a02695171a7d457d73402,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference"
nmi_exposure_r1_s0,936e3810b0c02e4c1b52514265431b4c71bcf2bae098cf27a8e3804520926104,10000,6260524ef6a5833ea1628712e901904db5fb5b75,ukr_rus,936e3810b0c02e4c1b52514265431b4c71bcf2bae098cf27a8e3804520926104,10000,6260524ef6a5833ea1628712e901904db5fb5b75,ukr_rus
nmi_exposure_r2_s0,c8d8078c12a41fa59cc00833b2e76b40e9509baa15bf625421715f85a1d1dc29,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid",c8d8078c12a41fa59cc00833b2e76b40e9509baa15bf625421715f85a1d1dc29,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid"
nmi_exposure_r3_s0,cd073db3e1dfc6e657685a70c23460c982ba7a840c1c7e05b248a1a8e1930fd9,6000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm",cd073db3e1dfc6e657685a70c23460c982ba7a840c1c7e05b248a1a8e1930fd9,6000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm"
nmi_exposure_r4_s0,842e8af6f344ecae69a3e1b5003495824d842b496a7b0860a5f5e0a229e2aa92,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political",842e8af6f344ecae69a3e1b5003495824d842b496a7b0860a5f5e0a229e2aa92,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political"
nmi_exposure_r5_s0,9f1144eb689847de4be05569898722a3439738d8d2cd9f477735f26e35896830,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020",9f1144eb689847de4be05569898722a3439738d8d2cd9f477735f26e35896830,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020"
nmi_exposure_r6_s0,77da73ef4c7f4a7a4a41c5728a5355dc3a93ed108be9d529df217d299f727e2c,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",77da73ef4c7f4a7a4a41c5728a5355dc3a93ed108be9d529df217d299f727e2c,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended"
nmi_exposure_r7_s0,590e3501baaddad2a14cb2dc0bd1655cec851ad11760ca070667caa44a106351,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk",590e3501baaddad2a14cb2dc0bd1655cec851ad11760ca070667caa44a106351,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk"
nmi_exposure_r8_s0,d6474e0619152a86b7957cd0646050b2dd538bf9f877837eafb2ef270e7fd62b,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",d6474e0619152a86b7957cd0646050b2dd538bf9f877837eafb2ef270e7fd62b,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference"
nmi_objective_r1_s0,d8d01eacf3c1a755f42f00256ccd9e812bb9046bda4bc4fde39217fc07aef959,10000,6260524ef6a5833ea1628712e901904db5fb5b75,ukr_rus,d8d01eacf3c1a755f42f00256ccd9e812bb9046bda4bc4fde39217fc07aef959,10000,6260524ef6a5833ea1628712e901904db5fb5b75,ukr_rus
nmi_objective_r2_s0,08a6ff2453c75304a2e838d4c555c720dca63942bf9f6f9ef01c6842ca89bf1c,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid",08a6ff2453c75304a2e838d4c555c720dca63942bf9f6f9ef01c6842ca89bf1c,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid"
