model,order,rung,training_seed,target,roc_auc,fingerprint
PRODIGY,A,3,1,ukr_rus_suspended,0.47821044921875,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,3,2,covid_political,0.926518192997685,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,3,2,election2020,0.98577880859375,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,3,2,facebook_page_reference,0.7493171691894531,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,3,2,twibot20,0.5636289384629991,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,3,2,ukr_rus_suspended,0.4910888671875,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,4,0,covid_political,0.929329483597367,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,4,0,election2020,0.982757568359375,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,4,0,facebook_page_reference,0.726165771484375,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,4,0,twibot20,0.5857145521375868,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,4,0,ukr_rus_suspended,0.4708251953125,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,4,1,covid_political,0.9134190877278646,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,4,1,election2020,0.98272705078125,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,4,1,facebook_page_reference,0.7450218200683594,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,4,1,twibot20,0.5858058929443359,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,4,1,ukr_rus_suspended,0.48828125,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,4,2,covid_political,0.9323577880859376,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,4,2,election2020,0.98260498046875,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,4,2,facebook_page_reference,0.7333450317382812,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,4,2,twibot20,0.6037582821316189,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,4,2,ukr_rus_suspended,0.5125732421875,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,5,0,covid_political,0.9361108850549767,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,5,0,election2020,0.99176025390625,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,5,0,facebook_page_reference,0.7251205444335938,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,5,0,twibot20,0.5957183837890625,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,5,0,ukr_rus_suspended,0.51611328125,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,5,1,covid_political,0.9207656295211228,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
