target,checkpoint_update,training_seeds,roc_auc_mean,roc_auc_sample_std,accuracy_mean,accuracy_sample_std
cora,20,3,0.9026227678571429,0.0024527985803665577,0.669921875,0.0033943987334254157
cora,60,3,0.8980768866429673,0.003424473685394281,0.6649925595238095,0.006326456031139278
cora,180,3,0.8946438474840167,0.0024031542995110087,0.6577070932539683,0.0025611842202781115
cora,500,3,0.8938668602568343,0.0033746004175418073,0.6572420634920635,0.0038598404021502517
covid_political,20,3,0.8235496238425926,0.023879561693923503,0.7440321180555557,0.022553527958044824
covid_political,60,3,0.7853732638888888,0.01927670989680676,0.7055121527777778,0.015935012301875034
covid_political,180,3,0.7618543836805555,0.018524859808515544,0.6840277777777777,0.013922756017660983
covid_political,500,3,0.7591688368055555,0.01611602109141849,0.6813151041666666,0.010257780766008289
election2020,20,3,0.9037362557870371,0.044118526426582746,0.8462456597222223,0.058875492099590115
election2020,60,3,0.8010706018518517,0.028672451064359238,0.7237413194444445,0.03249071907052486
election2020,180,3,0.7334255642361112,0.026109663176916008,0.6575520833333334,0.021434996918169767
election2020,500,3,0.716796875,0.019435241580131702,0.643337673611111,0.014316750171927633
facebook_admin_country_top30,20,3,0.7647223864377128,0.0043139120287027394,0.2262369791666667,0.0019200517674127175
facebook_admin_country_top30,60,3,0.7574088624813751,0.0028954009122092103,0.21703559027777777,0.0003611830941209409
facebook_admin_country_top30,180,3,0.7528466339566039,0.003918165246391322,0.21214554398148153,0.0026864472951564546
facebook_admin_country_top30,500,3,0.7520182187732812,0.003948892140088967,0.21171875000000004,0.0026383927085151956
facebook_page_category_top30,20,3,0.7394222358583441,0.004699542676053299,0.18873697916666668,0.003413470502322482
facebook_page_category_top30,60,3,0.7348952201235898,0.006858184910345148,0.18443287037037037,0.006006281658334585
facebook_page_category_top30,180,3,0.7308263967878618,0.006495387156020758,0.18225549768518515,0.004842684907332498
facebook_page_category_top30,500,3,0.7299791487900437,0.007314752102847447,0.18144531249999998,0.005864476624230666
facebook_verified,20,3,0.5344147858796297,0.003371727083089434,0.5194227430555556,0.004630336001161345
facebook_verified,60,3,0.5356083622685186,0.0046119706366882125,0.5192057291666666,0.008305566941518914
facebook_verified,180,3,0.5413682725694444,0.006502669634800858,0.5224609375,0.01035033404660463
facebook_verified,500,3,0.5438096788194445,0.00758632531332562,0.5236545138888888,0.010699356954496253
pubmed,20,3,0.8272825641396606,0.009487504947367153,0.666015625,0.010309872847412966
pubmed,60,3,0.8134840977044752,0.009404448506979935,0.650390625,0.009214788952066927
pubmed,180,3,0.7998257860725309,0.010675336054166751,0.6335358796296297,0.00858325824432649
pubmed,500,3,0.7970166618441358,0.011431823284800831,0.6302083333333334,0.008950343154210625
twibot20,20,3,0.6803114149305555,0.014306055284514303,0.6233723958333334,0.0072496931807682395
twibot20,60,3,0.6771104600694445,0.002228358591353445,0.599826388888889,0.007949198310500168
twibot20,180,3,0.6878707320601851,0.006054632403630642,0.6063368055555555,0.006057953494881888
twibot20,500,3,0.6983416521990741,0.005195129989987068,0.6214192708333334,0.00390625
ukr_rus_suspended,20,3,0.5095305266203703,0.003386969721819864,0.5099826388888888,0.0021179710607577484
ukr_rus_suspended,60,3,0.5121256510416666,0.0016653695180306963,0.5096571180555556,0.005272365717559228
ukr_rus_suspended,180,3,0.5156521267361112,0.004546703168196943,0.5104166666666666,0.004728463231228537
ukr_rus_suspended,500,3,0.5232837818287037,0.0029211771029914015,0.5119357638888888,0.007746666340538786
