checkpoint_step,order,rung,training_seeds,roc_auc_mean,roc_auc_min,roc_auc_max,roc_auc_sample_std,accuracy_mean,accuracy_min,accuracy_max,f1_mean,f1_min,f1_max
100,A,1,3,0.7260768138634974,0.716762064049224,0.730736613389644,0.008066810333437594,0.6758029513888889,0.6682291666666667,0.6802734375,0.6794495279076219,0.67083031024311,0.6870630783818058
100,A,3,3,0.7547527265630376,0.7485114028603361,0.7617299650626953,0.006639937847276433,0.7136935763888889,0.7020182291666666,0.7272135416666667,0.7202805603431347,0.7075582345064486,0.7353107338366758
100,A,5,3,0.7705756619737789,0.7665059380484254,0.7753256902717258,0.004449058085666059,0.7333550347222223,0.7295572916666666,0.7389322916666666,0.7415844123493444,0.7360820855507776,0.7496434161911123
100,A,7,3,0.7672544979537289,0.7632726112035723,0.7717746578953191,0.004276505934594542,0.7283203124999998,0.7249348958333333,0.7337890625,0.735425165050913,0.7304072410495491,0.739332690094507
100,A,9,3,0.7723188454836332,0.7679731332565136,0.7749287247829543,0.0037887861295664966,0.7357638888888888,0.7348958333333334,0.7361979166666666,0.7421021941102723,0.7351946736054118,0.7510392109841162
100,B,1,3,0.7269001881754704,0.7225750488438056,0.7345804382640322,0.006668951936107124,0.6807508680555555,0.6727864583333333,0.6850260416666666,0.6861044797709321,0.6827623690312922,0.6883524540802091
100,B,3,3,0.7596468183487398,0.7583988640516639,0.7609542585023998,0.0012787353616222298,0.7239366319444445,0.722265625,0.7271484375,0.731352791156865,0.7272693291311427,0.7371162238993464
100,B,5,3,0.778393252284875,0.7766265082203103,0.7810145263074515,0.002315457140636444,0.7378689236111112,0.73203125,0.7410807291666667,0.743892361967124,0.7381273741909841,0.7523504104512087
100,B,7,3,0.7727589616045321,0.7710976079228269,0.774429302652706,0.001665865547648778,0.7332248263888889,0.7264973958333333,0.7369791666666667,0.7411825782124626,0.7338375462314956,0.7494398186450334
100,B,9,3,0.7723188454836332,0.7679731332565136,0.7749287247829543,0.0037887861295664966,0.7357638888888888,0.7348958333333334,0.7361979166666666,0.7421021941102723,0.7351946736054118,0.7510392109841162
100,C,1,3,0.7524607172072738,0.7511227980168982,0.7539456900060006,0.0014171797233702116,0.7155815972222221,0.7129557291666666,0.7171875,0.7167369314888178,0.7145498648136952,0.7192327694799381
100,C,3,3,0.7616894222206595,0.7560210943734105,0.7662446278529899,0.005201868895025068,0.7265190972222223,0.7235026041666667,0.7282552083333333,0.7315305290833042,0.7284763951816557,0.7335137769203713
100,C,5,3,0.7641214015164111,0.763774283977206,0.7643088067254931,0.00030093132672436723,0.7233506944444444,0.7178385416666667,0.7267578125,0.7296662485209927,0.7189845313911061,0.7362544216801359
100,C,7,3,0.7700612899042839,0.767172642136315,0.7723810798000577,0.0026504066071722193,0.7266276041666667,0.7223307291666667,0.7311197916666667,0.7345932336903482,0.73095961948447,0.7401344491631605
100,C,9,3,0.7723188454836332,0.7679731332565136,0.7749287247829543,0.0037887861295664966,0.7357638888888888,0.7348958333333334,0.7361979166666666,0.7421021941102723,0.7351946736054118,0.7510392109841162
300,A,1,3,0.7567555134290519,0.7525867887569077,0.7631569525029004,0.005627686079016692,0.710525173611111,0.7059895833333333,0.7133463541666666,0.7145228623410441,0.7096890184254411,0.7169839635389847
300,A,3,3,0.7645087114988902,0.7618756670529622,0.7667015453907255,0.002442870121736765,0.7249348958333334,0.7190104166666667,0.7281901041666666,0.7284740025515756,0.7224487175931118,0.7351323729337262
300,A,5,3,0.7666584933608602,0.7634519495667316,0.7690975637539361,0.0029000002506351344,0.7175130208333332,0.7122395833333334,0.722265625,0.7225758846158795,0.7154543556243074,0.727498919609382
300,A,7,3,0.7651176155996811,0.7620475297170839,0.7693177329739773,0.003764530811178163,0.7181423611111111,0.7122395833333333,0.7263671875,0.7218380416427537,0.7155711051320097,0.7305951584483075
300,A,9,3,0.7689096664565467,0.7683666932907915,0.7693191561818049,0.0004900609771799518,0.7253038194444444,0.7196614583333333,0.7296223958333333,0.7293860278273697,0.7238184034977794,0.7339155658314233
300,B,1,3,0.7516448201188485,0.7430508162689271,0.7563551413138844,0.007454093469253101,0.7069227430555557,0.6978515625,0.7130208333333333,0.709574697543809,0.7014030200930244,0.7144793175441467
300,B,3,3,0.7558785813191969,0.7496556712147125,0.7597831408934664,0.005447244478562656,0.7088975694444445,0.7047526041666667,0.7126302083333333,0.7114989568081365,0.7085016564832202,0.7165539737760072
300,B,5,3,0.777085426454394,0.7754179358595792,0.7795327671653467,0.002165429246468545,0.7337022569444445,0.7303385416666667,0.7366536458333334,0.7360698816066815,0.734641644484061,0.7369598396304397
300,B,7,3,0.7687430020740869,0.7647239118915745,0.7745266420846468,0.005134063388904482,0.7163628472222223,0.7139322916666667,0.7199869791666667,0.7202127597520124,0.7167277393956711,0.7246842327636551
300,B,9,3,0.7689096664565467,0.7683666932907915,0.7693191561818049,0.0004900609771799518,0.7253038194444444,0.7196614583333333,0.7296223958333333,0.7293860278273697,0.7238184034977794,0.7339155658314233
300,C,1,3,0.7637089440196658,0.7601137504891873,0.7671028302621548,0.0034988858921625437,0.7267144097222222,0.7228515625,0.7294270833333333,0.7301270886985737,0.7277630819629175,0.7317024673798685
300,C,3,3,0.7718199068373721,0.7676499927847329,0.7741033728047588,0.00361670336141653,0.7312065972222221,0.7237630208333333,0.7369140625,0.735555105166406,0.7281792768638319,0.7417490165004296
300,C,5,3,0.7634459670750728,0.7611247654623358,0.7657176715172682,0.0022968530612073527,0.7182291666666667,0.7151692708333334,0.7223958333333333,0.7219419456750193,0.716820758423989,0.7262439404491527
300,C,7,3,0.7723697913984081,0.7699452089834923,0.7744389348177485,0.002267850442169264,0.7239149305555556,0.721875,0.7268880208333333,0.726658494433755,0.7217310027428872,0.7302233447344922
300,C,9,3,0.7689096664565467,0.7683666932907915,0.7693191561818049,0.0004900609771799518,0.7253038194444444,0.7196614583333333,0.7296223958333333,0.7293860278273697,0.7238184034977794,0.7339155658314233
900,A,1,3,0.7598581761501203,0.7576492277317074,0.7637788327830561,0.0034044784152831875,0.7142795138888888,0.70625,0.7216145833333333,0.7198656687357085,0.7131910895605452,0.7270107976829946
900,A,3,3,0.7722053746932804,0.769594417551591,0.7760009894119411,0.003363569670969214,0.7265407986111111,0.7223958333333333,0.7337239583333333,0.7321198924629756,0.7264875299973504,0.7429236616150012
900,A,5,3,0.7600452518991183,0.7576360348403135,0.7632353845682444,0.002880199860557037,0.7063802083333334,0.7024088541666667,0.7123046875,0.7086891690575516,0.7048122254734573,0.7147947538241927
900,A,7,3,0.7615231434355111,0.75746845471134,0.7673208829645743,0.005152305814158276,0.7093098958333334,0.7031901041666667,0.7210286458333333,0.7142246948430252,0.7080256997711185,0.725799347377093
900,A,9,3,0.7630734007044553,0.7576261532882576,0.7659701219038153,0.004720629306717013,0.7174913194444444,0.7078125,0.7224609375,0.7208774256475267,0.7094132532546721,0.7266884189188308
900,B,1,3,0.7641919500469196,0.7624752867498279,0.7667802445564366,0.0022810022264403104,0.7160156249999999,0.71015625,0.719140625,0.7179813701419723,0.7146147965984632,0.722855222225941
900,B,3,3,0.7569365090831844,0.7557504621521864,0.7589239572080583,0.0017318922087041526,0.7080729166666666,0.7056640625,0.7093098958333333,0.7109458561809726,0.7081585998266566,0.7141464578191464
900,B,5,3,0.7685876977659861,0.7659429107700031,0.7703349862107638,0.0023295298681054208,0.7206814236111111,0.7146484375,0.7270182291666667,0.7225323157649566,0.7151952909025503,0.7286176014772813
900,B,7,3,0.7648892930411112,0.7619416415281404,0.7686512162348796,0.0034281010725969834,0.7148220486111111,0.7110677083333333,0.7175130208333333,0.7188944472859239,0.7144905517887705,0.7215571890911994
900,B,9,3,0.7630734007044553,0.7576261532882576,0.7659701219038153,0.004720629306717013,0.7174913194444444,0.7078125,0.7224609375,0.7208774256475267,0.7094132532546721,0.7266884189188308
900,C,1,3,0.7694817003635,0.7679165317278308,0.7707992268306081,0.0014572157515726008,0.7265842013888889,0.723046875,0.7306640625,0.7313432607421076,0.7290875913674364,0.733688814907228
900,C,3,3,0.7755139982430599,0.7731687605875246,0.7770567743164342,0.0020644905260573648,0.7360243055555555,0.7339192708333333,0.7388671875,0.7401333050227686,0.7375155904214705,0.7421304873053094
900,C,5,3,0.767202192283236,0.7654051446527064,0.7697062951771829,0.002236049936315278,0.7200303819444445,0.7170572916666667,0.7224609375,0.7231868433656806,0.7213119414130011,0.7255989587352589
900,C,7,3,0.7705714357452479,0.767285065422393,0.7751045471490915,0.004056087537370351,0.7204427083333332,0.7173828125,0.7229817708333333,0.7249929705144886,0.7181362470142919,0.7291413501054319
900,C,9,3,0.7630734007044553,0.7576261532882576,0.7659701219038153,0.004720629306717013,0.7174913194444444,0.7078125,0.7224609375,0.7208774256475267,0.7094132532546721,0.7266884189188308
2500,A,1,3,0.7615875625786656,0.7589956560210853,0.7659954379369283,0.003836996707208621,0.7153211805555556,0.7083984375,0.71953125,0.720124156705066,0.7136784784366141,0.7244611282798874
2500,A,3,3,0.7721897153833024,0.7697064946702004,0.7747880101803482,0.0025427114471690973,0.7252604166666666,0.721875,0.7315755208333333,0.7300699656678381,0.7250714656937467,0.7388225603384042
2500,A,5,3,0.7524923738121251,0.7502070799745828,0.7546979062738645,0.002246475377203711,0.7003906249999999,0.698046875,0.7038411458333333,0.7038787699353989,0.7001282819860404,0.7099210015665217
2500,A,7,3,0.7580946139279708,0.754814424009971,0.7622666306393644,0.003805307107692498,0.7075520833333333,0.70546875,0.7115885416666666,0.7127049495806572,0.7107532576713887,0.7154010806736606
2500,A,9,3,0.7620165278909884,0.7581178301508468,0.7657562905591,0.0038217096462125123,0.7152994791666666,0.7100911458333333,0.7211588541666666,0.7178925881854016,0.7131053162744639,0.7245310778191942
2500,B,1,3,0.764653089485099,0.7643771368796818,0.7651861918153082,0.00046177587413787297,0.7168619791666666,0.7151041666666667,0.7177734375,0.7193006119167836,0.7137178556702526,0.7222734020503869
2500,B,3,3,0.758012106266742,0.7569806972601458,0.7595037205982885,0.0013229714271433442,0.7119791666666666,0.710546875,0.7140625,0.7145336690330591,0.7123149289156644,0.7178548207041275
2500,B,5,3,0.767682109200455,0.765889412065031,0.7691355477181059,0.0016494458090040346,0.7204644097222221,0.71484375,0.7244791666666666,0.7230537807736307,0.7170686802191358,0.7268652657324786
2500,B,7,3,0.7582245429683141,0.7527757326735954,0.7618775570304781,0.004809310214316481,0.7040364583333333,0.701953125,0.7081380208333333,0.7084697627758209,0.7053003502737573,0.7143919586362302
2500,B,9,3,0.7620165278909884,0.7581178301508468,0.7657562905591,0.0038217096462125123,0.7152994791666666,0.7100911458333333,0.7211588541666666,0.7178925881854016,0.7131053162744639,0.7245310778191942
2500,C,1,3,0.7686329778170302,0.766064125801304,0.7708184248496952,0.0024002269468032878,0.7282986111111112,0.7222005208333334,0.7341145833333333,0.7325333773955868,0.7265963712558648,0.7375809870134291
2500,C,3,3,0.7770500633613717,0.7742666315287655,0.7797898230135119,0.002761854718989355,0.7353515625,0.731640625,0.7388020833333333,0.7388030036738824,0.7351382298165579,0.742295826238784
2500,C,5,3,0.7640465254068434,0.7608128987520693,0.7675261141337809,0.0033633596590343447,0.7134548611111112,0.708203125,0.723828125,0.7177256213776829,0.7124640103442141,0.7276736610350264
2500,C,7,3,0.7688491966584196,0.7655070336579376,0.7738515207002186,0.004413016769969159,0.7239366319444445,0.7212890625,0.7276041666666667,0.7279302396439019,0.7250854568077001,0.7318543520761975
2500,C,9,3,0.7620165278909884,0.7581178301508468,0.7657562905591,0.0038217096462125123,0.7152994791666666,0.7100911458333333,0.7211588541666666,0.7178925881854016,0.7131053162744639,0.7245310778191942
