source,target,roc_auc,accuracy,macro_f1,checkpoint_step,training_seed,episodes,episode_fingerprint,tucker_result
covid,covid_political,0.8817543515346763,0.818359375,0.8143712574850299,900,0,128,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,ss_covid_s0.jsonl
covid,ukr_rus_suspended,0.509307861328125,0.50390625,0.5313653136531366,900,0,128,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,ss_covid_s0.jsonl
covid,election2020,0.96954345703125,0.921875,0.9212598425196851,900,0,128,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,ss_covid_s0.jsonl
covid,twibot20,0.5788885752360026,0.5579427083333334,0.5590909090909091,900,0,128,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,ss_covid_s0.jsonl
covid,facebook_page_reference,0.8759536743164062,0.7900390625,0.7898338220918866,900,0,128,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,ss_covid_s0.jsonl
cp_hk,covid_political,0.884433068605062,0.8277994791666666,0.8219454729047458,900,0,128,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,ss_cp_hk_s0.jsonl
cp_hk,ukr_rus_suspended,0.498779296875,0.50390625,0.5171102661596958,900,0,128,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,ss_cp_hk_s0.jsonl
cp_hk,election2020,0.947998046875,0.8984375,0.8968253968253969,900,0,128,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,ss_cp_hk_s0.jsonl
cp_hk,twibot20,0.5793660481770833,0.560546875,0.5547493403693932,900,0,128,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,ss_cp_hk_s0.jsonl
cp_hk,facebook_page_reference,0.8651866912841797,0.7685546875,0.7687804878048781,900,0,128,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,ss_cp_hk_s0.jsonl
midterm,covid_political,0.9156832809993747,0.8600260416666666,0.8552188552188552,900,0,128,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,ss_midterm_s0.jsonl
midterm,ukr_rus_suspended,0.521240234375,0.5390625,0.5426356589147286,900,0,128,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,ss_midterm_s0.jsonl
midterm,election2020,0.9638671875,0.9140625,0.9133858267716536,900,0,128,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,ss_midterm_s0.jsonl
midterm,twibot20,0.5760239495171442,0.5524088541666666,0.5460548035655332,900,0,128,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,ss_midterm_s0.jsonl
midterm,facebook_page_reference,0.8787994384765625,0.787109375,0.7907869481765835,900,0,128,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,ss_midterm_s0.jsonl
