source,target,roc_auc,training_seeds,model,kind,checkpoint_step
twibot20,election2020,0.8399578246577032,3,PRODIGY,single source,2500
twibot20,facebook_page_reference,0.8076398403708506,3,PRODIGY,single source,2500
twibot20,twibot20,0.9136178639199999,3,PRODIGY,single source,2500
twibot20,ukr_rus_suspended,0.7983559023831539,3,PRODIGY,single source,2500
ukr_rus,covid_political,0.8332595190782657,3,PRODIGY,single source,2500
ukr_rus,election2020,0.8329812252201797,3,PRODIGY,single source,2500
ukr_rus,facebook_page_reference,0.865969851464604,3,PRODIGY,single source,2500
ukr_rus,twibot20,0.8969114708261015,3,PRODIGY,single source,2500
ukr_rus,ukr_rus_suspended,0.8311000222904014,3,PRODIGY,single source,2500
ukr_rus_suspended,covid_political,0.7527419395373699,3,PRODIGY,single source,2500
ukr_rus_suspended,election2020,0.7567333396367185,3,PRODIGY,single source,2500
ukr_rus_suspended,facebook_page_reference,0.7606395426837876,3,PRODIGY,single source,2500
ukr_rus_suspended,twibot20,0.7478085034195033,3,PRODIGY,single source,2500
ukr_rus_suspended,ukr_rus_suspended,0.9237125739740684,3,PRODIGY,single source,2500
all9,covid_political,0.9268093344606,3,PRODIGY,all-nine mixture,2500
all9,election2020,0.9915771484375,3,PRODIGY,all-nine mixture,2500
all9,facebook_page_reference,0.7801094055175781,3,PRODIGY,all-nine mixture,2500
all9,twibot20,0.6229678259955512,3,PRODIGY,all-nine mixture,2500
all9,ukr_rus_suspended,0.48443603515625,3,PRODIGY,all-nine mixture,2500
ukr_rus,covid_political,0.877921696163989,1,VISION,single source,900
ukr_rus,election2020,0.96099853515625,1,VISION,single source,900
ukr_rus,facebook_page_reference,0.87530517578125,1,VISION,single source,900
ukr_rus,twibot20,0.5829766591389973,1,VISION,single source,900
ukr_rus,ukr_rus_suspended,0.4935302734375,1,VISION,single source,900
covid_political,covid_political,0.8307075024467825,1,VISION,single source,900
covid_political,election2020,0.9442138671875,1,VISION,single source,900
covid_political,facebook_page_reference,0.9020118713378906,1,VISION,single source,900
covid_political,twibot20,0.5717892116970487,1,VISION,single source,900
covid_political,ukr_rus_suspended,0.55487060546875,1,VISION,single source,900
election2020,covid_political,0.8609301511567844,1,VISION,single source,900
election2020,election2020,0.92681884765625,1,VISION,single source,900
election2020,facebook_page_reference,0.844818115234375,1,VISION,single source,900
election2020,twibot20,0.5550833808051215,1,VISION,single source,900
election2020,ukr_rus_suspended,0.537841796875,1,VISION,single source,900
facebook_page_reference,covid_political,0.8527589171628198,1,VISION,single source,900
facebook_page_reference,election2020,0.947509765625,1,VISION,single source,900
facebook_page_reference,facebook_page_reference,0.89727783203125,1,VISION,single source,900
facebook_page_reference,twibot20,0.5934160020616319,1,VISION,single source,900
facebook_page_reference,ukr_rus_suspended,0.5384521484375,1,VISION,single source,900
twibot20,covid_political,0.8833436981757877,1,VISION,single source,900
twibot20,election2020,0.9847412109375,1,VISION,single source,900
twibot20,facebook_page_reference,0.8588027954101562,1,VISION,single source,900
twibot20,twibot20,0.5931593577067057,1,VISION,single source,900
twibot20,ukr_rus_suspended,0.5269775390625,1,VISION,single source,900
ukr_rus_suspended,covid_political,0.9100769207242476,1,VISION,single source,900
ukr_rus_suspended,election2020,0.93670654296875,1,VISION,single source,900
ukr_rus_suspended,facebook_page_reference,0.8131637573242188,1,VISION,single source,900
ukr_rus_suspended,twibot20,0.6043474409315321,1,VISION,single source,900
ukr_rus_suspended,ukr_rus_suspended,0.51470947265625,1,VISION,single source,900
all9,covid_political,0.8485294384181098,3,VISION,all-nine mixture,900
all9,election2020,0.9596150716145834,3,VISION,all-nine mixture,900
all9,facebook_page_reference,0.8828411102294922,3,VISION,all-nine mixture,900
all9,twibot20,0.5848509470621744,3,VISION,all-nine mixture,900
all9,ukr_rus_suspended,0.5395304361979166,3,VISION,all-nine mixture,900
covid19_twitter,covid_political,0.7273943865740741,3,SAMGPT,single source,500
covid19_twitter,election2020,0.6469184027777778,3,SAMGPT,single source,500
covid19_twitter,ukr_rus_suspended,0.5188982928240741,3,SAMGPT,single source,500
covid19_twitter,twibot20,0.6902578848379629,3,SAMGPT,single source,500
covid19_twitter,facebook_page_reference,0.7257520030132504,3,SAMGPT,single source,500
covid_political,covid_political,0.7474320023148149,3,SAMGPT,single source,500
covid_political,election2020,0.6640534577546297,3,SAMGPT,single source,500
covid_political,ukr_rus_suspended,0.5205530237268517,3,SAMGPT,single source,500
covid_political,twibot20,0.6922743055555555,3,SAMGPT,single source,500
covid_political,facebook_page_reference,0.7236529029141391,3,SAMGPT,single source,500
cp_hk_twitter,covid_political,0.7324490017361112,3,SAMGPT,single source,500
cp_hk_twitter,election2020,0.6627332899305555,3,SAMGPT,single source,500
cp_hk_twitter,ukr_rus_suspended,0.5191243489583334,3,SAMGPT,single source,500
cp_hk_twitter,twibot20,0.6961172598379629,3,SAMGPT,single source,500
cp_hk_twitter,facebook_page_reference,0.7282662980756438,3,SAMGPT,single source,500
election2020,covid_political,0.7361020688657408,3,SAMGPT,single source,500
election2020,election2020,0.6571180555555555,3,SAMGPT,single source,500
election2020,ukr_rus_suspended,0.5156702112268517,3,SAMGPT,single source,500
election2020,twibot20,0.6770562065972223,3,SAMGPT,single source,500
election2020,facebook_page_reference,0.7267861864423691,3,SAMGPT,single source,500
facebook_page_reference,covid_political,0.8169307002314815,3,SAMGPT,single source,500
facebook_page_reference,election2020,0.7835015190972223,3,SAMGPT,single source,500
facebook_page_reference,ukr_rus_suspended,0.5273527922453703,3,SAMGPT,single source,500
facebook_page_reference,twibot20,0.6711606626157408,3,SAMGPT,single source,500
facebook_page_reference,facebook_page_reference,0.7193306472667892,3,SAMGPT,single source,500
midterm,covid_political,0.7222764756944445,3,SAMGPT,single source,500
midterm,election2020,0.6219256365740741,3,SAMGPT,single source,500
midterm,ukr_rus_suspended,0.5218189380787037,3,SAMGPT,single source,500
midterm,twibot20,0.7062807436342592,3,SAMGPT,single source,500
midterm,facebook_page_reference,0.7287734329269103,3,SAMGPT,single source,500
twibot20,covid_political,0.736355251736111,3,SAMGPT,single source,500
twibot20,election2020,0.6500470196759259,3,SAMGPT,single source,500
twibot20,ukr_rus_suspended,0.5199200665509259,3,SAMGPT,single source,500
twibot20,twibot20,0.6917136863425926,3,SAMGPT,single source,500
twibot20,facebook_page_reference,0.7301548177914805,3,SAMGPT,single source,500
