model,rung,roc_auc,targets_averaged,orders_averaged
PRODIGY,1,0.7375531561580705,5,3
PRODIGY,2,0.7431458838192033,5,3
PRODIGY,3,0.7510261268772707,5,3
PRODIGY,4,0.7547415682317788,5,3
PRODIGY,5,0.7554093506110549,5,3
PRODIGY,6,0.7537422729617773,5,3
PRODIGY,7,0.759130853095663,5,3
PRODIGY,8,0.7558521412037037,5,3
PRODIGY,9,0.7611799499134959,5,3
SAMGPT,1,0.6758211619860401,5,3
SAMGPT,2,0.6734003187027724,5,3
SAMGPT,3,0.6692860998308234,5,3
SAMGPT,4,0.6719021821675003,5,3
SAMGPT,5,0.6684778187138587,5,3
SAMGPT,6,0.6772791440229442,5,3
SAMGPT,7,0.6751163179200812,5,3
SAMGPT,8,0.676301265720342,5,3
SAMGPT,9,0.685514075554092,5,3
VISION,1,0.7650000908953629,5,3
VISION,3,0.7678256155990848,5,3
VISION,5,0.7606763370424969,5,3
VISION,7,0.7614707206508495,5,3
VISION,9,0.7581178301508468,5,3
