source,target,roc_auc,sample_std,seeds,model,objective,checkpoint_step,protocol
election2020,twibot20,0.5477169896051967,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe
election2020,ukr_rus_suspended,0.4950506407426224,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe
twibot20,covid_political,0.9257456143507128,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe
twibot20,election2020,0.9828719913566252,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe
twibot20,twibot20,0.5375475236106281,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe
twibot20,ukr_rus_suspended,0.5008341941072574,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe
ukr_rus_suspended,covid_political,0.9032284672848268,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe
ukr_rus_suspended,election2020,0.9739267452574244,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe
ukr_rus_suspended,twibot20,0.5366173561906702,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe
ukr_rus_suspended,ukr_rus_suspended,0.5112948218336391,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe
