checkpoint_step,order,rung,dataset,training_seed,roc_auc,accuracy,f1
100,A,1,covid_political,0,0.8218829435472907,0.7561848958333334,0.7487420328748742
100,A,1,covid_political,1,0.8364863269037327,0.7666015625,0.7639117550214027
100,A,1,covid_political,2,0.8100604389255907,0.7389322916666666,0.7346128391793514
100,A,1,election2020,0,0.89105224609375,0.82421875,0.8221343873517787
100,A,1,election2020,1,0.8861083984375,0.80859375,0.8108108108108109
100,A,1,election2020,2,0.86553955078125,0.77734375,0.7816091954022989
100,A,1,facebook_page_reference,0,0.8138198852539062,0.73828125,0.7408123791102514
100,A,1,facebook_page_reference,1,0.8101463317871094,0.7373046875,0.7405978784956606
100,A,1,facebook_page_reference,2,0.7952728271484375,0.720703125,0.7196078431372549
100,A,1,twibot20,0,0.5869257185194228,0.5592447916666666,0.5598179453836151
100,A,1,twibot20,1,0.5808419121636285,0.5546875,0.5632183908045977
100,A,1,twibot20,2,0.583518558078342,0.5611979166666666,0.5631885936487362
100,A,1,ukr_rus_suspended,0,0.53997802734375,0.5234375,0.5307692307692308
100,A,1,ukr_rus_suspended,1,0.54010009765625,0.52734375,0.5567765567765568
100,A,1,ukr_rus_suspended,2,0.5294189453125,0.54296875,0.5551330798479087
100,A,3,covid_political,0,0.8848841941250035,0.8317057291666666,0.8270324523251924
100,A,3,covid_political,1,0.9011956525432944,0.8411458333333334,0.835023664638269
100,A,3,covid_political,2,0.8822904347796536,0.8271484375,0.8234120385766545
100,A,3,election2020,0,0.96221923828125,0.90234375,0.9034749034749034
100,A,3,election2020,1,0.96435546875,0.92578125,0.9266409266409267
100,A,3,election2020,2,0.95672607421875,0.90625,0.90625
100,A,3,facebook_page_reference,0,0.8147163391113281,0.7333984375,0.738255033557047
100,A,3,facebook_page_reference,1,0.8121623992919922,0.7490234375,0.7526467757459095
100,A,3,facebook_page_reference,2,0.7933082580566406,0.720703125,0.7239382239382239
100,A,3,twibot20,0,0.5829346974690756,0.5543619791666666,0.5596654872949501
100,A,3,twibot20,1,0.5855871836344401,0.5576171875,0.56512
100,A,3,twibot20,2,0.5911282433403863,0.5699869791666666,0.5753776920604308
100,A,3,ukr_rus_suspended,0,0.52532958984375,0.48828125,0.5093632958801498
100,A,3,ukr_rus_suspended,1,0.54534912109375,0.5625,0.5971223021582733
