model,order,rung,training_seeds,roc_auc_mean,roc_auc_min,roc_auc_max,roc_auc_sample_std
PRODIGY,A,1,3,0.7630904633321879,0.756077731097186,0.7677897417986834,0.00618925277576058
PRODIGY,A,2,3,0.7555045940257884,0.75316241229022,0.7579405184145327,0.002390432031572301
PRODIGY,A,3,3,0.743641507184064,0.7393483338532625,0.7483097924126519,0.0044924900200011145
PRODIGY,A,4,3,0.7449791331350069,0.7389585141782408,0.7529278649224176,0.00718149736261397
PRODIGY,A,5,3,0.7528326199378497,0.7478978898790147,0.7576353002477576,0.004870048051556448
PRODIGY,A,6,3,0.7520589710753641,0.7450495543303314,0.762892970332393,0.009516693081052727
PRODIGY,A,7,3,0.7608558278024932,0.7580819730405455,0.765400724057798,0.0039678041901696735
PRODIGY,A,8,3,0.7522406919502918,0.7471702010543259,0.7583834188955801,0.005682986116290967
PRODIGY,A,9,3,0.7611799499134958,0.7584962632921007,0.7648484265362775,0.0032885943775860615
PRODIGY,B,1,3,0.6869036921748409,0.676688469780816,0.6947389532018591,0.009257599581677305
PRODIGY,B,2,3,0.7168460610472126,0.7044303611472801,0.730009827790437,0.012806130619301762
PRODIGY,B,3,3,0.7489700364477839,0.7437494913736978,0.7521993283872251,0.00456330507126903
PRODIGY,B,4,3,0.7642012937569325,0.7610442126238788,0.7665282355414498,0.002834691401828863
PRODIGY,B,5,3,0.7539809003288364,0.7513239260073061,0.7588324370207611,0.00420791069391419
PRODIGY,B,6,3,0.7554968374746817,0.7459998660617405,0.7641818011248553,0.009118125252206602
PRODIGY,B,7,3,0.7608618795135875,0.7526595362910518,0.7696344728823061,0.00850182374500865
PRODIGY,B,8,3,0.7625786816632306,0.7538185826054326,0.7723957061767578,0.009333552303935452
PRODIGY,B,9,3,0.7611799499134958,0.7584962632921007,0.7648484265362775,0.0032885943775860615
PRODIGY,C,1,3,0.7626653129671827,0.7601290526213469,0.7643244708025897,0.002231000905249926
PRODIGY,C,2,3,0.7570869963846089,0.7542408130787037,0.762076978330259,0.004335697858274945
PRODIGY,C,3,3,0.7604668369999638,0.7523698029694734,0.7673055578161169,0.007546966762798801
PRODIGY,C,4,3,0.7550442778033974,0.7447748961272064,0.7686460706922743,0.012279534484124851
PRODIGY,C,5,3,0.7594145315664785,0.75437582510489,0.7685594064218026,0.007933407773564459
PRODIGY,C,6,3,0.7536710103352865,0.7481569784658927,0.7572479954472294,0.004845179051815501
PRODIGY,C,7,3,0.7556748519709081,0.7437551427770545,0.7652619114628545,0.010941490565731155
PRODIGY,C,8,3,0.7527370499975886,0.7507542504204643,0.7557314554850261,0.002638304844404834
PRODIGY,C,9,3,0.7611799499134958,0.7584962632921007,0.7648484265362775,0.0032885943775860615
SAMGPT,A,1,3,0.6635840384206045,0.6529682822976532,0.6703303849377396,0.009305369420093437
SAMGPT,A,2,3,0.6607333655944019,0.6586344712843231,0.663235539890645,0.0023268936676287292
SAMGPT,A,3,3,0.6626953457588335,0.6620403296615581,0.6635228276161398,0.0007561470591901833
SAMGPT,A,4,3,0.6559710186681832,0.6472769059806034,0.6700981488964719,0.012342631070987535
SAMGPT,A,5,3,0.6562189154626968,0.6499086109614464,0.6677692281788794,0.010017169081947845
SAMGPT,A,6,3,0.6745844599763197,0.6629478156429597,0.6851599729106801,0.011144033493575968
SAMGPT,A,7,3,0.674634071762585,0.6674246375618614,0.6861366601313058,0.0100676872563907
SAMGPT,A,8,3,0.6774834038420604,0.6659366144835568,0.6839396813637453,0.010023102680494172
SAMGPT,A,9,3,0.6855140755540922,0.6771027211546137,0.6924427906489463,0.0077767665197980215
SAMGPT,B,1,3,0.6982412791181088,0.6927167207954182,0.7022839714040549,0.004952778640849679
SAMGPT,B,2,3,0.6944850160640167,0.6871630485213123,0.7073107801025703,0.01114457733018161
SAMGPT,B,3,3,0.6851677617137611,0.6792430518139367,0.6893969071779215,0.005285016438460425
SAMGPT,B,4,3,0.7017666780578171,0.6868101577466476,0.7103383857658845,0.012998798114204756
SAMGPT,B,5,3,0.6931149038653416,0.6808642702845625,0.7103862909582535,0.01538809281674162
SAMGPT,B,6,3,0.6893967450411079,0.6804913306693008,0.6966462499002235,0.0082037723685556
SAMGPT,B,7,3,0.6867311202074021,0.6815550915948276,0.6935781536857439,0.006183259533334418
SAMGPT,B,8,3,0.6817258611543475,0.6708183294420498,0.6885416292504789,0.009543884751127425
SAMGPT,B,9,3,0.6855140755540922,0.6771027211546137,0.6924427906489463,0.0077767665197980215
SAMGPT,C,1,3,0.6656381684194073,0.6569221319244891,0.6715886913314176,0.007714469537315958
SAMGPT,C,2,3,0.6649825744498988,0.6614034812021072,0.6667914621248403,0.0030996460174585027
SAMGPT,C,3,3,0.6599951920198756,0.6580562477550288,0.6636821769236909,0.003194448983677
SAMGPT,C,4,3,0.6579688497765007,0.649991631246009,0.6716118831317848,0.01187160124510278
SAMGPT,C,5,3,0.6560996368135377,0.6483747281090357,0.6643275500379151,0.00798829719238681
SAMGPT,C,6,3,0.6678562270514048,0.6577185230084611,0.6797761140046296,0.011136267870468787
SAMGPT,C,7,3,0.6639837617902565,0.6589545231182152,0.6714418327945403,0.006588447890946681
SAMGPT,C,8,3,0.6696945321646179,0.6632688777139208,0.6737595224197797,0.00562964991533247
SAMGPT,C,9,3,0.6855140755540922,0.6771027211546137,0.6924427906489463,0.0077767665197980215
VISION,A,1,3,0.7615875625786656,0.7589956560210853,0.7659954379369283,0.003836996707208621
VISION,A,3,3,0.7721897153833024,0.7697064946702004,0.774788010180348,0.002542711447169026
VISION,A,5,3,0.7524923738121251,0.7502070799745828,0.7546979062738645,0.002246475377203711
VISION,A,7,3,0.7580946139279708,0.754814424009971,0.7622666306393644,0.003805307107692498
VISION,A,9,3,0.7620165278909884,0.7581178301508468,0.7657562905591,0.0038217096462125123
VISION,B,1,3,0.7646530894850989,0.7643771368796818,0.7651861918153081,0.00046177587413784863
VISION,B,3,3,0.758012106266742,0.7569806972601458,0.7595037205982885,0.0013229714271433442
VISION,B,5,3,0.767682109200455,0.765889412065031,0.7691355477181059,0.0016494458090040346
VISION,B,7,3,0.7582245429683141,0.7527757326735954,0.7618775570304781,0.004809310214316481
VISION,B,9,3,0.7620165278909884,0.7581178301508468,0.7657562905591,0.0038217096462125123
VISION,C,1,3,0.7686329778170302,0.766064125801304,0.7708184248496952,0.0024002269468032878
VISION,C,3,3,0.7770500633613717,0.7742666315287655,0.7797898230135119,0.002761854718989355
VISION,C,5,3,0.7640465254068434,0.7608128987520693,0.7675261141337809,0.0033633596590343447
VISION,C,7,3,0.7688491966584196,0.7655070336579376,0.7738515207002186,0.004413016769969159
VISION,C,9,3,0.7620165278909884,0.7581178301508468,0.7657562905591,0.0038217096462125123
