target,checkpoint_step,seeds,roc_auc_mean
covid_political,0,3,0.8953975773427754
election2020,0,3,0.9695055013918993
ukr_rus_suspended,0,3,0.591409104313886
twibot20,0,3,0.7083792107078756
facebook_page_reference,0,3,0.8972145846165281
