architecture,checkpoint_step,compute_regime,contrastive_loss,cross_entropy,episode_fingerprint,episodes,eval_episode_seed,model_id,native_pretext,native_ssl_loss,pseudo_classification_accuracy,queries,source,target,task,training_seed
vision,20,fixed_compute_900_trajectory,4.350062768906355,2.812623655423522,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_covid_political,feature_similarity_pseudo_episodes,4.987655021250248,0.21230469993315637,15360,covid_political,covid_political,native_feature_similarity_ssl,0
vision,60,fixed_compute_900_trajectory,4.296364549547434,2.464941307902336,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_covid_political,feature_similarity_pseudo_episodes,4.6131235882639885,0.26627605594694614,15360,covid_political,covid_political,native_feature_similarity_ssl,0
vision,100,fixed_compute_900_trajectory,4.266935341060162,2.3325389474630356,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_covid_political,feature_similarity_pseudo_episodes,4.466006603091955,0.29388022469356656,15360,covid_political,covid_political,native_feature_similarity_ssl,0
vision,300,fixed_compute_900_trajectory,4.206693399697542,2.1205580653622746,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_covid_political,feature_similarity_pseudo_episodes,4.22390478849411,0.34322918648831546,15360,covid_political,covid_political,native_feature_similarity_ssl,0
vision,900,fixed_compute_900_trajectory,4.173789732158184,2.022229576483369,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_covid_political,feature_similarity_pseudo_episodes,4.109124444425106,0.3677083521615714,15360,covid_political,covid_political,native_feature_similarity_ssl,0
vision,20,fixed_compute_900_trajectory,4.401642732322216,2.9700778368860483,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_election2020,feature_similarity_pseudo_episodes,5.170899197459221,0.1578125093365088,15360,election2020,covid_political,native_feature_similarity_ssl,0
vision,60,fixed_compute_900_trajectory,4.300263866782188,2.808343768119812,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_election2020,feature_similarity_pseudo_episodes,4.958475720137358,0.17174480139510706,15360,election2020,covid_political,native_feature_similarity_ssl,0
vision,100,fixed_compute_900_trajectory,4.2862252332270145,2.765256153419614,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_election2020,feature_similarity_pseudo_episodes,4.90836875140667,0.1915364689193666,15360,election2020,covid_political,native_feature_similarity_ssl,0
vision,300,fixed_compute_900_trajectory,4.250529855489731,2.6027639750391245,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_election2020,feature_similarity_pseudo_episodes,4.7280288971960545,0.22376303269993514,15360,election2020,covid_political,native_feature_similarity_ssl,0
vision,900,fixed_compute_900_trajectory,4.237436875700951,2.4979228004813194,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_election2020,feature_similarity_pseudo_episodes,4.616641215980053,0.24915365886408836,15360,election2020,covid_political,native_feature_similarity_ssl,0
vision,20,fixed_compute_900_trajectory,4.488659311085939,3.2985764779150486,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_ukr_rus_suspended,feature_similarity_pseudo_episodes,5.542906157672405,0.1782552184886299,15360,ukr_rus_suspended,covid_political,native_feature_similarity_ssl,0
vision,60,fixed_compute_900_trajectory,4.436858270317316,3.0305490773171186,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_ukr_rus_suspended,feature_similarity_pseudo_episodes,5.248978219926357,0.15071615437045693,15360,ukr_rus_suspended,covid_political,native_feature_similarity_ssl,0
vision,100,fixed_compute_900_trajectory,4.418761510401964,2.94837517850101,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_ukr_rus_suspended,feature_similarity_pseudo_episodes,5.157755918800831,0.15546875837026164,15360,ukr_rus_suspended,covid_political,native_feature_similarity_ssl,0
vision,300,fixed_compute_900_trajectory,4.366798602044582,2.806265151128173,9718e40dbaacb1e0f3bf1c3d6295f863c58136677277966a566d757857cbe8f8,128,12660,ss_ukr_rus_suspended,feature_similarity_pseudo_episodes,4.989664435386658,0.16848959279013798,15360,ukr_rus_suspended,covid_political,native_feature_similarity_ssl,0
