model,order,rung,training_seed,roc_auc,targets
PRODIGY,A,1,0,0.7677897417986834,5
PRODIGY,A,1,1,0.756077731097186,5
PRODIGY,A,1,2,0.7654039171006944,5
PRODIGY,A,2,0,0.7579405184145327,5
PRODIGY,A,2,1,0.75316241229022,5
PRODIGY,A,2,2,0.7554108513726129,5
PRODIGY,A,3,0,0.7393483338532625,5
PRODIGY,A,3,1,0.7483097924126519,5
PRODIGY,A,3,2,0.7432663952862775,5
PRODIGY,A,4,0,0.7389585141782408,5
PRODIGY,A,4,1,0.743051020304362,5
PRODIGY,A,4,2,0.7529278649224176,5
PRODIGY,A,5,0,0.7529646696867766,5
PRODIGY,A,5,1,0.7576353002477576,5
PRODIGY,A,5,2,0.7478978898790147,5
PRODIGY,A,6,0,0.7450495543303314,5
PRODIGY,A,6,1,0.748234388563368,5
PRODIGY,A,6,2,0.762892970332393,5
PRODIGY,A,7,0,0.765400724057798,5
PRODIGY,A,7,1,0.7580819730405455,5
PRODIGY,A,7,2,0.7590847863091362,5
PRODIGY,A,8,0,0.7471702010543259,5
PRODIGY,A,8,1,0.7583834188955801,5
PRODIGY,A,8,2,0.7511684559009693,5
PRODIGY,A,9,0,0.7584962632921007,5
PRODIGY,A,9,1,0.7648484265362775,5
PRODIGY,A,9,2,0.7601951599121094,5
PRODIGY,B,1,0,0.676688469780816,5
PRODIGY,B,1,1,0.6892836535418475,5
PRODIGY,B,1,2,0.6947389532018591,5
PRODIGY,B,2,0,0.7044303611472801,5
PRODIGY,B,2,1,0.7160979942039207,5
PRODIGY,B,2,2,0.730009827790437,5
PRODIGY,B,3,0,0.7521993283872251,5
PRODIGY,B,3,1,0.7509612895824291,5
PRODIGY,B,3,2,0.7437494913736978,5
PRODIGY,B,4,0,0.7610442126238788,5
PRODIGY,B,4,1,0.7650314331054687,5
PRODIGY,B,4,2,0.7665282355414498,5
PRODIGY,B,5,0,0.7513239260073061,5
PRODIGY,B,5,1,0.7517863379584419,5
PRODIGY,B,5,2,0.7588324370207611,5
PRODIGY,B,6,0,0.7641818011248553,5
PRODIGY,B,6,1,0.7459998660617405,5
PRODIGY,B,6,2,0.7563088452374493,5
PRODIGY,B,7,0,0.7696344728823061,5
PRODIGY,B,7,1,0.7526595362910518,5
PRODIGY,B,7,2,0.7602916293674046,5
PRODIGY,B,8,0,0.7615217562075014,5
PRODIGY,B,8,1,0.7538185826054326,5
PRODIGY,B,8,2,0.7723957061767578,5
PRODIGY,B,9,0,0.7584962632921007,5
PRODIGY,B,9,1,0.7648484265362775,5
PRODIGY,B,9,2,0.7601951599121094,5
PRODIGY,C,1,0,0.7635424154776114,5
PRODIGY,C,1,1,0.7643244708025897,5
PRODIGY,C,1,2,0.7601290526213469,5
PRODIGY,C,2,0,0.7549431977448641,5
PRODIGY,C,2,1,0.7542408130787037,5
PRODIGY,C,2,2,0.762076978330259,5
PRODIGY,C,3,0,0.7617251502143012,5
PRODIGY,C,3,1,0.7673055578161169,5
PRODIGY,C,3,2,0.7523698029694734,5
PRODIGY,C,4,0,0.7686460706922743,5
PRODIGY,C,4,1,0.7517118665907118,5
PRODIGY,C,4,2,0.7447748961272064,5
PRODIGY,C,5,0,0.7553083631727431,5
PRODIGY,C,5,1,0.75437582510489,5
PRODIGY,C,5,2,0.7685594064218026,5
PRODIGY,C,6,0,0.7481569784658927,5
PRODIGY,C,6,1,0.7556080570927373,5
PRODIGY,C,6,2,0.7572479954472294,5
PRODIGY,C,7,0,0.7437551427770545,5
PRODIGY,C,7,1,0.7580075016728155,5
PRODIGY,C,7,2,0.7652619114628545,5
PRODIGY,C,8,0,0.7557314554850261,5
PRODIGY,C,8,1,0.7507542504204643,5
PRODIGY,C,8,2,0.7517254440872757,5
PRODIGY,C,9,0,0.7584962632921007,5
PRODIGY,C,9,1,0.7648484265362775,5
PRODIGY,C,9,2,0.7601951599121094,5
SAMGPT,A,1,39,0.6703303849377396,5
SAMGPT,A,1,40,0.6674534480264208,5
SAMGPT,A,1,41,0.6529682822976532,5
SAMGPT,A,2,39,0.6586344712843231,5
SAMGPT,A,2,40,0.6603300856082376,5
SAMGPT,A,2,41,0.663235539890645,5
SAMGPT,A,3,39,0.6625228799988027,5
SAMGPT,A,3,40,0.6635228276161398,5
SAMGPT,A,3,41,0.6620403296615581,5
