checkpoint_step,order,rung,dataset,roc_auc,accuracy,f1
100,A,1,covid_political,0.8218829435472907,0.7561848958333334,0.7487420328748742
100,A,1,election2020,0.89105224609375,0.82421875,0.8221343873517787
100,A,1,facebook_page_reference,0.8138198852539062,0.73828125,0.7408123791102514
100,A,1,twibot20,0.5869257185194228,0.5592447916666666,0.5598179453836151
100,A,1,ukr_rus_suspended,0.53997802734375,0.5234375,0.5307692307692308
100,A,3,covid_political,0.8848841941250035,0.8317057291666666,0.8270324523251924
100,A,3,election2020,0.96221923828125,0.90234375,0.9034749034749034
100,A,3,facebook_page_reference,0.8147163391113281,0.7333984375,0.738255033557047
100,A,3,twibot20,0.5829346974690756,0.5543619791666666,0.5596654872949501
100,A,3,ukr_rus_suspended,0.52532958984375,0.48828125,0.5093632958801498
100,A,5,covid_political,0.9071118961204905,0.8489583333333334,0.8422841604350781
100,A,5,election2020,0.9835205078125,0.9609375,0.9609375
100,A,5,facebook_page_reference,0.841888427734375,0.767578125,0.7720306513409961
100,A,5,twibot20,0.5804165734185113,0.5530598958333334,0.5617618895627194
100,A,5,ukr_rus_suspended,0.51959228515625,0.52734375,0.5433962264150943
100,A,7,covid_political,0.9086258427806323,0.8489583333333334,0.8430311231393776
100,A,7,election2020,0.98321533203125,0.96875,0.9689922480620154
100,A,7,facebook_page_reference,0.848175048828125,0.7685546875,0.7732057416267942
100,A,7,twibot20,0.5847384134928385,0.5553385416666666,0.5579288025889968
100,A,7,ukr_rus_suspended,0.53411865234375,0.52734375,0.5535055350553506
100,A,9,covid_political,0.9057105184460212,0.8444010416666666,0.8394895903290799
100,A,9,election2020,0.9832763671875,0.9609375,0.9609375
100,A,9,facebook_page_reference,0.8766250610351562,0.7998046875,0.8011639185257032
100,A,9,twibot20,0.5718002319335938,0.5524088541666666,0.5472505762265394
100,A,9,ukr_rus_suspended,0.5372314453125,0.5234375,0.5271317829457365
100,B,1,covid_political,0.8879144237827257,0.8287760416666666,0.8224172856178258
100,B,1,election2020,0.896240234375,0.80078125,0.8075471698113208
100,B,1,facebook_page_reference,0.7957954406738281,0.7255859375,0.7279767666989352
100,B,1,twibot20,0.5810502370198568,0.5582682291666666,0.555519161480511
100,B,1,ukr_rus_suspended,0.51190185546875,0.51171875,0.5283018867924528
100,B,3,covid_political,0.9161412031373188,0.87109375,0.8632596685082873
100,B,3,election2020,0.977294921875,0.9453125,0.9465648854961832
100,B,3,facebook_page_reference,0.8101768493652344,0.724609375,0.7277992277992278
100,B,3,twibot20,0.5826964908175998,0.5514322916666666,0.5525974025974026
100,B,3,ukr_rus_suspended,0.511627197265625,0.51953125,0.5461254612546126
