model_id,target,checkpoint_update,training_seeds,roc_auc_mean,roc_auc_sample_std,accuracy_mean,accuracy_sample_std,episode_fingerprint
random_init,covid_political,0,3,0.8435872395833334,0.0073550982279007426,0.7626953125,0.00777851767275298,54248881fa59ff989afaca729296290e733f342abb0f762cf14485a83b9c8f6c
random_init,election2020,0,3,0.9486400462962963,0.014926345323578245,0.904513888888889,0.027297854381307406,7d1a1602c76fd6e40196190da4abc390c70e8bb570ac5531e7f97921a712563d
random_init,ukr_rus_suspended,0,3,0.5067816840277778,0.002397610654729174,0.5024956597222222,0.005221879086595427,19b9aa6c56890d8c9d263c2df35eb4df08220a1d37bdf3b5e9504a9ea5a13a77
random_init,twibot20,0,3,0.6953215422453703,0.00333397776649701,0.630642361111111,0.0038008419896130834,bc0781c86ffc58325b09def4f0d97b20aea574fb2ebf26ce208fc3dec982d17a
random_init,facebook_page_reference,0,3,0.7416465450723712,0.003463359477813896,0.19176070601851855,0.0029167452470262056,91f8db404ad7e12ff81855bb655f207e71bb4fbe44843382dfacaf453aa79972
ss_covid_political,covid_political,20,3,0.812427662037037,0.017346298114881274,0.735568576388889,0.017213661499940112,54248881fa59ff989afaca729296290e733f342abb0f762cf14485a83b9c8f6c
ss_election2020,election2020,20,3,0.8387225115740741,0.08698388890075577,0.7601996527777778,0.1092685403372146,7d1a1602c76fd6e40196190da4abc390c70e8bb570ac5531e7f97921a712563d
ss_ukr_rus_suspended,ukr_rus_suspended,20,3,0.5123969184027778,0.003973580751284928,0.5110677083333334,0.004795221309458398,19b9aa6c56890d8c9d263c2df35eb4df08220a1d37bdf3b5e9504a9ea5a13a77
ss_twibot20,twibot20,20,3,0.6801124855324074,0.008579313666377457,0.6117621527777778,0.00505693584970966,bc0781c86ffc58325b09def4f0d97b20aea574fb2ebf26ce208fc3dec982d17a
ss_covid_political,covid_political,60,3,0.7689254195601851,0.011675982935270408,0.6906467013888888,0.010212918936232772,54248881fa59ff989afaca729296290e733f342abb0f762cf14485a83b9c8f6c
ss_election2020,election2020,60,3,0.6945439091435185,0.07539037948728168,0.6253255208333334,0.07524250525759511,7d1a1602c76fd6e40196190da4abc390c70e8bb570ac5531e7f97921a712563d
ss_ukr_rus_suspended,ukr_rus_suspended,60,3,0.5202907986111112,0.0025516441007606056,0.510525173611111,0.003800841989613096,19b9aa6c56890d8c9d263c2df35eb4df08220a1d37bdf3b5e9504a9ea5a13a77
ss_twibot20,twibot20,60,3,0.6825810185185185,0.010357879244471797,0.5968967013888888,0.0062304154600502015,bc0781c86ffc58325b09def4f0d97b20aea574fb2ebf26ce208fc3dec982d17a
ss_covid_political,covid_political,180,3,0.7546115451388888,0.012453387914406816,0.6797960069444444,0.010807749216385354,54248881fa59ff989afaca729296290e733f342abb0f762cf14485a83b9c8f6c
ss_election2020,election2020,180,3,0.6717936197916666,0.06973428111935945,0.6079644097222222,0.06700855117473797,7d1a1602c76fd6e40196190da4abc390c70e8bb570ac5531e7f97921a712563d
ss_ukr_rus_suspended,ukr_rus_suspended,180,3,0.5268012152777778,0.0011276372445110198,0.5154079861111112,0.0072521288244388,19b9aa6c56890d8c9d263c2df35eb4df08220a1d37bdf3b5e9504a9ea5a13a77
ss_twibot20,twibot20,180,3,0.6888653790509259,0.011171682262209883,0.592013888888889,0.007014451544658808,bc0781c86ffc58325b09def4f0d97b20aea574fb2ebf26ce208fc3dec982d17a
ss_covid_political,covid_political,500,3,0.7474320023148148,0.012219001332779252,0.6715494791666666,0.01009114583333335,54248881fa59ff989afaca729296290e733f342abb0f762cf14485a83b9c8f6c
ss_election2020,election2020,500,3,0.6571180555555555,0.06475826349582596,0.5977647569444444,0.06017940308707993,7d1a1602c76fd6e40196190da4abc390c70e8bb570ac5531e7f97921a712563d
ss_ukr_rus_suspended,ukr_rus_suspended,500,3,0.5287181712962963,0.0013195793276249322,0.5186631944444444,0.002935709474494069,19b9aa6c56890d8c9d263c2df35eb4df08220a1d37bdf3b5e9504a9ea5a13a77
ss_twibot20,twibot20,500,3,0.6917136863425926,0.01050019623268232,0.5924479166666667,0.005647575381802513,bc0781c86ffc58325b09def4f0d97b20aea574fb2ebf26ce208fc3dec982d17a
ss_facebook_page_reference,facebook_page_reference,20,3,0.7355208811429065,0.0041976841104291425,0.18480902777777777,0.0025001846056938028,91f8db404ad7e12ff81855bb655f207e71bb4fbe44843382dfacaf453aa79972
ss_facebook_page_reference,facebook_page_reference,60,3,0.7266478296948169,0.005090964316195671,0.17675781249999997,0.0020074664488979516,91f8db404ad7e12ff81855bb655f207e71bb4fbe44843382dfacaf453aa79972
ss_facebook_page_reference,facebook_page_reference,180,3,0.7222043144190348,0.0052475877101653325,0.17340856481481481,0.0036135473483236732,91f8db404ad7e12ff81855bb655f207e71bb4fbe44843382dfacaf453aa79972
ss_facebook_page_reference,facebook_page_reference,500,3,0.7193306472667891,0.00553613398178786,0.17106481481481478,0.003736758197482571,91f8db404ad7e12ff81855bb655f207e71bb4fbe44843382dfacaf453aa79972
