dataset,checkpoint_step,training_seeds,roc_auc_mean,roc_auc_sample_std,accuracy_mean,accuracy_sample_std,macro_f1_mean,macro_f1_sample_std
covid_political,100,3,0.9090434099991844,0.0034100007692455243,0.8508029513888888,0.0063483517692318175,0.8462225815490202,0.0060874698999240084
covid_political,300,3,0.877926085646449,0.0007189795740846303,0.80859375,0.0013020833333333703,0.8029501489430427,0.0009715228108015758
covid_political,900,3,0.8485294384181098,0.004106149193656755,0.7763671875,0.0025423989830424963,0.7679232248718151,0.0034401009527554654
covid_political,2500,3,0.8425728399215217,0.0063159433583585825,0.7699652777777777,0.005871418948988198,0.7630756238353564,0.00604343861022343
election2020,100,3,0.98046875,0.0028705996133556754,0.9557291666666666,0.004510548978043943,0.9557291666666666,0.004510548978043943
election2020,300,3,0.9760538736979166,0.004361060506010064,0.9466145833333334,0.005966895436140429,0.9465562700695246,0.005833088936364638
election2020,900,3,0.9596150716145834,0.0009866825889470983,0.9127604166666666,0.008131507810414596,0.9138149007761077,0.0072871556732266975
election2020,2500,3,0.9441121419270834,0.005364963616777795,0.9075520833333334,0.0022552744890219595,0.9088568673159477,0.002147346670391354
facebook_page_reference,100,3,0.877740224202474,0.004251983365209954,0.7945963541666666,0.004615054322512302,0.7963773420137467,0.004872624795136507
facebook_page_reference,300,3,0.877569834391276,0.004833015692430769,0.7939453125,0.005940197783494355,0.7966700154987979,0.0052321972800958485
facebook_page_reference,900,3,0.8828411102294922,0.0033168836596889338,0.8033854166666666,0.013258731676052288,0.8062519744100571,0.013785540641746119
facebook_page_reference,2500,3,0.8871574401855469,0.0011967879345073898,0.8069661458333334,0.0034295747893400975,0.8104702182412006,0.004184996141444662
twibot20,100,3,0.5784320124873409,0.006138568158631198,0.5542534722222222,0.005292425520076881,0.5578192960969529,0.010312506366724948
twibot20,300,3,0.5923076205783421,0.003936275827631883,0.5669487847222222,0.006689697327169404,0.5755623993661373,0.00635996510699687
twibot20,900,3,0.5848509470621744,0.004532988930792835,0.5610894097222222,0.001850989812199653,0.5687124000692414,0.0016527080785657443
twibot20,2500,3,0.5836279127332898,0.000430555421435063,0.5620659722222222,0.004248431412858505,0.5683343159599589,0.0051681255558528065
ukr_rus_suspended,100,3,0.5159098307291666,0.01928231223924461,0.5234375,0.00390625,0.5543625842249752,0.032150741699949206
ukr_rus_suspended,300,3,0.52069091796875,0.003225637270928665,0.5104166666666666,0.026009094212810134,0.5251913052593461,0.02676516296731455
ukr_rus_suspended,900,3,0.5395304361979166,0.01462417288286189,0.5338541666666666,0.020045318122839394,0.5476846281104116,0.027029852369912215
ukr_rus_suspended,2500,3,0.5526123046875,0.015356134796641998,0.5299479166666666,0.02743659831472069,0.5387259155745444,0.0312018929791081
macro_target_mean,100,3,0.7723188454836332,0.0037887861295664966,0.7357638888888888,0.0007517581630072264,0.7421021941102723,0.008114892656103209
macro_target_mean,300,3,0.7689096664565467,0.0004900609771799518,0.7253038194444444,0.005110711639568272,0.7293860278273697,0.005128000508233115
macro_target_mean,900,3,0.7630734007044553,0.004720629306717013,0.7174913194444444,0.008383114790379903,0.7208774256475267,0.009928578086326426
macro_target_mean,2500,3,0.7620165278909884,0.0038217096462125123,0.7152994791666666,0.005562502438357675,0.7178925881854016,0.005933570764077775
