model,target,step,loss,measurement
PRODIGY,covid_political,0,3.5313,first pre-update training batch
PRODIGY,covid_political,300,2.1267,training batch at update
PRODIGY,covid_political,900,1.7531,training batch at update
PRODIGY,covid_political,2500,1.8021,training batch at update
PRODIGY,election2020,0,3.5256,first pre-update training batch
PRODIGY,election2020,300,2.5211,training batch at update
PRODIGY,election2020,900,2.1433,training batch at update
PRODIGY,election2020,2500,1.9981,training batch at update
PRODIGY,ukr_rus_suspended,0,3.5292,first pre-update training batch
PRODIGY,ukr_rus_suspended,300,2.7439,training batch at update
PRODIGY,ukr_rus_suspended,900,1.8347,training batch at update
PRODIGY,ukr_rus_suspended,2500,1.3488,training batch at update
PRODIGY,twibot20,0,3.5398,first pre-update training batch
PRODIGY,twibot20,300,2.114,training batch at update
PRODIGY,twibot20,900,1.7658,training batch at update
PRODIGY,twibot20,2500,1.5678,training batch at update
PRODIGY,facebook_page_reference,0,3.5098,first pre-update training batch
PRODIGY,facebook_page_reference,300,0.9425,training batch at update
PRODIGY,facebook_page_reference,900,0.6503,training batch at update
PRODIGY,facebook_page_reference,2500,0.3683,training batch at update
VISION,covid_political,0,10.744563102722168,first pre-update training batch
VISION,covid_political,100,4.902652263641357,training batch at update
VISION,covid_political,300,4.803348541259766,training batch at update
VISION,covid_political,900,4.739124298095703,training batch at update
VISION,election2020,0,10.534045219421387,first pre-update training batch
VISION,election2020,100,5.081089019775391,training batch at update
VISION,election2020,300,4.961738586425781,training batch at update
VISION,election2020,900,4.994850158691406,training batch at update
VISION,ukr_rus_suspended,0,12.137703895568848,first pre-update training batch
VISION,ukr_rus_suspended,100,5.311545372009277,training batch at update
VISION,ukr_rus_suspended,300,4.985491752624512,training batch at update
VISION,ukr_rus_suspended,900,4.85237979888916,training batch at update
VISION,twibot20,0,11.268677711486816,first pre-update training batch
VISION,twibot20,100,4.903525352478027,training batch at update
VISION,twibot20,300,4.8530073165893555,training batch at update
VISION,twibot20,900,4.80026912689209,training batch at update
VISION,facebook_page_reference,0,10.582441329956055,first pre-update training batch
VISION,facebook_page_reference,100,4.611971855163574,training batch at update
VISION,facebook_page_reference,300,4.198208808898926,training batch at update
VISION,facebook_page_reference,900,4.22044038772583,training batch at update
SAMGPT,covid_political,0,0.7615643342336019,three-seed mean first pre-update training batch
SAMGPT,covid_political,60,0.03602789859532526,three-seed mean trailing 20 training batches
SAMGPT,covid_political,180,0.0007648275258313668,three-seed mean trailing 20 training batches
SAMGPT,covid_political,500,0.00011537488643896945,three-seed mean trailing 20 training batches
SAMGPT,election2020,0,0.7274717291196188,three-seed mean first pre-update training batch
SAMGPT,election2020,60,0.011231060070394162,three-seed mean trailing 20 training batches
SAMGPT,election2020,180,0.0004999747891959391,three-seed mean trailing 20 training batches
SAMGPT,election2020,500,0.00007833192291416293,three-seed mean trailing 20 training batches
SAMGPT,ukr_rus_suspended,0,0.7594173749287924,three-seed mean first pre-update training batch
SAMGPT,ukr_rus_suspended,60,0.1098345729865526,three-seed mean trailing 20 training batches
SAMGPT,ukr_rus_suspended,180,0.002152419593920441,three-seed mean trailing 20 training batches
SAMGPT,ukr_rus_suspended,500,0.00018524268683936578,three-seed mean trailing 20 training batches
SAMGPT,twibot20,0,0.7554699579874674,three-seed mean first pre-update training batch
SAMGPT,twibot20,60,0.04472427762914122,three-seed mean trailing 20 training batches
SAMGPT,twibot20,180,0.0010880275421138656,three-seed mean trailing 20 training batches
SAMGPT,twibot20,500,0.00010986446751191754,three-seed mean trailing 20 training batches
SAMGPT,facebook_page_reference,0,0.7775171200434366,three-seed mean first pre-update training batch
SAMGPT,facebook_page_reference,60,0.0483748129683367,three-seed mean trailing 20 training batches
SAMGPT,facebook_page_reference,180,0.002649044675196995,three-seed mean trailing 20 training batches
SAMGPT,facebook_page_reference,500,0.00010112145077743519,three-seed mean trailing 20 training batches
GraphSAGE,covid_political,0,0.7568289836247762,three-seed mean first pre-update training batch
GraphSAGE,covid_political,300,0.6340710242589315,three-seed mean interpolated sparse training loss
GraphSAGE,covid_political,900,0.6262527902921041,three-seed mean interpolated sparse training loss
GraphSAGE,covid_political,2500,0.6206698616345724,three-seed mean training loss
GraphSAGE,election2020,0,0.7741605639457703,three-seed mean first pre-update training batch
GraphSAGE,election2020,300,0.6714050690333049,three-seed mean interpolated sparse training loss
GraphSAGE,election2020,900,0.6651153922080993,three-seed mean interpolated sparse training loss
GraphSAGE,election2020,2500,0.6609838207562765,three-seed mean training loss
GraphSAGE,ukr_rus_suspended,0,0.7516717910766602,three-seed mean first pre-update training batch
GraphSAGE,ukr_rus_suspended,300,0.6762236475944519,three-seed mean interpolated sparse training loss
GraphSAGE,ukr_rus_suspended,900,0.6691432555516561,three-seed mean interpolated sparse training loss
GraphSAGE,ukr_rus_suspended,2500,0.6609365542729696,three-seed mean training loss
GraphSAGE,twibot20,0,0.7615140279134115,three-seed mean first pre-update training batch
GraphSAGE,twibot20,300,0.6614531596501668,three-seed mean interpolated sparse training loss
GraphSAGE,twibot20,900,0.6512556473414103,three-seed mean interpolated sparse training loss
GraphSAGE,twibot20,2500,0.6492211620012919,three-seed mean training loss
GraphSAGE,facebook_page_reference,0,0.7540634870529175,three-seed mean first pre-update training batch
GraphSAGE,facebook_page_reference,300,0.6309484759966533,three-seed mean interpolated sparse training loss
GraphSAGE,facebook_page_reference,900,0.6203466812769571,three-seed mean interpolated sparse training loss
GraphSAGE,facebook_page_reference,2500,0.6128671566645304,three-seed mean training loss
