checkpoint_step,order,rung,roc_auc,accuracy,f1
100,A,1,0.730731764151624,0.6802734375,0.68045519509795
100,A,3,0.7540168117660814,0.7020182291666666,0.7075582345064486
100,A,5,0.7665059380484254,0.7315755208333334,0.7360820855507776
100,A,7,0.7717746578953191,0.7337890625,0.739332690094507
100,A,9,0.7749287247829543,0.7361979166666666,0.7351946736054118
100,B,1,0.7345804382640322,0.6850260416666666,0.6883524540802091
100,B,3,0.7595873324921556,0.7223958333333333,0.7272693291311427
100,B,5,0.7810145263074515,0.7404947916666667,0.7381273741909841
100,B,7,0.774429302652706,0.7369791666666667,0.7402703697608588
100,B,9,0.7749287247829543,0.7361979166666666,0.7351946736054118
100,C,1,0.7511227980168982,0.7171875,0.7192327694799381
100,C,3,0.7628025444355784,0.7282552083333333,0.7284763951816557
100,C,5,0.7642811138465342,0.7178385416666667,0.7189845313911061
100,C,7,0.7723810798000577,0.7311197916666667,0.732685632423414
100,C,9,0.7749287247829543,0.7361979166666666,0.7351946736054118
300,A,1,0.7631569525029004,0.7133463541666666,0.7168956050587066
300,A,3,0.7618756670529622,0.7190104166666667,0.7224487175931118
300,A,5,0.7690975637539361,0.722265625,0.727498919609382
300,A,7,0.7693177329739773,0.7263671875,0.7305951584483075
300,A,9,0.7683666932907915,0.7266276041666667,0.7304241141529065
300,B,1,0.7555285027737336,0.7130208333333333,0.7128417549942558
300,B,3,0.758196931849412,0.7126302083333333,0.7165539737760072
300,B,5,0.7795327671653467,0.7366536458333334,0.7369598396304397
300,B,7,0.7647239118915745,0.7139322916666667,0.7167277393956711
300,B,9,0.7683666932907915,0.7266276041666667,0.7304241141529065
300,C,1,0.7671028302621548,0.7278645833333334,0.7309157167529348
300,C,3,0.7676499927847329,0.7237630208333333,0.7281792768638319
300,C,5,0.7634954642456144,0.7171223958333333,0.716820758423989
300,C,7,0.7727252303939839,0.721875,0.7217310027428872
300,C,9,0.7683666932907915,0.7266276041666667,0.7304241141529065
900,A,1,0.7581464679355973,0.7149739583333333,0.7193951189635857
900,A,3,0.769594417551591,0.7235026041666666,0.7264875299973504
900,A,5,0.7576360348403135,0.7024088541666667,0.7048122254734573
900,A,7,0.75746845471134,0.7031901041666667,0.7088490373808641
900,A,9,0.7576261532882576,0.7078125,0.7094132532546721
900,B,1,0.7624752867498279,0.71015625,0.7146147965984632
900,B,3,0.7561351078893084,0.7056640625,0.7081585998266566
900,B,5,0.7694851963171916,0.7203776041666667,0.7237840549150384
900,B,7,0.7640750213603136,0.7110677083333333,0.7144905517887705
900,B,9,0.7576261532882576,0.7078125,0.7094132532546721
900,C,1,0.7697293425320613,0.7260416666666667,0.7312533759516583
900,C,3,0.7763164598252208,0.7339192708333333,0.7375155904214705
900,C,5,0.7697062951771829,0.7170572916666667,0.7213119414130011
900,C,7,0.767285065422393,0.7173828125,0.7181362470142919
900,C,9,0.7576261532882576,0.7078125,0.7094132532546721
2500,A,1,0.7589956560210853,0.7083984375,0.7136784784366141
2500,A,3,0.7697064946702004,0.721875,0.7263158709713633
2500,A,5,0.7502070799745828,0.698046875,0.7015870262536346
2500,A,7,0.7572027871345769,0.70546875,0.7119605103969224
2500,A,9,0.7581178301508468,0.7100911458333333,0.7131053162744639
2500,B,1,0.7651861918153082,0.7177083333333333,0.7219105780297115
2500,B,3,0.7595037205982885,0.7140625,0.7178548207041275
2500,B,5,0.7680213678182282,0.7244791666666666,0.7268652657324786
2500,B,7,0.7600203392008689,0.701953125,0.7053003502737573
2500,B,9,0.7581178301508468,0.7100911458333333,0.7131053162744639
2500,C,1,0.7708184248496952,0.7285807291666667,0.7334227739174662
2500,C,3,0.7742666315287655,0.731640625,0.7351382298165579
2500,C,5,0.7638005633346798,0.7083333333333333,0.7124640103442141
2500,C,7,0.7671890356171025,0.7229166666666667,0.7268509100478082
2500,C,9,0.7581178301508468,0.7100911458333333,0.7131053162744639
