predictor,target,spearman_auc
indegree_ks,covid19_twitter,-0.6666666666666669
indegree_ks,ukr_rus_twitter,-0.6666666666666669
indegree_ks,midterm,-0.7619047619047621
indegree_ks,cp_hk_twitter,-0.5714285714285715
indegree_ks,twibot20,-0.5000000000000001
indegree_ks,election2020,0.04761904761904763
indegree_ks,covid_political,-0.4285714285714286
indegree_ks,ukr_rus_suspended,-0.6904761904761906
indegree_ks,facebook_page_reference,-0.6428571428571429
outdegree_ks,covid19_twitter,-0.6428571428571429
outdegree_ks,ukr_rus_twitter,-0.6428571428571429
outdegree_ks,midterm,-0.6428571428571429
outdegree_ks,cp_hk_twitter,-0.5714285714285715
outdegree_ks,twibot20,-0.523809523809524
outdegree_ks,election2020,0.7142857142857144
outdegree_ks,covid_political,0.6666666666666669
outdegree_ks,ukr_rus_suspended,0.04761904761904763
outdegree_ks,facebook_page_reference,-0.2380952380952381
feat_centroid_cosdist,covid19_twitter,-0.880952380952381
feat_centroid_cosdist,ukr_rus_twitter,-0.880952380952381
feat_centroid_cosdist,midterm,-0.3333333333333334
feat_centroid_cosdist,cp_hk_twitter,-0.880952380952381
feat_centroid_cosdist,twibot20,-0.880952380952381
feat_centroid_cosdist,election2020,-0.19047619047619052
feat_centroid_cosdist,covid_political,-0.023809523809523815
feat_centroid_cosdist,ukr_rus_suspended,-0.9523809523809524
feat_centroid_cosdist,facebook_page_reference,-0.7380952380952381
feat_frechet,covid19_twitter,-0.880952380952381
feat_frechet,ukr_rus_twitter,-0.880952380952381
feat_frechet,midterm,-0.3571428571428572
feat_frechet,cp_hk_twitter,-0.880952380952381
feat_frechet,twibot20,-0.880952380952381
feat_frechet,election2020,-0.14285714285714288
feat_frechet,covid_political,-0.14285714285714288
feat_frechet,ukr_rus_suspended,-0.9047619047619048
feat_frechet,facebook_page_reference,-0.9047619047619048
feat_mmd2,covid19_twitter,-0.880952380952381
feat_mmd2,ukr_rus_twitter,-0.880952380952381
feat_mmd2,midterm,-0.4285714285714286
feat_mmd2,cp_hk_twitter,-0.9047619047619048
feat_mmd2,twibot20,-0.880952380952381
feat_mmd2,election2020,-0.19047619047619052
feat_mmd2,covid_political,-0.023809523809523815
feat_mmd2,ukr_rus_suspended,-0.9523809523809524
feat_mmd2,facebook_page_reference,-0.6904761904761906
proxy_a_distance,covid19_twitter,-0.9285714285714287
proxy_a_distance,ukr_rus_twitter,-0.880952380952381
proxy_a_distance,midterm,-0.8095238095238096
proxy_a_distance,cp_hk_twitter,-0.880952380952381
proxy_a_distance,twibot20,-0.9221722216732094
proxy_a_distance,election2020,-0.11904761904761905
proxy_a_distance,covid_political,-0.4523809523809524
proxy_a_distance,ukr_rus_suspended,-0.9221722216732094
proxy_a_distance,facebook_page_reference,-0.880952380952381
