dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
covid19_twitter,sequential__nm_ladder_seq_h2m_r1,degree_matched,encoder_cosine,0.874644387755102,0.8657683145636762,0.92,1,2800,1400,0.509525625,0.9995,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r1,random,encoder_cosine,0.8464885204081632,0.8382545000683718,0.94,1,2800,1400,0.510468375,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r1,hard_2hop,encoder_cosine,0.6557852040816327,0.602571848484837,0.64,-1,2800,1400,0.507536375,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r2,degree_matched,encoder_cosine,0.8876505102040816,0.8843847506883623,0.96,1,2800,1400,0.506007625,0.9995,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r2,random,encoder_cosine,0.8762020408163266,0.8746026995326581,0.94,1,2800,1400,0.50672625,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r2,hard_2hop,encoder_cosine,0.6848367346938775,0.6355295662908731,0.78,-1,2800,1400,0.500121,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r3,degree_matched,encoder_cosine,0.7979994897959184,0.7963316831614625,0.94,1,2800,1400,0.512323875,0.9995,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r3,random,encoder_cosine,0.7753178571428572,0.7548674197444339,0.86,1,2800,1400,0.505298125,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r3,hard_2hop,encoder_cosine,0.7611224489795918,0.7305805048177664,0.9,-1,2800,1400,0.50846325,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r4,degree_matched,encoder_cosine,0.7658617346938775,0.7675156447235338,0.88,1,2800,1400,0.5121745,0.9995,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r4,random,encoder_cosine,0.7517283163265306,0.7489455190058398,0.84,1,2800,1400,0.5081585,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r4,hard_2hop,encoder_cosine,0.5492454081632653,0.555815234293722,0.7,-1,2800,1400,0.500787125,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r5,degree_matched,encoder_cosine,0.6281734693877551,0.6069822606125838,0.76,1,2800,1400,0.49722775,0.9995,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r5,random,encoder_cosine,0.6458293367346939,0.6348103179319002,0.72,1,2800,1400,0.4961995,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r5,hard_2hop,encoder_cosine,0.7462551020408164,0.6933993011200045,0.72,-1,2800,1400,0.490953,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r6,degree_matched,encoder_cosine,0.6977339285714286,0.6867123031215786,0.86,1,2800,1400,0.499287,0.9995,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r6,random,encoder_cosine,0.6865931122448979,0.6594196463394293,0.82,1,2800,1400,0.49639325,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r6,hard_2hop,encoder_cosine,0.7882474489795919,0.77571662119141,0.96,-1,2800,1400,0.503199625,0.99975,0.0
