dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r8,random,encoder_cosine,0.7128336734693878,0.6477625465223572,0.5,1,2800,1400,0.519271375,0.9987487487487487,0.0
cp_hk_twitter,matched40k__nm_ladder_h2m_ordA_r8,hard_2hop,encoder_cosine,0.7421214285714286,0.700739251483916,0.92,-1,2800,1400,0.513122125,0.9997496871088861,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r1,degree_matched,encoder_cosine,0.5711117346938775,0.5207339679667007,0.22,1,2800,1400,0.499072375,0.9994988724630418,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r1,random,encoder_cosine,0.7288267857142857,0.6534135991174824,0.3,1,2800,1400,0.5179555,0.9987487487487487,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r1,hard_2hop,encoder_cosine,0.7084989795918367,0.6542589714455356,0.9,-1,2800,1400,0.51189575,0.9997496871088861,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r2,degree_matched,encoder_cosine,0.552375,0.5092711855096334,0.32,1,2800,1400,0.500284375,0.9994988724630418,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r2,random,encoder_cosine,0.7453211734693878,0.6863712809442079,0.52,1,2800,1400,0.519648125,0.9987487487487487,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r2,hard_2hop,encoder_cosine,0.7530849489795919,0.6911286172842581,0.88,-1,2800,1400,0.51241675,0.9997496871088861,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r3,degree_matched,encoder_cosine,0.5213642857142857,0.48890652702625215,0.22,1,2800,1400,0.50329,0.9994988724630418,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r3,random,encoder_cosine,0.5971790816326531,0.5332851136924828,0.24,1,2800,1400,0.516968875,0.9987487487487487,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r3,hard_2hop,encoder_cosine,0.8378530612244898,0.8074105364753972,0.94,-1,2800,1400,0.50884025,0.9997496871088861,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r4,degree_matched,encoder_cosine,0.5361530612244898,0.518873336282662,0.36,1,2800,1400,0.503867,0.9994988724630418,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r4,random,encoder_cosine,0.5677844387755102,0.5373602034709123,0.36,1,2800,1400,0.508720625,0.9987487487487487,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r4,hard_2hop,encoder_cosine,0.6561390306122449,0.6365292711244634,0.74,-1,2800,1400,0.504558375,0.9997496871088861,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r5,degree_matched,encoder_cosine,0.49460561224489796,0.4740963530851273,0.26,1,2800,1400,0.500274375,0.9994988724630418,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r5,random,encoder_cosine,0.5425341836734694,0.5084119818095323,0.24,1,2800,1400,0.50995825,0.9987487487487487,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r5,hard_2hop,encoder_cosine,0.7876977040816326,0.7288795574110365,0.68,-1,2800,1400,0.50428675,0.9997496871088861,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r6,degree_matched,encoder_cosine,0.49217755102040817,0.4756349046628929,0.32,1,2800,1400,0.498479875,0.9994988724630418,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r6,random,encoder_cosine,0.5281625,0.4846118351797847,0.24,1,2800,1400,0.512736625,0.9987487487487487,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r6,hard_2hop,encoder_cosine,0.8532545918367347,0.822832216323756,0.94,-1,2800,1400,0.503978,0.9997496871088861,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r7,degree_matched,encoder_cosine,0.5168341836734693,0.4872280384432449,0.3,1,2800,1400,0.50153175,0.9994988724630418,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r7,random,encoder_cosine,0.6499293367346939,0.5857499697321628,0.44,1,2800,1400,0.522114625,0.9987487487487487,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r7,hard_2hop,encoder_cosine,0.813284693877551,0.7670152530976065,0.96,-1,2800,1400,0.514999875,0.9997496871088861,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r8,degree_matched,encoder_cosine,0.5312206632653061,0.5006609588172395,0.32,1,2800,1400,0.496379625,0.9994988724630418,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r8,random,encoder_cosine,0.5732155612244898,0.5108592749991713,0.44,-1,2800,1400,0.50800125,0.9987487487487487,0.0
cp_hk_twitter,sequential__nm_ladder_seq_h2m_r8,hard_2hop,encoder_cosine,0.8712224489795919,0.8523083407437062,0.94,-1,2800,1400,0.50008425,0.9997496871088861,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r1,degree_matched,encoder_cosine,0.5758015306122449,0.525534202121989,0.34,1,2800,1400,0.505050625,0.9994988724630418,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r1,random,encoder_cosine,0.7370788265306123,0.6697424235207369,0.46,1,2800,1400,0.52008525,0.9987487487487487,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r1,hard_2hop,encoder_cosine,0.7072831632653062,0.6513123503983225,0.86,-1,2800,1400,0.512585875,0.9997496871088861,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r2,degree_matched,encoder_cosine,0.5589946428571428,0.5081493287839146,0.26,1,2800,1400,0.500306625,0.9994988724630418,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r2,random,encoder_cosine,0.7308522959183673,0.651684485321082,0.46,1,2800,1400,0.51533625,0.9987487487487487,0.0
